ngram,Digital Rights,Digital Right
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,9.29654423284124e-09,0.0
1712,9.29654423284124e-09,0.0
1713,9.29654423284124e-09,0.0
1714,9.29654423284124e-09,0.0
1715,9.29654423284124e-09,0.0
1716,9.29654423284124e-09,0.0
1717,9.29654423284124e-09,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,1.0949260545852927e-10,0.0
1877,1.0949260545852927e-10,0.0
1878,1.0949260545852927e-10,0.0
1879,1.0949260545852927e-10,0.0
1880,1.0949260545852927e-10,0.0
1881,1.0949260545852927e-10,0.0
1882,1.0949260545852927e-10,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,3.5295266709312045e-11,0.0
1898,3.5295266709312045e-11,0.0
1899,3.5295266709312045e-11,0.0
1900,3.5295266709312045e-11,0.0
1901,3.5295266709312045e-11,0.0
1902,3.5295266709312045e-11,0.0
1903,3.5295266709312045e-11,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,8.145876037194252e-11
1914,0.0,8.145876037194252e-11
1915,0.0,8.145876037194252e-11
1916,0.0,8.145876037194252e-11
1917,0.0,8.145876037194252e-11
1918,0.0,8.145876037194252e-11
1919,0.0,8.145876037194252e-11
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,0.0
1950,0.0,0.0
1951,0.0,0.0
1952,0.0,0.0
1953,0.0,0.0
1954,0.0,0.0
1955,0.0,0.0
1956,0.0,0.0
1957,0.0,0.0
1958,1.1322218956039925e-11,0.0
1959,1.1322218956039925e-11,0.0
1960,1.1322218956039925e-11,0.0
1961,1.1322218956039925e-11,0.0
1962,1.1322218956039925e-11,0.0
1963,1.1322218956039925e-11,0.0
1964,4.5567337601605724e-11,0.0
1965,3.4245118645565804e-11,8.38853589765368e-12
1966,3.4245118645565804e-11,8.38853589765368e-12
1967,5.108087564043018e-11,8.414944138327281e-11
1968,5.108087564043018e-11,8.414944138327281e-11
1969,5.108087564043018e-11,8.414944138327281e-11
1970,5.108087564043018e-11,8.414944138327281e-11
1971,1.6835756994864378e-11,8.414944138327281e-11
1972,1.6835756994864378e-11,7.576090548561914e-11
1973,1.6835756994864378e-11,9.933318850003608e-11
1974,7.753961163624113e-12,2.357228301441694e-11
1975,7.753961163624113e-12,2.357228301441694e-11
1976,7.753961163624113e-12,3.886064585202829e-11
1977,7.753961163624113e-12,4.6496729581648106e-11
1978,2.3277496993426692e-11,1.0082910548159241e-10
1979,3.100793580235184e-11,1.2402042141273258e-10
1980,6.082634148347438e-11,1.5263034933155062e-10
1981,6.758747777716297e-11,2.90523776167292e-10
1982,1.451232492312636e-10,3.1166989475361895e-10
1983,3.703907522951371e-10,3.808568475475013e-10
1984,3.9835821992263906e-10,4.0818009686535307e-10
1985,4.378948429060804e-10,3.951428390840712e-10
1986,5.484296667595296e-10,4.5079503423790205e-10
1987,5.758722903299279e-10,4.17699833055174e-10
1988,6.141112955461634e-10,3.061834575562068e-10
1989,6.378525029588594e-10,3.1035658368657893e-10
1990,4.886088696341519e-10,2.702285240812381e-10
1991,7.295441433503263e-10,3.2281892040472316e-10
1992,8.380022469595921e-10,3.299736575249465e-10
1993,9.465927882804488e-10,2.633926221970054e-10
1994,1.3042013897417754e-09,3.0003436739058284e-10
1995,1.6408287982296243e-09,2.97993660501396e-10
1996,2.613954862086741e-09,2.846789193267085e-10
1997,4.060483616008526e-09,2.7319251226311433e-10
1998,6.4648687514434755e-09,2.461492993559895e-10
1999,1.3673646024971374e-08,3.216035691723716e-10
2000,2.6075671273011787e-08,5.318546565459745e-10
2001,3.6355110319011685e-08,7.611142519808084e-10
2002,4.844062712854631e-08,1.0334339406051614e-09
2003,6.072516749761852e-08,1.2475189809751137e-09
2004,7.088680093707872e-08,1.4117987215797205e-09
2005,8.065283958152187e-08,1.6352950898174917e-09
2006,8.303265478356739e-08,1.6976121778152935e-09
2007,7.99983936872195e-08,1.7203285145634644e-09
2008,7.97092139594367e-08,1.707040826153567e-09
2009,7.579120213969353e-08,1.5682609338136493e-09
2010,6.994659784709256e-08,1.5097629812999003e-09
2011,6.556890547975464e-08,1.4052212885370556e-09
2012,6.338121037531761e-08,1.2430199568060273e-09
2013,6.647297265008742e-08,1.2095201824229613e-09
2014,7.0036934220395e-08,1.2162000612952234e-09
2015,6.94108496393905e-08,1.0736468381011832e-09
2016,7.240129055016301e-08,1.070448967561382e-09
2017,7.570144333612916e-08,1.0533336055236948e-09
2018,8.061264082925845e-08,1.1343618711023851e-09
2019,8.282544605719977e-08,1.2047996211794754e-09
