ngram,Memorandum of Understanding,Memorandum of Undestanding
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,1.2438546954334534e-08,0.0
1830,1.2438546954334534e-08,0.0
1831,1.2438546954334534e-08,0.0
1832,1.2438546954334534e-08,0.0
1833,1.2438546954334534e-08,0.0
1834,1.2438546954334534e-08,0.0
1835,1.2438546954334534e-08,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,5.648105221618087e-09,0.0
1839,5.648105221618087e-09,0.0
1840,5.648105221618087e-09,0.0
1841,5.648105221618087e-09,0.0
1842,5.648105221618087e-09,0.0
1843,5.648105221618087e-09,0.0
1844,5.648105221618087e-09,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,4.709512145341575e-11,0.0
1865,4.709512145341575e-11,0.0
1866,4.709512145341575e-11,0.0
1867,4.709512145341575e-11,0.0
1868,4.709512145341575e-11,0.0
1869,4.709512145341575e-11,0.0
1870,4.709512145341575e-11,0.0
1871,2.0288031572184602e-10,0.0
1872,2.438320259986629e-10,0.0
1873,2.438320259986629e-10,0.0
1874,2.438320259986629e-10,0.0
1875,2.8394705634379337e-10,0.0
1876,3.606110251678071e-10,0.0
1877,3.606110251678071e-10,0.0
1878,4.480135865466853e-10,0.0
1879,4.070618762698684e-10,0.0
1880,4.070618762698684e-10,0.0
1881,4.386274716455014e-10,0.0
1882,4.957411743016544e-10,0.0
1883,6.439356072172688e-10,0.0
1884,6.439356072172688e-10,0.0
1885,3.5365273011654455e-10,0.0
1886,3.5365273011654455e-10,0.0
1887,3.812866986426958e-10,0.0
1888,3.4972110326706284e-10,0.0
1889,8.544229391465358e-10,0.0
1890,1.2113654305835807e-09,0.0
1891,1.3137856378194916e-09,0.0
1892,1.4036719663585678e-09,0.0
1893,1.4267336399610896e-09,0.0
1894,1.3990996714349384e-09,0.0
1895,1.3990996714349384e-09,0.0
1896,1.1072559159235646e-09,0.0
1897,8.04106346983881e-10,0.0
1898,7.377624761106816e-10,0.0
1899,7.571595870122952e-10,0.0
1900,7.702391224828631e-10,0.0
1901,9.758793574819536e-10,0.0
1902,1.0275342283388206e-09,0.0
1903,7.971431411782756e-10,0.0
1904,5.343455568891058e-10,0.0
1905,5.897503923705091e-10,0.0
1906,6.976767586272129e-10,0.0
1907,1.0131397239012051e-09,0.0
1908,9.035706716572659e-10,0.0
1909,1.4307182036321642e-09,0.0
1910,1.6953697265509327e-09,0.0
1911,2.0848760178588624e-09,0.0
1912,2.41140396539663e-09,0.0
1913,3.0091755119445095e-09,0.0
1914,3.607643168328829e-09,0.0
1915,5.663299416726529e-09,0.0
1916,6.845564876860928e-09,0.0
1917,7.506750491056583e-09,0.0
1918,7.67660005404228e-09,0.0
1919,8.224581714090716e-09,0.0
1920,7.943238447946247e-09,0.0
1921,7.724068432476575e-09,0.0
1922,6.610846727182564e-09,0.0
1923,6.052897611701675e-09,0.0
1924,8.271006800088441e-09,0.0
1925,9.26014915541324e-09,0.0
1926,9.14230799001611e-09,0.0
1927,9.154390959561657e-09,0.0
1928,8.765631427059312e-09,0.0
1929,8.612128629284906e-09,0.0
1930,9.314927337403641e-09,0.0
1931,8.793285179363255e-09,0.0
1932,1.413276134216395e-08,0.0
1933,2.387200300927158e-08,0.0
1934,2.5955023368646428e-08,0.0
1935,3.265736062526717e-08,0.0
1936,3.7802338021768785e-08,0.0
1937,4.022780686341321e-08,0.0
1938,5.4427306344401975e-08,0.0
1939,5.887515364122464e-08,0.0
1940,6.402165223359394e-08,0.0
1941,7.625776023343991e-08,0.0
1942,8.226509708362886e-08,0.0
1943,2.2739524752068974e-07,0.0
1944,2.541768304402987e-07,0.0
1945,2.57602612764783e-07,0.0
1946,2.6969960081097657e-07,0.0
1947,2.7014187610672836e-07,0.0
1948,2.7738732606102143e-07,0.0
1949,2.7977710459481386e-07,0.0
1950,1.4066399651418188e-07,0.0
1951,1.3410988941586766e-07,0.0
1952,1.373712663621518e-07,0.0
1953,1.426182164111976e-07,0.0
1954,1.5197561761429563e-07,0.0
1955,1.510993966137773e-07,0.0
1956,1.4981267578865039e-07,0.0
1957,1.563460045872489e-07,0.0
1958,1.5651909888804637e-07,0.0
1959,1.5620724777168755e-07,0.0
1960,1.48253253736844e-07,0.0
1961,1.4858498380882728e-07,0.0
1962,1.6026177109194707e-07,0.0
1963,1.746795236710698e-07,0.0
1964,1.85075616546523e-07,0.0
1965,1.921396598650712e-07,0.0
1966,1.985834338873766e-07,0.0
1967,2.143261131745281e-07,0.0
1968,2.3164531423195252e-07,0.0
1969,2.4111432748798377e-07,0.0
1970,2.634750079063711e-07,3.507803571421521e-11
1971,2.9317171522182305e-07,3.507803571421521e-11
1972,3.3363486652758313e-07,5.2468926029344434e-11
1973,4.001735638731978e-07,5.2468926029344434e-11
1974,4.497024527998812e-07,6.876393204846565e-11
1975,5.083570572748743e-07,1.4985893577655419e-10
1976,5.926715118675929e-07,1.4985893577655419e-10
1977,6.394035705982657e-07,1.1478090006233899e-10
1978,6.820848901562775e-07,1.2294082864834037e-10
1979,6.972310383649269e-07,1.0554993833321115e-10
1980,7.02466512133729e-07,1.0554993833321115e-10
1981,7.216835099045836e-07,9.688473089273865e-11
1982,7.197884152836715e-07,3.802421125980488e-11
1983,6.999122368662418e-07,3.802421125980488e-11
1984,7.167103116704052e-07,3.802421125980488e-11
1985,7.629092725177802e-07,4.4332432566232935e-11
1986,8.07402110630002e-07,5.124098764345117e-11
1987,8.303210035722129e-07,5.124098764345117e-11
1988,8.516999514540657e-07,4.3611189064802454e-11
1989,8.821952438406047e-07,2.8028716748356482e-11
1990,9.017423800677144e-07,3.468617902822681e-11
1991,9.205431216027396e-07,4.12554474709432e-11
1992,9.090739143045669e-07,2.6787297578513757e-11
1993,9.029884040501202e-07,1.9878742501295524e-11
1994,9.023358253606213e-07,1.9878742501295524e-11
1995,9.127434330886379e-07,2.626587390046937e-11
1996,9.0867892562788e-07,1.961386212176056e-11
1997,9.03335246351032e-07,1.2956399841890232e-11
1998,8.910348258593461e-07,1.2164918873823284e-11
1999,8.636649551720308e-07,1.7588163068817307e-11
2000,8.372717762280704e-07,1.7588163068817307e-11
2001,8.123138854898571e-07,1.7588163068817307e-11
2002,7.778043108633678e-07,1.1201031669643464e-11
2003,7.440541886743241e-07,2.1517306289916707e-11
2004,7.173373839058123e-07,3.665694384940339e-11
2005,6.804173803435074e-07,3.087915637475394e-11
2006,6.468481257927903e-07,2.5455912179759922e-11
2007,6.252042063741621e-07,2.5455912179759922e-11
2008,5.842484012776237e-07,2.5455912179759922e-11
2009,5.291440418529549e-07,2.5455912179759922e-11
2010,4.812206222075994e-07,1.5139637559486677e-11
2011,4.2752286130312965e-07,4.642397081834813e-12
2012,3.8868633721124623e-07,4.642397081834813e-12
2013,3.5948511773702716e-07,9.993419782171132e-12
2014,3.224130945714673e-07,2.0384919942527192e-11
2015,3.0044073793890546e-07,2.0384919942527192e-11
2016,2.902070791930912e-07,2.0384919942527192e-11
2017,2.864234668701708e-07,2.3782406599615058e-11
2018,2.868582953396981e-07,2.203953200496933e-11
2019,2.794602096400922e-07,2.7549415006211664e-11
