ngram,Steganography,Stegnography
1682,5.374723091985548e-08,0.0
1683,5.374723091985548e-08,0.0
1684,2.016103297007378e-08,0.0
1685,2.016103297007378e-08,0.0
1686,2.016103297007378e-08,0.0
1687,2.016103297007378e-08,0.0
1688,2.016103297007378e-08,0.0
1689,0.0,0.0
1690,0.0,0.0
1691,0.0,0.0
1692,0.0,0.0
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,1.5745945753613862e-08,0.0
1697,1.5745945753613862e-08,0.0
1698,1.5745945753613862e-08,0.0
1699,1.5745945753613862e-08,0.0
1700,1.5745945753613862e-08,0.0
1701,1.5745945753613862e-08,0.0
1702,1.5745945753613862e-08,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,1.2152453012147037e-08,0.0
1708,1.2152453012147037e-08,0.0
1709,1.2152453012147037e-08,0.0
1710,1.2152453012147037e-08,0.0
1711,1.2152453012147037e-08,0.0
1712,2.3015872890092785e-08,0.0
1713,2.3015872890092785e-08,0.0
1714,1.086341987794575e-08,0.0
1715,1.086341987794575e-08,0.0
1716,1.086341987794575e-08,0.0
1717,1.086341987794575e-08,0.0
1718,1.086341987794575e-08,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,3.4787949029383267e-09,0.0
1760,3.4787949029383267e-09,0.0
1761,3.4787949029383267e-09,0.0
1762,3.4787949029383267e-09,0.0
1763,3.4787949029383267e-09,0.0
1764,3.4787949029383267e-09,0.0
1765,3.4787949029383267e-09,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,1.1475100742635341e-08,0.0
1782,1.1475100742635341e-08,0.0
1783,1.1475100742635341e-08,0.0
1784,1.1475100742635341e-08,0.0
1785,1.1475100742635341e-08,0.0
1786,1.1475100742635341e-08,0.0
1787,1.1475100742635341e-08,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,9.132721245919129e-10,0.0
1796,9.132721245919129e-10,0.0
1797,9.132721245919129e-10,0.0
1798,1.4919288027215316e-09,0.0
1799,1.4919288027215316e-09,0.0
1800,4.37357623133445e-09,0.0
1801,4.37357623133445e-09,0.0
1802,3.4603041067425367e-09,0.0
1803,5.21530393474531e-09,0.0
1804,5.21530393474531e-09,0.0
1805,4.896324758339534e-09,0.0
1806,5.413424962265521e-09,0.0
1807,3.368662444230048e-09,0.0
1808,3.368662444230048e-09,0.0
1809,3.368662444230048e-09,0.0
1810,2.4854132244353113e-09,0.0
1811,2.954181106089899e-09,0.0
1812,5.081586136006828e-09,0.0
1813,9.413971063005583e-09,0.0
1814,8.577086152428137e-09,0.0
1815,8.577086152428137e-09,0.0
1816,9.527949730779385e-09,0.0
1817,8.99889426467634e-09,0.0
1818,8.530126383021752e-09,0.0
1819,6.14304385138098e-09,0.0
1820,3.209718903361493e-09,0.0
1821,3.466827412447669e-09,0.0
1822,3.7163652155669524e-09,0.0
1823,5.855682446867913e-09,0.0
1824,5.647107321442897e-09,0.0
1825,5.773724125785711e-09,0.0
1826,6.010720611713895e-09,0.0
1827,4.408272247236056e-09,0.0
1828,4.261493047330589e-09,0.0
1829,4.152503801131096e-09,0.0
1830,1.729454801591146e-09,0.0
1831,2.152702777940314e-09,0.0
1832,2.707281644896499e-09,0.0
1833,2.717719945913696e-09,0.0
1834,2.4870683211299293e-09,0.0
1835,2.460522412801274e-09,0.0
1836,2.319973855881484e-09,0.0
1837,1.7302834561963972e-09,0.0
1838,1.172915463167255e-09,0.0
1839,7.190640939823214e-10,0.0
1840,5.472152730945368e-10,0.0
1841,5.341326904582746e-10,0.0
1842,5.719801695772528e-10,0.0
1843,6.375546995102915e-10,0.0
1844,7.604618522196103e-10,0.0
1845,1.0274169134508578e-09,0.0
1846,8.652931109726885e-10,0.0
1847,1.6381836720480436e-09,0.0
1848,1.6228937360640572e-09,0.0
1849,2.2536163371952458e-09,0.0
1850,2.425391344112222e-09,0.0
1851,2.3178999711667305e-09,0.0
1852,2.505999063024638e-09,0.0
1853,3.3577060497082455e-09,0.0
1854,2.761738821759658e-09,0.0
1855,2.707051146736258e-09,0.0
1856,2.004396470229557e-09,0.0
1857,1.863315386905841e-09,0.0
1858,2.173682793284369e-09,0.0
1859,1.9623461942698738e-09,0.0
1860,1.0454187079503692e-09,0.0
1861,1.0753428187586828e-09,0.0
1862,1.1867793612920151e-09,0.0
1863,1.1370805566964952e-09,0.0
1864,1.1350023460770282e-09,0.0
1865,7.760043005003833e-10,0.0
1866,5.322867464257237e-10,0.0
1867,5.754992038475848e-10,0.0
1868,3.3787749185800106e-10,0.0
1869,2.6602683548101625e-10,0.0
1870,3.5049975620284254e-10,0.0
1871,3.780376963849871e-10,0.0
1872,1.0709419462351377e-09,0.0
1873,1.4610294640782229e-09,0.0
1874,1.4178170066563617e-09,0.0
1875,1.4131203389983987e-09,0.0
1876,1.7185223006548662e-09,0.0
1877,1.7039527249502434e-09,0.0
1878,1.5822245418612673e-09,0.0
1879,1.2291457058515626e-09,0.0
1880,9.706049218318113e-10,0.0
1881,1.1915640934263244e-09,0.0
1882,1.216268221058771e-09,0.0
1883,9.997708851271015e-10,0.0
1884,1.051911169280828e-09,0.0
1885,1.0809344471095018e-09,0.0
1886,8.348255678017732e-10,0.0
1887,8.690826491004294e-10,0.0
1888,7.021291623507001e-10,0.0
1889,6.634808991894709e-10,0.0
1890,7.626515946546064e-10,0.0
1891,6.662130172926542e-10,0.0
1892,7.270760680030567e-10,0.0
1893,7.044413485075246e-10,0.0
1894,6.270046248075494e-10,0.0
1895,6.365125628951926e-10,0.0
1896,6.491025197500175e-10,0.0
1897,4.5859482283067925e-10,0.0
1898,4.871042775483098e-10,0.0
1899,4.154318555826819e-10,0.0
1900,3.0012348955261407e-10,0.0
1901,3.145765156301447e-10,0.0
1902,2.5106289269771764e-10,0.0
1903,3.23876052960819e-10,0.0
1904,4.13552462116432e-10,0.0
1905,3.594379555898237e-10,0.0
1906,4.187989796225874e-10,0.0
1907,4.627495014159726e-10,0.0
1908,4.697250168193636e-10,0.0
1909,5.38630065153153e-10,0.0
1910,4.408299429857289e-10,0.0
1911,4.957131441440943e-10,0.0
1912,5.389554665653178e-10,0.0
1913,4.613805359591058e-10,1.4297918999555443e-11
1914,5.635949038811689e-10,1.4297918999555443e-11
1915,4.697379935422344e-10,1.4297918999555443e-11
1916,5.212478454815919e-10,1.4297918999555443e-11
1917,9.404117048575751e-10,1.4297918999555443e-11
1918,1.5352315173102126e-09,1.4297918999555443e-11
1919,2.472185690287938e-09,1.4297918999555443e-11
1920,2.5185890000540515e-09,0.0
1921,2.3724241103386034e-09,0.0
1922,2.501393156098938e-09,0.0
1923,2.4055317004207613e-09,0.0
1924,2.021437011826396e-09,0.0
1925,1.3139196020877414e-09,0.0
1926,3.3372310668879276e-10,0.0
1927,3.5553492887847275e-10,0.0
1928,3.7834441532095097e-10,0.0
1929,2.3343664699661456e-10,0.0
1930,2.0888320240164404e-10,0.0
1931,1.8627315166521085e-10,0.0
1932,1.1725762821030676e-10,0.0
1933,1.4042478687795575e-10,0.0
1934,9.467752970504506e-11,0.0
1935,7.186804326256687e-11,0.0
1936,1.765552069622954e-10,0.0
1937,1.765552069622954e-10,0.0
1938,1.7207444794450514e-10,0.0
1939,1.969684732776906e-10,0.0
1940,2.253878393444962e-10,0.0
1941,2.0291996456161295e-10,0.0
1942,2.0291996456161295e-10,0.0
1943,9.823280086188443e-11,0.0
1944,1.172041233906843e-10,0.0
1945,1.5176013223872076e-10,0.0
1946,1.4341421106234264e-10,0.0
1947,1.9116953853259844e-10,0.0
1948,2.0826953852002917e-10,0.0
1949,2.252757008713857e-10,0.0
1950,2.252757008713857e-10,0.0
1951,2.0630437834258585e-10,0.0
1952,1.49996118700305e-10,0.0
1953,1.6482648777595343e-10,0.0
1954,1.090325032640901e-10,0.0
1955,2.658635315867995e-10,0.0
1956,2.48857369235443e-10,0.0
1957,2.616010949529901e-10,0.0
1958,3.2111013550542976e-10,0.0
1959,3.2111013550542976e-10,0.0
1960,3.426709660073587e-10,0.0
1961,4.1167878530748835e-10,0.0
1962,2.4794951310390193e-10,0.0
1963,3.7669965063935607e-10,0.0
1964,6.157686067392071e-10,0.0
1965,6.708556289845648e-10,0.0
1966,6.884417718439855e-10,0.0
1967,6.797258628970277e-10,0.0
1968,6.64592135292606e-10,0.0
1969,6.902979219981984e-10,0.0
1970,7.457074719623741e-10,0.0
1971,5.92354697039253e-10,0.0
1972,5.56017636694455e-10,0.0
1973,5.466855906458409e-10,0.0
1974,5.676422199348988e-10,0.0
1975,5.594247614751754e-10,0.0
1976,5.556629432373101e-10,0.0
1977,5.079522348373975e-10,0.0
1978,4.829316857127683e-10,0.0
1979,4.2905578593956303e-10,0.0
1980,4.678226556142917e-10,0.0
1981,5.018300120689695e-10,0.0
1982,4.422714912553717e-10,0.0
1983,4.915533297860414e-10,0.0
1984,6.050245304756174e-10,0.0
1985,6.400962934297435e-10,0.0
1986,8.091527408422244e-10,0.0
1987,9.761307357652222e-10,0.0
1988,1.0432971907027776e-09,0.0
1989,1.1999075384088493e-09,0.0
1990,1.2116844511871656e-09,0.0
1991,1.204827206256555e-09,0.0
1992,1.3698969577749916e-09,0.0
1993,2.3809916578037313e-09,0.0
1994,2.960374564534415e-09,0.0
1995,4.825128455518016e-09,0.0
1996,6.876096121060422e-09,6.30203924759495e-12
1997,9.400290260482994e-09,1.2054563696446102e-11
1998,1.2762566590853095e-08,3.5165713595043864e-11
1999,1.6578111962571385e-08,5.685869037501996e-11
2000,2.4901685792753725e-08,8.801326532660779e-11
2001,3.244458416215171e-08,9.815472541894823e-11
2002,4.132237815416115e-08,2.5384279103305273e-10
2003,4.772503408340916e-08,2.4754075178545776e-10
2004,5.297520060716059e-08,2.417882273366066e-10
2005,5.615199124723144e-08,2.286142644239827e-10
2006,6.155829014785143e-08,2.4294729125288027e-10
2007,6.061227253439938e-08,2.117927163012924e-10
2008,6.454600561970178e-08,2.0165125620895197e-10
2009,6.161501378950821e-08,2.3265375836174178e-10
2010,5.917738629282862e-08,2.4493544692472113e-10
2011,5.971255997597577e-08,2.5422024108839077e-10
2012,6.02673943766214e-08,2.4962291162682655e-10
2013,6.1666650960238e-08,2.135969080179529e-10
2014,6.29616810751291e-08,2.2918415776285173e-10
2015,6.38664760442355e-08,2.400455003421469e-10
2016,6.919410720586581e-08,1.0342281892006255e-10
2017,7.349049724325596e-08,1.063313187499304e-10
2018,7.642476234082096e-08,1.1459887067077901e-10
2019,8.269126539062199e-08,1.3390383767075686e-10
