ngram,Black Hole
1762,8.87E-08
1763,9.09E-08
1764,9.33E-08
1765,9.04E-08
1766,9.36E-08
1767,9.95E-08
1768,4.07E-08
1769,4.73E-08
1770,4.74E-08
1771,4.95E-08
1772,5.96E-08
1773,5.64E-08
1774,5.81E-08
1775,5.04E-08
1776,4.14E-08
1777,3.04E-08
1778,2.55E-08
1779,2.03E-08
1780,4.72E-08
1781,4.07E-08
1782,4.28E-08
1783,4.64E-08
1784,5.28E-08
1785,6.24E-08
1786,6.14E-08
1787,4.43E-08
1788,4.31E-08
1789,5.66E-08
1790,5.46E-08
1791,5.76E-08
1792,6.19E-08
1793,6.46E-08
1794,5.86E-08
1795,5.96E-08
1796,5.22E-08
1797,5.67E-08
1798,5.40E-08
1799,3.84E-08
1800,3.86E-08
1801,5.25E-08
1802,5.73E-08
1803,5.58E-08
1804,5.65E-08
1805,6.44E-08
1806,7.19E-08
1807,7.48E-08
1808,7.38E-08
1809,8.10E-08
1810,9.12E-08
1811,9.26E-08
1812,8.71E-08
1813,8.42E-08
1814,9.06E-08
1815,8.67E-08
1816,7.79E-08
1817,7.23E-08
1818,6.87E-08
1819,6.64E-08
1820,6.64E-08
1821,5.81E-08
1822,5.38E-08
1823,5.70E-08
1824,5.81E-08
1825,6.30E-08
1826,6.22E-08
1827,6.53E-08
1828,6.53E-08
1829,6.55E-08
1830,6.88E-08
1831,7.20E-08
1832,7.38E-08
1833,8.83E-08
1834,9.34E-08
1835,9.66E-08
1836,9.93E-08
1837,1.06E-07
1838,1.10E-07
1839,1.12E-07
1840,1.05E-07
1841,1.05E-07
1842,1.09E-07
1843,1.17E-07
1844,1.11E-07
1845,1.12E-07
1846,1.14E-07
1847,1.25E-07
1848,1.23E-07
1849,1.28E-07
1850,1.27E-07
1851,1.31E-07
1852,1.23E-07
1853,1.20E-07
1854,1.20E-07
1855,1.40E-07
1856,1.44E-07
1857,1.49E-07
1858,1.48E-07
1859,1.50E-07
1860,1.61E-07
1861,1.59E-07
1862,1.43E-07
1863,1.35E-07
1864,1.28E-07
1865,1.28E-07
1866,1.37E-07
1867,1.27E-07
1868,1.20E-07
1869,1.18E-07
1870,1.15E-07
1871,1.14E-07
1872,1.17E-07
1873,1.11E-07
1874,1.10E-07
1875,1.22E-07
1876,1.24E-07
1877,1.28E-07
1878,1.28E-07
1879,1.28E-07
1880,1.29E-07
1881,1.31E-07
1882,1.18E-07
1883,1.17E-07
1884,1.13E-07
1885,1.11E-07
1886,1.07E-07
1887,1.02E-07
1888,1.02E-07
1889,1.03E-07
1890,1.05E-07
1891,1.07E-07
1892,1.06E-07
1893,1.06E-07
1894,1.10E-07
1895,1.10E-07
1896,1.19E-07
1897,1.16E-07
1898,1.13E-07
1899,1.14E-07
1900,1.16E-07
1901,1.09E-07
1902,1.10E-07
1903,1.05E-07
1904,1.10E-07
1905,1.12E-07
1906,1.13E-07
1907,1.10E-07
1908,1.12E-07
1909,1.04E-07
1910,9.73E-08
1911,9.18E-08
1912,8.83E-08
1913,8.80E-08
1914,8.54E-08
1915,8.15E-08
1916,8.14E-08
1917,7.62E-08
1918,7.14E-08
1919,6.84E-08
1920,6.37E-08
1921,6.31E-08
1922,6.52E-08
1923,6.65E-08
1924,6.51E-08
1925,6.63E-08
1926,7.00E-08
1927,7.00E-08
1928,7.37E-08
1929,7.05E-08
1930,6.69E-08
1931,6.87E-08
1932,6.82E-08
1933,6.40E-08
1934,6.40E-08
1935,5.86E-08
1936,5.81E-08
1937,6.22E-08
1938,5.81E-08
1939,5.61E-08
1940,5.25E-08
1941,4.68E-08
1942,4.48E-08
1943,4.45E-08
1944,3.75E-08
1945,3.72E-08
1946,3.68E-08
1947,3.84E-08
1948,4.06E-08
1949,3.98E-08
1950,3.67E-08
1951,3.83E-08
1952,3.87E-08
1953,3.88E-08
1954,3.72E-08
1955,3.64E-08
1956,3.51E-08
1957,3.62E-08
1958,3.49E-08
1959,3.92E-08
1960,3.95E-08
1961,4.19E-08
1962,4.24E-08
1963,4.50E-08
1964,4.56E-08
1965,4.79E-08
1966,4.42E-08
1967,4.43E-08
1968,4.64E-08
1969,4.72E-08
1970,4.88E-08
1971,5.27E-08
1972,5.42E-08
1973,5.57E-08
1974,6.01E-08
1975,5.93E-08
1976,6.21E-08
1977,6.85E-08
1978,7.26E-08
1979,7.31E-08
1980,7.52E-08
1981,7.61E-08
1982,7.99E-08
1983,8.09E-08
1984,8.00E-08
1985,7.83E-08
1986,8.50E-08
1987,8.72E-08
1988,9.17E-08
1989,9.67E-08
1990,1.04E-07
1991,1.08E-07
1992,1.15E-07
1993,1.23E-07
1994,1.27E-07
1995,1.31E-07
1996,1.32E-07
1997,1.31E-07
1998,1.34E-07
1999,1.35E-07
2000,1.33E-07
2001,1.39E-07
2002,1.42E-07
2003,1.50E-07
2004,1.55E-07
2005,1.61E-07
2006,1.61E-07
2007,1.65E-07
2008,1.67E-07
2009,1.69E-07
2010,1.64E-07
2011,1.66E-07
2012,1.65E-07
2013,1.67E-07
2014,1.67E-07
2015,1.66E-07
2016,1.70E-07
2017,1.73E-07
2018,1.74E-07
2019,1.74E-07
