ngram,Undelete
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,6.09293885186649e-11
1860,6.09293885186649e-11
1861,6.09293885186649e-11
1862,6.09293885186649e-11
1863,6.09293885186649e-11
1864,6.09293885186649e-11
1865,6.09293885186649e-11
1866,4.4239619903915386e-11
1867,4.4239619903915386e-11
1868,4.4239619903915386e-11
1869,4.4239619903915386e-11
1870,4.4239619903915386e-11
1871,4.4239619903915386e-11
1872,4.4239619903915386e-11
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,3.715351042694286e-11
1898,3.715351042694286e-11
1899,5.536741700039118e-11
1900,5.536741700039118e-11
1901,5.536741700039118e-11
1902,5.536741700039118e-11
1903,5.536741700039118e-11
1904,1.8213906573448314e-11
1905,1.8213906573448314e-11
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,1.7425817931483933e-10
1940,1.7425817931483933e-10
1941,1.7425817931483933e-10
1942,5.727869131380966e-10
1943,5.727869131380966e-10
1944,5.727869131380966e-10
1945,5.727869131380966e-10
1946,3.9852873382325727e-10
1947,3.9852873382325727e-10
1948,3.9852873382325727e-10
1949,0.0
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,2.898850405750965e-11
1956,4.245650953820552e-11
1957,4.245650953820552e-11
1958,4.245650953820552e-11
1959,4.245650953820552e-11
1960,4.245650953820552e-11
1961,4.245650953820552e-11
1962,1.346800548069587e-11
1963,9.90385650474173e-12
1964,5.487040682927713e-11
1965,7.250057003162423e-11
1966,7.250057003162423e-11
1967,9.018992794659501e-11
1968,9.018992794659501e-11
1969,9.018992794659501e-11
1970,8.028607144185327e-11
1971,3.531952111731787e-11
1972,1.7689357914970774e-11
1973,2.594345472577737e-11
1974,8.254096810806593e-12
1975,1.6363596985361337e-11
1976,4.850932155964216e-11
1977,5.653573244477985e-11
1978,3.094935141501054e-10
1979,4.5579213815903433e-10
1980,1.0901579034336022e-09
1981,1.7005417738651702e-09
1982,3.4637795330384945e-09
1983,6.2964035632154645e-09
1984,8.236284384669342e-09
1985,1.1875258966652171e-08
1986,1.6509680670192698e-08
1987,2.348408654841348e-08
1988,3.176670126947556e-08
1989,3.7831423834891864e-08
1990,5.974572963347263e-08
1991,7.266407666049548e-08
1992,7.516630213493564e-08
1993,7.264005752460889e-08
1994,6.68634175328618e-08
1995,6.048694865614022e-08
1996,5.498263343030528e-08
1997,3.1394330436894183e-08
1998,1.7914745115937033e-08
1999,1.2545580447514176e-08
2000,1.2056530757880474e-08
2001,1.0834774093788318e-08
2002,9.225529990735432e-09
2003,7.543700711717553e-09
2004,6.938327499840722e-09
2005,6.406256668002795e-09
2006,6.436310785927292e-09
2007,5.325678437933285e-09
2008,5.236157317258159e-09
2009,4.79352376839667e-09
2010,4.495673515998127e-09
2011,4.3837986574146726e-09
2012,3.8122129897288914e-09
2013,3.3618312895405164e-09
2014,2.956433605863903e-09
2015,2.731443230327305e-09
2016,2.4670627128488475e-09
2017,2.4674855862253744e-09
2018,2.2980484182255623e-09
2019,2.377288754740192e-09
