ngram,Unified Communications
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,7.298699739826426e-11
1839,7.298699739826426e-11
1840,7.298699739826426e-11
1841,7.298699739826426e-11
1842,7.298699739826426e-11
1843,7.298699739826426e-11
1844,7.298699739826426e-11
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,2.003474529134662e-10
1856,2.003474529134662e-10
1857,2.003474529134662e-10
1858,2.003474529134662e-10
1859,2.003474529134662e-10
1860,2.003474529134662e-10
1861,2.003474529134662e-10
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,1.3661026674961972e-11
1919,1.3661026674961972e-11
1920,1.3661026674961972e-11
1921,9.371100126046424e-11
1922,9.371100126046424e-11
1923,9.371100126046424e-11
1924,9.371100126046424e-11
1925,8.004997458550228e-11
1926,8.004997458550228e-11
1927,8.004997458550228e-11
1928,0.0
1929,0.0
1930,0.0
1931,2.4921463702222623e-11
1932,2.4921463702222623e-11
1933,2.4921463702222623e-11
1934,2.4921463702222623e-11
1935,2.4921463702222623e-11
1936,2.4921463702222623e-11
1937,2.4921463702222623e-11
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,1.7841985825281117e-11
1946,4.9309897435076013e-11
1947,4.9309897435076013e-11
1948,4.9309897435076013e-11
1949,4.9309897435076013e-11
1950,4.9309897435076013e-11
1951,4.9309897435076013e-11
1952,3.1467911609794896e-11
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,1.0072054301701883e-11
1961,3.1484668047302276e-11
1962,5.0896517159567825e-11
1963,6.03220529082904e-11
1964,1.6305741281007003e-10
1965,1.6305741281007003e-10
1966,1.6305741281007003e-10
1967,2.287462639939873e-10
1968,2.579228378493273e-10
1969,2.641501541310122e-10
1970,2.9645403592277424e-10
1971,2.704118675010493e-10
1972,4.939424742238835e-10
1973,8.160970312230478e-10
1974,8.566455402179787e-10
1975,1.2687195302277639e-09
1976,1.2813012714322066e-09
1977,1.2548440213509616e-09
1978,1.2014361341112461e-09
1979,1.024288159250692e-09
1980,7.095882036718087e-10
1981,6.223089841058841e-10
1982,2.583276945530447e-10
1983,3.045821035861453e-10
1984,3.242692691743773e-10
1985,3.629266421120317e-10
1986,4.676607325599618e-10
1987,5.747281896427227e-10
1988,6.314234135551544e-10
1989,6.593377510633047e-10
1990,7.20574845823409e-10
1991,8.919827376718814e-10
1992,9.390522327988394e-10
1993,9.1056027004147e-10
1994,9.446482247226535e-10
1995,9.866886117672534e-10
1996,1.0701711976907851e-09
1997,1.3406961810577149e-09
1998,1.6843881924165161e-09
1999,2.6130730595192678e-09
2000,3.563458171397725e-09
2001,7.168000106170882e-09
2002,8.170596136177925e-09
2003,9.808553588389453e-09
2004,1.2873530495584516e-08
2005,2.5203002351759096e-08
2006,3.232473450814106e-08
2007,4.008000090546407e-08
2008,5.3635186831562416e-08
2009,5.528739206133488e-08
2010,5.915305984720882e-08
2011,5.741799619889727e-08
2012,4.917199955148785e-08
2013,4.463715923869975e-08
2014,3.630776311349036e-08
2015,1.955217629071423e-08
2016,1.735857651270172e-08
2017,1.3585684540314466e-08
2018,1.3858210534678505e-08
2019,9.214077889563299e-09
