ngram,Optical Scanner
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,3.4539617198094315e-11
1879,3.4539617198094315e-11
1880,3.4539617198094315e-11
1881,3.4539617198094315e-11
1882,3.4539617198094315e-11
1883,3.4539617198094315e-11
1884,3.4539617198094315e-11
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,1.514479315765728e-11
1916,1.514479315765728e-11
1917,1.514479315765728e-11
1918,1.514479315765728e-11
1919,1.514479315765728e-11
1920,1.514479315765728e-11
1921,1.514479315765728e-11
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,7.758381239040903e-11
1931,7.758381239040903e-11
1932,7.758381239040903e-11
1933,7.758381239040903e-11
1934,7.758381239040903e-11
1935,7.758381239040903e-11
1936,7.758381239040903e-11
1937,0.0
1938,4.13243249143745e-11
1939,4.13243249143745e-11
1940,4.13243249143745e-11
1941,4.13243249143745e-11
1942,4.13243249143745e-11
1943,4.13243249143745e-11
1944,4.13243249143745e-11
1945,0.0
1946,0.0
1947,3.148456892024651e-11
1948,3.148456892024651e-11
1949,3.148456892024651e-11
1950,2.2448112416536707e-10
1951,2.2448112416536707e-10
1952,2.2448112416536707e-10
1953,2.2448112416536707e-10
1954,2.3440516194739303e-10
1955,3.7224285558729823e-10
1956,1.000172563817411e-09
1957,3.0498564626161138e-09
1958,4.306622709242853e-09
1959,5.854338061947065e-09
1960,6.529165684300762e-09
1961,7.269317481295445e-09
1962,7.898247833537653e-09
1963,8.259999351167835e-09
1964,6.582363352793306e-09
1965,6.223170423425017e-09
1966,5.73021325627516e-09
1967,6.107620441144133e-09
1968,6.228233865154412e-09
1969,6.264826371956847e-09
1970,5.959507617550994e-09
1971,7.056148934988674e-09
1972,7.888868098453777e-09
1973,7.753429009937918e-09
1974,7.600653693730562e-09
1975,7.924537343788934e-09
1976,7.480453304406102e-09
1977,7.116806350586964e-09
1978,6.130394382606954e-09
1979,5.737467802445297e-09
1980,5.556154235110609e-09
1981,5.60743359681989e-09
1982,5.509169089177947e-09
1983,5.931289237537385e-09
1984,6.414638407749505e-09
1985,6.38632143993131e-09
1986,7.782197235834637e-09
1987,8.49480454233133e-09
1988,8.150737862422375e-09
1989,7.845820374338278e-09
1990,7.830997691574534e-09
1991,7.802373477464438e-09
1992,7.809489689845707e-09
1993,5.4563847408571425e-09
1994,4.439217787017518e-09
1995,4.434870153653086e-09
1996,4.188210825769748e-09
1997,3.996701668031375e-09
1998,3.820825782747355e-09
1999,3.822412069404939e-09
2000,4.094981782236979e-09
2001,4.15422766028176e-09
2002,4.002001936192252e-09
2003,3.804240002379191e-09
2004,3.565756674055771e-09
2005,3.302262146271622e-09
2006,2.7789178815216887e-09
2007,2.34589654844543e-09
2008,2.054464527072903e-09
2009,1.8056577899550064e-09
2010,1.6610523036396175e-09
2011,1.4126602348214184e-09
2012,1.1324158872521345e-09
2013,1.18845725720946e-09
2014,1.0428632441732739e-09
2015,9.44921454574096e-10
2016,9.042568083206248e-10
2017,7.821427533416525e-10
2018,8.151061103855995e-10
2019,9.211876400572194e-10
