ngram,Route Control
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,1.4453379762865585e-10
1855,1.4453379762865585e-10
1856,1.4453379762865585e-10
1857,1.4453379762865585e-10
1858,1.4453379762865585e-10
1859,1.4453379762865585e-10
1860,1.4453379762865585e-10
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,1.3272155200258088e-11
1918,1.3272155200258088e-11
1919,1.3272155200258088e-11
1920,1.3272155200258088e-11
1921,1.3272155200258088e-11
1922,1.3272155200258088e-11
1923,1.3272155200258088e-11
1924,2.3191664858376473e-11
1925,4.5035074875648156e-11
1926,4.5035074875648156e-11
1927,6.662537386871646e-11
1928,4.3459674153074294e-10
1929,4.826255684780329e-10
1930,4.826255684780329e-10
1931,4.594339036196564e-10
1932,1.1564752548455714e-09
1933,1.2445059249006312e-09
1934,1.3936419478761358e-09
1935,1.2790437756545918e-09
1936,1.4100606000282718e-09
1937,1.8576689631011334e-09
1938,1.919655450472695e-09
1939,1.792303543674783e-09
1940,1.7778326350763913e-09
1941,1.7644419496904667e-09
1942,1.748044605890239e-09
1943,1.6914126527949642e-09
1944,1.4062624636197135e-09
1945,1.9509034863775453e-09
1946,1.4065725013295044e-09
1947,1.679343005925712e-09
1948,1.570763836460693e-09
1949,1.4954777733627062e-09
1950,1.485645400351692e-09
1951,1.4805493022050443e-09
1952,1.231788797945959e-09
1953,1.5276446377729007e-09
1954,1.6368090613053506e-09
1955,1.6707552167157961e-09
1956,1.919141972323806e-09
1957,1.818683243686487e-09
1958,1.9217322098720656e-09
1959,2.047526251721824e-09
1960,1.8958375742299846e-09
1961,1.729413176157887e-09
1962,1.8990645960543465e-09
1963,1.705775370159606e-09
1964,2.044665230777858e-09
1965,2.5308338758023297e-09
1966,2.398758889933715e-09
1967,2.7629698211890333e-09
1968,2.8280238468474702e-09
1969,4.490060862798779e-09
1970,5.249741911025499e-09
1971,5.7338330591453055e-09
1972,5.757192151583419e-09
1973,6.670651935587151e-09
1974,6.867206200514683e-09
1975,7.608051458670876e-09
1976,6.335771653352497e-09
1977,5.863284810051336e-09
1978,5.92854625709143e-09
1979,5.838886104772964e-09
1980,5.699485106092084e-09
1981,5.716651057292259e-09
1982,5.263113786061321e-09
1983,5.050418718153895e-09
1984,5.112778391134855e-09
1985,4.756132376826372e-09
1986,4.811726509298556e-09
1987,4.144169896136418e-09
1988,3.961759111246823e-09
1989,3.6937856582954153e-09
1990,3.6444888059808787e-09
1991,3.4721214157786206e-09
1992,3.5643067227856105e-09
1993,3.0982084199747207e-09
1994,2.949724401243462e-09
1995,2.8617300592718007e-09
1996,2.80639054852015e-09
1997,2.875369466335899e-09
1998,2.9049412716578414e-09
1999,2.8059548018433134e-09
2000,2.8773678043389086e-09
2001,2.9445278596337434e-09
2002,2.849698794398543e-09
2003,2.747839019815298e-09
2004,2.5872392006576206e-09
2005,2.821633577581346e-09
2006,2.6424564599939313e-09
2007,2.428992911569188e-09
2008,2.3038033227150224e-09
2009,2.073401085743244e-09
2010,2.126067544239163e-09
2011,2.1153658190188806e-09
2012,1.5183266072987018e-09
2013,1.3642144239664082e-09
2014,1.5921278422632262e-09
2015,1.5006959801817337e-09
2016,1.41032052702883e-09
2017,1.3316269198426767e-09
2018,1.2090369150286051e-09
2019,1.4047197849365034e-09
