ngram,Zero Day
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,1.5128944129218424e-10
1904,1.5128944129218424e-10
1905,1.657609089671703e-10
1906,1.657609089671703e-10
1907,5.274864156579184e-10
1908,5.926461345482994e-10
1909,6.580532666397179e-10
1910,6.375376774122746e-10
1911,6.508062184400793e-10
1912,6.363347507650932e-10
1913,6.363347507650932e-10
1914,3.0238303329520125e-10
1915,7.218566954498534e-10
1916,7.851934439941286e-10
1917,1.0127677684585684e-09
1918,1.0404823094381906e-09
1919,1.1754662858155994e-09
1920,1.2195152407753644e-09
1921,1.2184247757554952e-09
1922,8.713409061738326e-10
1923,8.82534166777939e-10
1924,5.705693199655113e-10
1925,5.732730579926277e-10
1926,4.818120565218211e-10
1927,4.809436995481927e-10
1928,4.97551123317714e-10
1929,6.241601640295207e-10
1930,6.135293662001828e-10
1931,6.917533530120019e-10
1932,6.705316817663081e-10
1933,6.27008706859706e-10
1934,7.332136445611529e-10
1935,6.899228965906445e-10
1936,4.655522673718033e-10
1937,4.854487169390711e-10
1938,3.6084140041049903e-10
1939,3.856988815633043e-10
1940,4.102188033705545e-10
1941,4.70614127033388e-10
1942,1.5133078679063772e-09
1943,4.554264747071355e-09
1944,5.3798109974792905e-09
1945,6.664433945178873e-09
1946,6.774450869321111e-09
1947,6.970322937885751e-09
1948,6.8255507040022275e-09
1949,5.782856963129238e-09
1950,2.7986104386304842e-09
1951,1.8395976032164236e-09
1952,6.146191551735316e-10
1953,5.020262558838187e-10
1954,3.506486153024925e-10
1955,4.923965382256209e-10
1956,5.436561062444056e-10
1957,4.592804251992076e-10
1958,5.227997479373414e-10
1959,4.953993187895023e-10
1960,4.909408812021304e-10
1961,4.540454520299672e-10
1962,2.958185284031499e-10
1963,2.539844961330877e-10
1964,3.7028109546786784e-10
1965,2.9102556475812946e-10
1966,2.755236871987421e-10
1967,2.604891064755017e-10
1968,5.403368288517793e-10
1969,5.345391490552132e-10
1970,5.501512638307813e-10
1971,5.410325818308185e-10
1972,6.983318982602325e-10
1973,8.701679694261039e-10
1974,9.224539425962369e-10
1975,8.186857263543195e-10
1976,8.065305070629033e-10
1977,9.7239494432712e-10
1978,9.22950345118499e-10
1979,8.043032212468049e-10
1980,7.573623890731542e-10
1981,7.088529743340796e-10
1982,6.134338493517838e-10
1983,7.166097041163713e-10
1984,5.956262824228073e-10
1985,5.877130448972423e-10
1986,6.344746553540606e-10
1987,5.691852624144036e-10
1988,6.390690080301401e-10
1989,5.769281956930732e-10
1990,5.191994849924291e-10
1991,5.055627900445764e-10
1992,5.102386648113213e-10
1993,4.738747648249029e-10
1994,5.027921571151442e-10
1995,4.829713375263469e-10
1996,6.364094132634993e-10
1997,9.820997626253103e-10
1998,1.151342089127689e-09
1999,1.3325317872934862e-09
2000,1.46149274428607e-09
2001,1.9793374479120426e-09
2002,2.237818454352082e-09
2003,2.313896328511232e-09
2004,2.257613445395228e-09
2005,2.5196274114743946e-09
2006,2.7814771914285482e-09
2007,3.1245798964058783e-09
2008,3.070028548839738e-09
2009,3.2534457033201694e-09
2010,3.53063070842755e-09
2011,4.0515031012639775e-09
2012,4.96468272841761e-09
2013,6.094234735901491e-09
2014,7.079640524614612e-09
2015,7.797390193837422e-09
2016,9.245572307747807e-09
2017,1.0136271673862515e-08
2018,1.0922700788285056e-08
2019,1.120211967631235e-08
