ngram,Program Evaluation and Review Technique
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,1.5483665143684837e-10
1824,1.5483665143684837e-10
1825,1.5483665143684837e-10
1826,1.5483665143684837e-10
1827,1.5483665143684837e-10
1828,1.5483665143684837e-10
1829,1.5483665143684837e-10
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,2.8177846960503975e-11
1891,2.8177846960503975e-11
1892,2.8177846960503975e-11
1893,2.8177846960503975e-11
1894,2.8177846960503975e-11
1895,2.8177846960503975e-11
1896,2.8177846960503975e-11
1897,0.0
1898,2.016476866436737e-11
1899,2.016476866436737e-11
1900,2.016476866436737e-11
1901,2.016476866436737e-11
1902,2.016476866436737e-11
1903,2.016476866436737e-11
1904,2.016476866436737e-11
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,1.0078392882156046e-10
1917,1.0078392882156046e-10
1918,1.0078392882156046e-10
1919,1.0078392882156046e-10
1920,1.0078392882156046e-10
1921,1.0078392882156046e-10
1922,2.359040819831039e-10
1923,1.3512015316154346e-10
1924,1.3512015316154346e-10
1925,1.608455471987672e-10
1926,1.608455471987672e-10
1927,1.608455471987672e-10
1928,1.608455471987672e-10
1929,2.5725394037223737e-11
1930,2.5725394037223737e-11
1931,1.4291664280590462e-10
1932,1.1719124876868088e-10
1933,1.1719124876868088e-10
1934,1.1719124876868088e-10
1935,1.1719124876868088e-10
1936,1.1719124876868088e-10
1937,1.1719124876868088e-10
1938,0.0
1939,2.777115244117263e-11
1940,2.777115244117263e-11
1941,2.777115244117263e-11
1942,2.777115244117263e-11
1943,5.167406185486405e-11
1944,2.2057638255595132e-10
1945,2.2057638255595132e-10
1946,1.9280523011477868e-10
1947,2.1126192462084248e-10
1948,2.1126192462084248e-10
1949,3.2501229088996043e-10
1950,3.388553862107965e-10
1951,2.4372870190335153e-10
1952,3.311604224969551e-10
1953,5.061000091233225e-10
1954,6.008930416737509e-10
1955,1.0692463026096277e-09
1956,1.8547377602016825e-09
1957,2.6258028687894554e-09
1958,5.3215091460374305e-09
1959,1.3488205726933496e-08
1960,2.0799083059027827e-08
1961,2.8745504357782385e-08
1962,3.386391820926958e-08
1963,4.020188201384453e-08
1964,4.677044427938069e-08
1965,5.116944734595563e-08
1966,4.991229727936895e-08
1967,4.8957282164760075e-08
1968,4.746210484946849e-08
1969,4.7272138203879877e-08
1970,4.5662537624074114e-08
1971,4.427342962084627e-08
1972,4.2360860216409235e-08
1973,4.323572255771069e-08
1974,4.231402682210371e-08
1975,4.1813787987621254e-08
1976,4.085572464467597e-08
1977,3.9971937886613366e-08
1978,3.9090090402688863e-08
1979,3.863172791186896e-08
1980,3.530585652405145e-08
1981,3.447976634366309e-08
1982,3.3014005497631974e-08
1983,3.2542185073631506e-08
1984,3.1235989794708985e-08
1985,2.9358037524827652e-08
1986,2.956275706773275e-08
1987,2.8105714327304147e-08
1988,2.626215993879149e-08
1989,2.4727368597154964e-08
1990,2.376702618838473e-08
1991,2.370256549763131e-08
1992,2.323947510620071e-08
1993,2.055008988374344e-08
1994,1.9714887754064747e-08
1995,1.9667454712443292e-08
1996,1.8905449396454188e-08
1997,1.867286236745258e-08
1998,1.783581714067038e-08
1999,1.9235427219298018e-08
2000,1.932707073746899e-08
2001,1.992634400340064e-08
2002,2.0315912254074775e-08
2003,2.0983199939499693e-08
2004,2.1618292426036793e-08
2005,2.2087059800160854e-08
2006,2.094684908066873e-08
2007,2.2409622855791766e-08
2008,2.3850407109599862e-08
2009,2.3289932522223874e-08
2010,2.3543266384048626e-08
2011,2.249506561976692e-08
2012,2.2076905636936317e-08
2013,2.1537039072784736e-08
2014,1.955339915379487e-08
2015,1.7025976565118332e-08
2016,1.5715366024388848e-08
2017,1.4575221622218729e-08
2018,1.4185035368541321e-08
2019,1.320452636122127e-08
