ngram,Certification Authority
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,9.635586772915872e-11
1855,9.635586772915872e-11
1856,9.635586772915872e-11
1857,9.635586772915872e-11
1858,9.635586772915872e-11
1859,9.635586772915872e-11
1860,9.635586772915872e-11
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,1.4195047676983969e-09
1891,1.4195047676983969e-09
1892,1.4195047676983969e-09
1893,1.4195047676983969e-09
1894,1.4195047676983969e-09
1895,1.4195047676983969e-09
1896,1.4195047676983969e-09
1897,1.7647633354656023e-11
1898,1.7647633354656023e-11
1899,1.7647633354656023e-11
1900,1.7647633354656023e-11
1901,1.7647633354656023e-11
1902,1.7647633354656023e-11
1903,1.7647633354656023e-11
1904,1.505231950987047e-11
1905,1.505231950987047e-11
1906,1.505231950987047e-11
1907,1.505231950987047e-11
1908,1.505231950987047e-11
1909,1.505231950987047e-11
1910,1.505231950987047e-11
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,2.176148745330104e-11
1927,2.1607418037345687e-10
1928,2.593649283439652e-10
1929,2.593649283439652e-10
1930,1.1127868329178066e-09
1931,1.3370800042552693e-09
1932,1.4044754506218178e-09
1933,1.382713963168517e-09
1934,1.3164460117247906e-09
1935,1.3153841309827235e-09
1936,1.3352780924608914e-09
1937,7.376323976230178e-10
1938,6.579743555557016e-10
1939,7.325468069442818e-10
1940,8.551464199456151e-10
1941,7.271016784691855e-10
1942,6.848728112407443e-10
1943,7.465879819130399e-10
1944,5.088626801676353e-10
1945,3.8206953672277015e-10
1946,2.715695505774361e-10
1947,2.1193907541659585e-10
1948,2.444433881500428e-10
1949,2.7678134585849637e-10
1950,3.3991963410695547e-10
1951,4.005497639918738e-10
1952,5.914635210173864e-10
1953,6.345733660761965e-10
1954,8.476616273979585e-10
1955,1.2148866436665985e-09
1956,1.4901060940708533e-09
1957,1.7332817641475223e-09
1958,2.1641005654160494e-09
1959,3.116131337093415e-09
1960,3.5048680783030963e-09
1961,3.999664789842785e-09
1962,3.920230965245455e-09
1963,4.394993036171968e-09
1964,4.666288466737001e-09
1965,5.0627505362602474e-09
1966,4.4126009195772605e-09
1967,6.828200798431843e-09
1968,6.9679520566166636e-09
1969,7.228810978381668e-09
1970,7.189275111737661e-09
1971,7.322552881510498e-09
1972,7.343829068671783e-09
1973,7.791798381110278e-09
1974,5.804589507464795e-09
1975,5.896421002254166e-09
1976,6.423672895193379e-09
1977,6.597219342247789e-09
1978,6.596423407501106e-09
1979,6.488611806584491e-09
1980,6.1561921274996425e-09
1981,5.895893360831548e-09
1982,5.379817226623475e-09
1983,4.98241143580864e-09
1984,4.695349379143668e-09
1985,4.516193260631748e-09
1986,4.353795990397202e-09
1987,4.402017163483509e-09
1988,4.4959793348604245e-09
1989,4.731217068914313e-09
1990,5.040203429221687e-09
1991,5.455278641518037e-09
1992,6.429467180879556e-09
1993,7.942896055165453e-09
1994,1.1695828369287905e-08
1995,1.6671248381783244e-08
1996,2.166979605279705e-08
1997,2.918815252986714e-08
1998,3.701626510072791e-08
1999,4.2714062128571384e-08
2000,5.2554392076282445e-08
2001,5.609223511068454e-08
2002,5.834489716757421e-08
2003,6.076397442354522e-08
2004,5.783211725380559e-08
2005,5.60597333633593e-08
2006,5.3347424255889564e-08
2007,4.8734405209773154e-08
2008,4.644474671522403e-08
2009,4.4845810366820974e-08
2010,4.2681422079177926e-08
2011,4.0386448724965314e-08
2012,3.71738764215479e-08
2013,3.5177557374968926e-08
2014,3.1509040963685816e-08
2015,2.9181017982945638e-08
2016,2.5420339103529192e-08
2017,2.2686421334109735e-08
2018,2.2587587622524553e-08
2019,2.1431360242019082e-08
