ngram,knowledge,knwledge,knowlege,knowladge
1500,1.2408038855937775e-05,0.0,0.0,0.0
1501,9.92643108475022e-06,0.0,0.0,0.0
1502,3.093872692261357e-05,0.0,0.0,0.0
1503,4.436824227533569e-05,0.0,0.0,0.0
1504,4.840326801058836e-05,0.0,0.0,0.0
1505,5.134313219709189e-05,0.0,0.0,0.0
1506,5.134313219709189e-05,0.0,0.0,0.0
1507,5.134313219709189e-05,0.0,0.0,0.0
1508,5.134313219709189e-05,0.0,0.0,0.0
1509,3.1914531323958985e-05,0.0,0.0,0.0
1510,1.4065197839434923e-05,0.0,0.0,0.0
1511,7.891596136947296e-06,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0
1514,1.0855123816457177e-05,0.0,0.0,0.0
1515,1.0855123816457177e-05,0.0,0.0,0.0
1516,1.0855123816457177e-05,0.0,0.0,0.0
1517,1.669916829476798e-05,0.0,0.0,0.0
1518,1.669916829476798e-05,0.0,0.0,0.0
1519,1.669916829476798e-05,0.0,0.0,0.0
1520,5.512973699036853e-05,0.0,0.0,0.0
1521,4.427461317391135e-05,0.0,0.0,0.0
1522,5.062212689413822e-05,0.0,0.0,0.0
1523,5.73986217204947e-05,0.0,6.160450019316548e-07,0.0
1524,5.15545772421839e-05,0.0,2.6807230954416028e-06,0.0
1525,5.15545772421839e-05,0.0,0.00037168439764302875,0.0
1526,6.426756694314204e-05,0.0,0.00037168439764302875,0.0
1527,2.5836998247541487e-05,0.0,0.00037168439764302875,0.0
1528,2.5836998247541487e-05,0.0,0.00037168439764302875,0.0
1529,1.9489484527314615e-05,0.0,0.00037168439764302875,0.0
1530,3.822618704621813e-05,0.0,0.00037835783781961903,0.0
1531,4.397103527610723e-05,0.0,0.0003762931597261091,0.0
1532,5.1185700743060026e-05,0.0,7.740401770206518e-06,0.0
1533,3.847271104210189e-05,0.0,5.5630829625183e-05,0.0
1534,4.2686122989315276e-05,0.0,5.5630829625183e-05,0.0
1535,6.226462106237054e-05,0.0,5.5630829625183e-05,0.0
1536,6.539547186028878e-05,0.0,5.6078094010964765e-05,0.0
1537,3.988227451502878e-05,0.0,4.87886088324428e-05,0.0
1538,4.366674173590062e-05,0.0,5.196504740264832e-05,0.0
1539,3.8942409706318616e-05,0.0,5.1514130810963774e-05,0.0
1540,0.000254413217200116,0.0,3.623702955987288e-06,0.0
1541,0.00028431901773728896,0.0,3.623702955987288e-06,0.0
1542,0.00034599142106474446,0.0,3.623702955987288e-06,0.0
1543,0.0003428605702668262,0.0,1.4584931185319355e-05,0.0
1544,0.00035788390206497364,0.0,1.4724036109977792e-05,0.0
1545,0.0003711277955257434,0.0,1.5298478940297044e-05,0.0
1546,0.0003761895293012328,0.0,2.005348406847978e-05,0.0
1547,0.0001771044278159804,0.0,3.3162048875315774e-05,0.0
1548,0.00015130798939415918,0.0,3.464825858502861e-05,0.0
1549,0.00012220136912739172,0.0,4.798749411552957e-05,0.0
1550,0.0001335486293620696,0.0,3.657900150041574e-05,0.0
1551,0.00011852529756392219,0.0,3.880109371883529e-05,0.0
1552,0.0001231543075326564,0.0,3.5050212318310514e-05,0.0
1553,0.00011560224031979618,0.0,3.0295207190127777e-05,0.0
1554,0.00010847313647640735,0.0,1.7186642383291784e-05,0.0
1555,0.00011998286832489871,0.0,1.570043267357895e-05,0.0
1556,8.136997868340197e-05,0.0,2.361197143077983e-06,0.0
1557,7.002271844872407e-05,0.0,2.361197143077983e-06,0.0
1558,8.298164279299922e-05,0.0,0.0,0.0
1559,6.073709352806743e-05,0.0,0.0,0.0
1560,8.765850881380694e-05,0.0,0.0,0.0
1561,7.840190664865077e-05,0.0,1.5316515470788416e-05,0.0
1562,0.0001207894113446985,0.0,1.7094230055850596e-05,0.0
1563,0.0001095311282759732,0.0,1.7548851766540402e-05,0.0
1564,0.00013497771526869786,0.0,1.7548851766540402e-05,0.0
1565,0.00012404239220943834,0.0,1.7548851766540402e-05,0.0
1566,0.0001322104165280637,0.0,1.7548851766540402e-05,0.0
1567,0.000187176677822468,0.0,1.7548851766540402e-05,0.0
1568,0.000187176677822468,0.0,2.2323362957519876e-06,0.0
1569,0.0001435242998663203,0.0,4.5462171068980493e-07,0.0
1570,0.0001472952405622761,0.0,0.0,0.0
1571,0.00014146346698648164,0.0,0.0,0.0
1572,0.00014151970883956113,0.0,0.0,0.0
1573,0.00016720470609600722,0.0,0.0,0.0
1574,0.00015830838024807496,0.0,5.447115459641541e-07,0.0
1575,0.0001595656598770542,0.0,5.447115459641541e-07,0.0
1576,0.0001599266055823786,0.0,9.953919938457797e-07,0.0
1577,0.0001691914124291673,0.0,9.953919938457797e-07,0.0
1578,0.00016282682047728616,0.0,9.953919938457797e-07,0.0
1579,0.00017626909266255097,0.0,1.6421467989857774e-06,0.0
1580,0.00017885775780866555,0.0,1.6421467989857774e-06,0.0
1581,0.00011476601749953781,0.0,1.0974352530216232e-06,0.0
1582,0.0001478652110173633,0.0,1.5164166273150061e-06,0.0
