ngram,length
1675,8.665536162360305e-05
1676,8.686656396353751e-05
1677,8.474568052666395e-05
1678,9.876631780311332e-05
1679,0.00010067210782186262
1680,0.00010129239464211943
1681,0.00010279366584394925
1682,0.00011236516106042213
1683,0.00011897200706049002
1684,0.00012676985248357857
1685,0.000121134592128718
1686,0.00012196548154211737
1687,0.0001191334959003143
1688,0.0001265304464530865
1689,0.0001123419294474713
1690,0.00010479296023342093
1691,9.367712950084492e-05
1692,8.32634546636005e-05
1693,8.481495180084104e-05
1694,8.791773923024136e-05
1695,8.179104094909105e-05
1696,8.709184476174414e-05
1697,8.786659184676995e-05
1698,8.842165386470567e-05
1699,9.47688490019313e-05
1700,9.802304910928277e-05
1701,0.00010029465712640169
1702,9.652689082681068e-05
1703,9.148912171700172e-05
1704,8.864188566803932e-05
1705,9.778479683778382e-05
1706,9.243373226906572e-05
1707,8.532611848620166e-05
1708,8.301563918524022e-05
1709,8.15504151562761e-05
1710,8.456981179603775e-05
1711,8.473235772856112e-05
1712,7.787107045130272e-05
1713,7.772859160987926e-05
1714,8.00531789926546e-05
1715,7.926523124167164e-05
1716,8.120706687415285e-05
1717,8.259049146935078e-05
1718,8.810918786496456e-05
1719,8.700483886059374e-05
1720,9.208391670004598e-05
1721,8.99185418217842e-05
1722,8.974020394297051e-05
1723,9.119790982887415e-05
1724,9.292219017100121e-05
1725,9.591406394195343e-05
1726,0.00010420522240955117
1727,0.00010090100736955978
1728,0.00010412824485683814
1729,0.0001018114947198358
1730,0.00010230077896267176
1731,0.0001025218890780317
1732,9.522643189744226e-05
1733,8.756330706611542e-05
1734,8.652905983451222e-05
1735,8.686107737178515e-05
1736,9.091957326745614e-05
1737,9.015227468418223e-05
1738,8.605398345805173e-05
1739,8.520760457031429e-05
1740,8.617746581356707e-05
1741,8.475207037658297e-05
1742,8.776809616912422e-05
1743,8.560480221474011e-05
1744,8.654544113336929e-05
1745,9.36666879819573e-05
1746,9.880124915590776e-05
1747,9.793720944019566e-05
1748,9.98876868314775e-05
1749,9.775790801670934e-05
1750,0.00010233490632214983
1751,0.00010259878555578845
1752,0.00010062379754214947
1753,0.00010449964507383161
1754,0.00011331474109153663
1755,0.0001225647803429248
1756,0.0001358131630695425
1757,0.00015004911983851343
1758,0.00016140623275922344
1759,0.00016699684160162827
1760,0.0001661140309546941
1761,0.00016544252866879106
1762,0.00016239516636622802
1763,0.0001539825295497264
1764,0.00014673483175491647
1765,0.00014180097579290823
1766,0.00014512426319665143
1767,0.0001477028085251472
1768,0.00014876974039777582
1769,0.00014855806616001895
1770,0.00015647845949778066
1771,0.0001576568340949182
1772,0.00016406324617232064
1773,0.00016322359858479883
1774,0.00016581885574851185
1775,0.00016672931711322496
1776,0.00017725602914911827
1777,0.0001764449053942891
1778,0.00017971563335907246
1779,0.00018045997005953853
1780,0.00018276505371821777
1781,0.0001858829761788781
1782,0.00019343471753277948
1783,0.00019097364357938723
1784,0.00019254704862500409
1785,0.0001890696439659223
1786,0.00018103152147627303
1787,0.00017945424562120543
1788,0.0001770030420240281
1789,0.00017124790299151625
1790,0.00016842161962163767
1791,0.0001690106333366462
1792,0.00017229644747983132
1793,0.00017807335409867977
1794,0.00017959898936429193
1795,0.00018654849554877728
1796,0.00019188657253315405
1797,0.00019581900102951164
1798,0.00019750923092942685
1799,0.0001994603725116966
1800,0.00019989903375972062
1801,0.00020098691207489798
1802,0.00019922443815240904
1803,0.00019843194708560726
1804,0.00020088438343788897
1805,0.0001967077613309292
1806,0.00019581253166377013
1807,0.00019839287103552903
1808,0.00019429421185382774
1809,0.00018970031149884953
1810,0.00018825525850323693
1811,0.00018436202870881452
1812,0.00018752830094724362
1813,0.00018142869729282602
1814,0.0001801751454227737
1815,0.00018392820701202645
1816,0.00018997411202040633
1817,0.0001900322365275185
1818,0.00019036299324527915
1819,0.00019063297492851104
1820,0.00019557352477152432
1821,0.00019756314577534795
1822,0.00019736051867117306
1823,0.00019266584214554832
1824,0.00019354183833846555
1825,0.00019312153744976968
1826,0.0001941228027655078
1827,0.00019468299121529396
1828,0.00019371502691813345
1829,0.00019243462052794972
1830,0.00019544622461710657
1831,0.00019508254938825433
1832,0.00019726472964975983
1833,0.00019641300189375346
1834,0.0001953111163207463
1835,0.0001952551309451727
1836,0.0001973843713390774
1837,0.00019579313603961573
1838,0.00019681817086945687
1839,0.00019831857935059816
1840,0.00019567032619046846
1841,0.00019429964595474303
1842,0.0001946875625955207
1843,0.00019268854521214962
1844,0.00019205930376691476
1845,0.00018877861189789006
1846,0.00018531487356605275
1847,0.00018589264280827983
1848,0.00018594507335884764
1849,0.00018338753683825156
1850,0.00018277981767563948
1851,0.00018305248938434358
1852,0.00018324082235007415
1853,0.00018317858588748744
1854,0.00018280863046779165
1855,0.00018171290451261614
1856,0.00018186943114934756
1857,0.00018107249551186605
1858,0.00017912419155306582
1859,0.00017871302303059826
1860,0.00017627338196949234
1861,0.00017416426063781337
1862,0.00017405770112028613
1863,0.00017119248514063656
1864,0.00017056197144224176
1865,0.00016925695984225188
1866,0.0001672888340960656
1867,0.00016646324157980935
1868,0.00016550208757897572
1869,0.00016306251096206585
1870,0.00016349301690102687
1871,0.00016326380136888474
1872,0.00016282619201644723
1873,0.00016288714167395874
1874,0.00016332865717621253
1875,0.00016438907602735396
1876,0.0001655221713008359
1877,0.0001665674166620842
1878,0.00016632293201317743
1879,0.00016806357182628875
1880,0.0001681931524737073
1881,0.00016804142796900123
1882,0.0001674528923883502
1883,0.0001652717764955014
1884,0.00016195735952351242
1885,0.00016077340114861727
1886,0.0001586931133975408
1887,0.00015796324961619184
1888,0.00015570365524451648
1889,0.0001543516617467893
1890,0.00015527413675694594
1891,0.00015525626908389052
1892,0.0001559742127678224
1893,0.00015512068473201777
1894,0.0001537514991858708
1895,0.00015471767775514827
1896,0.00015325844911525825
1897,0.00015217945162606026
1898,0.00015196787509401993
1899,0.00015081163395994475
1900,0.00015062814054545015
1901,0.00015150306405433054
1902,0.00015127448256992335
1903,0.00015141532016319355
1904,0.00015232812646510347
1905,0.0001521493146096223
1906,0.00015097183183700378
1907,0.00015039791261577711
1908,0.00014874641575650976
1909,0.0001473363788266267
1910,0.00014701887682479407
1911,0.0001454590549526204
1912,0.00014470422424242964
1913,0.00014434677099676004
1914,0.0001427660629685436
1915,0.00014066379143124714
1916,0.00013831221024572317
1917,0.0001368316651288686
1918,0.00013573845665502761
1919,0.00013411481839804246
1920,0.00013362391369550357
1921,0.00013306111421635642
1922,0.00013417252505730306
1923,0.00013605258884906237
1924,0.0001374437290775989
1925,0.00013788624866200344
1926,0.00013885031720357283
1927,0.0001383192658457639
1928,0.00013846415510800268
1929,0.00013733200570901057
1930,0.0001363283081445843
1931,0.00013480724218035384
1932,0.00013388421003972844
1933,0.0001325523418407621
1934,0.00013205658927160715
1935,0.000131640477255652
1936,0.00013105735706631094
1937,0.0001298276162872623
1938,0.0001292795973962971
1939,0.00012832227886454866
1940,0.00012704870875625472
1941,0.00012559628521557897
1942,0.000123897817892222
1943,0.00012267624593472907
1944,0.00012181171561158928
1945,0.00012141449821813564
1946,0.00012189042692105951
1947,0.00012310100594601993
1948,0.00012351433542789891
1949,0.00012507723918783346
1950,0.00012672770597938715
1951,0.00012781905492634645
1952,0.00012747660886296735
1953,0.00012737346280898367
1954,0.00012681741333965744
1955,0.0001272697783341365
1956,0.00012706184601743838
1957,0.00012669343725844686
1958,0.00012641729387853826
1959,0.00012686486297752708
1960,0.00012640730710700154
1961,0.0001272256943463747
1962,0.00012708752599012638
1963,0.00012597632615195055
1964,0.00012440802259204377
1965,0.00012317481533890323
1966,0.00012227796001492867
1967,0.00012102036583071043
1968,0.00011893529257836885
1969,0.00011685176390788652
1970,0.00011488945269125647
1971,0.00011356084723956883
1972,0.00011211511654047561
1973,0.00010990264958568982
1974,0.0001083183690622848
1975,0.00010642634879332036
1976,0.00010561364511626639
1977,0.00010505057850553255
1978,0.00010506494332470797
1979,0.00010424322681501508
1980,0.00010480995323242886
1981,0.00010448687057110615
1982,0.0001044543699078661
1983,0.00010377769857378942
1984,0.00010395830031484365
1985,0.00010301809483540378
1986,0.00010275641501980967
1987,0.00010145207488676533
1988,0.0001010587189479598
1989,0.00010040914743772842
1990,9.97673861482846e-05
1991,9.854506788542494e-05
1992,9.774487054008725e-05
1993,9.703483686150451e-05
1994,9.648993831693328e-05
1995,9.62580306804739e-05
1996,9.566940051237387e-05
1997,9.503503159586606e-05
1998,9.433854782920597e-05
1999,9.337443563189092e-05
2000,9.298569057136774e-05
2001,9.231736372125201e-05
2002,9.091835818253458e-05
2003,9.019535147152575e-05
2004,8.956935718223187e-05
2005,8.879319648258388e-05
2006,8.775159949436784e-05
2007,8.643985971242987e-05
2008,8.50023518848632e-05
2009,8.535280358046293e-05
2010,8.501397470744061e-05
2011,8.319631576471563e-05
2012,8.149552637145721e-05
2013,8.061489227527221e-05
2014,7.97912642675718e-05
2015,7.935601752251387e-05
2016,7.734090676032273e-05
2017,7.585675120935775e-05
2018,7.609336753375829e-05
2019,7.669939259358216e-05
