"people,peple,poeple,peoople"
"history,hitory,hisory,histroy"
"way,ay,wya,wy"
"art,ar,at,artt"
"world,wold,wrld,wordl"
"information,informaton,infrmation,infomration"
"map,mp,ma,amp"
"family,fmily,famly,famliy"
"government,goverment,govenment,governemnt"
"health,heath,helt,helath"
"system,sytem,systm,systtem"
"computer,comuter,computr,comptuer"
"meat,met,mat,meatt"
"year,yer,yea,yaer"
"thanks,thnks,thaks,thankss"
"music,msic,muic,musci"
"person,peson,peron,persn"
"reading,reding,readng,readin"
"method,metod,mehod,mehtod"
"data,dat,dta,daata"
"food,fod,fod,foodd"
"understanding,understadning,understading,uderstanding"
"theory,theoy,thery,theroy"
"law,lw,la,lwa"
"bird,bid,brd,bird"
"literature,literatue,litrature,litearture"
"problem,problm,prolem,problme"
"software,softare,sofware,sftware"
"control,contol,contrl,cotrol"
"knowledge,knwledge,knowlege,knowladge"
"power,pwer,poer,power"
"ability,ablity,abily,abillity"
"economics,economcs,economis,economcis"
"love,lve,loe,lvoe"
"internet,internt,intrnet,interent"
"television,televsion,telvision,televison"
"science,scince,sciece,sceince"
"library,libary,libray,libarry"
"nature,natre,natue,natrue"
"fact,fac,fct,factt"
"product,produc,prodct,producct"
"idea,dea,iea,ida"
"temperature,temperture,temperatue,tempeature"
"investment,investmet,invetment,invesment"
"area,rea,ara,areaa"
"society,soiety,sciety,soceity"
"activity,activty,actvity,activiity"
"story,stry,soty,stor"
"industry,indstry,indusry,indutry"
"media,meda,meia,mdeia"
"thing,thng,ting,thnig"
"oven,ove,ovn,oven"
"community,comunity,commnity,commuity"
"definition,defintion,definiion,defintion"
"safety,safey,safty,saftey"
"quality,qualty,qulity,qualiy"
"development,develpment,devlopment,devleopment"
"language,langage,lanugage,laguage"
"management,managment,managmet,managemnt"
"player,plyer,playr,pllayer"
"variety,variaty,varity,vairety"
"video,vido,veo,viedeo"
"week,we,wek,weel"
"security,secirty,securty,secirty"
"country,counry,coutry,countty"
"exam,exm,eam,examm"
"movie,mvie,movi,moive"
"organization,organizaton,organiation,organzation"
"equipment,equpment,equiment,eqipment"
"physics,physcs,physisc,phycics"
"analysis,analys,anlysis,analsis"
"policy,polcy,poicy,polciy"
"series,seres,seies,seires"
"thought,thouht,thoght,thougth"
"basis,bais,bssis,basisi"
"boyfriend,boyfrind,boyfiend,boyfreind"
"direction,diretion,direcion,directon"
"strategy,strategy,stategy,stratgey"
"technology,technolgy,technlogy,technolgy"
"army,amy,ary,arm"
"camera,cmera,camra,camra"
"freedom,fedom,fredom,freddom"
"paper,pper,papr,papper"
"environment,environmet,environmnt,environmnt"
"child,chld,cild,childd"
"instance,instnce,istnce,instace"
"month,monh,mnth,monht"
"truth,truh,trth,turth"
"marketing,markeing,maketing,markting"
"university,unversity,univerity,univrsity"
"writing,wrting,writng,writting"
"article,artcle,artile,artcile"
"department,deprtment,deparment,departmnt"
"difference,diference,differece,diffence"
"goal,gol,glao,gaol"
"news,nes,new,news"
"audience,audience,adience,audince"
"fishing,fshing,fiishing,fishng"
"growth,gowth,grwth,growh"
"income,icome,inome,inome"
