ngram,World Intellectual Property Organization,World Intelectual Property Organization
1692,0.0,0.0
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,3.812983046762903e-08,0.0
1787,3.812983046762903e-08,0.0
1788,3.812983046762903e-08,0.0
1789,3.812983046762903e-08,0.0
1790,3.812983046762903e-08,0.0
1791,3.812983046762903e-08,0.0
1792,3.812983046762903e-08,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,2.2075289215653778e-10,0.0
1830,2.2075289215653778e-10,0.0
1831,2.2075289215653778e-10,0.0
1832,2.2075289215653778e-10,0.0
1833,2.2075289215653778e-10,0.0
1834,2.2075289215653778e-10,0.0
1835,2.2075289215653778e-10,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,4.799074788357822e-10,0.0
1839,4.799074788357822e-10,0.0
1840,4.799074788357822e-10,0.0
1841,4.799074788357822e-10,0.0
1842,4.799074788357822e-10,0.0
1843,4.799074788357822e-10,0.0
1844,4.799074788357822e-10,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,3.465056812907668e-11,0.0
1881,3.465056812907668e-11,0.0
1882,3.465056812907668e-11,0.0
1883,6.850329034183541e-11,0.0
1884,6.850329034183541e-11,0.0
1885,6.850329034183541e-11,0.0
1886,6.850329034183541e-11,0.0
1887,3.385272221275873e-11,0.0
1888,3.385272221275873e-11,0.0
1889,1.442353696796366e-10,0.0
1890,1.1038264746687787e-10,0.0
1891,1.1038264746687787e-10,0.0
1892,1.57793310164221e-10,0.0
1893,1.57793310164221e-10,0.0
1894,1.57793310164221e-10,0.0
1895,1.57793310164221e-10,0.0
1896,4.7410662697343147e-11,0.0
1897,6.701981033633127e-11,0.0
1898,6.701981033633127e-11,0.0
1899,5.808046504058544e-11,0.0
1900,5.808046504058544e-11,0.0
1901,5.808046504058544e-11,0.0
1902,9.444723971162107e-11,0.0
1903,1.1128827423093465e-10,0.0
1904,9.167912659194651e-11,0.0
1905,9.167912659194651e-11,0.0
1906,5.3207809190349205e-11,0.0
1907,5.3207809190349205e-11,0.0
1908,5.3207809190349205e-11,0.0
1909,1.6841034519313578e-11,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,2.4511775545807015e-11,0.0
1921,2.4511775545807015e-11,0.0
1922,2.4511775545807015e-11,0.0
1923,2.4511775545807015e-11,0.0
1924,2.0503573640505224e-10,0.0
1925,2.293331992562843e-10,0.0
1926,3.0197944541779774e-10,0.0
1927,2.774676698719907e-10,0.0
1928,3.0157359744352266e-10,0.0
1929,3.282729227338521e-10,0.0
1930,3.282729227338521e-10,0.0
1931,5.354127676929618e-10,0.0
1932,5.111153048417297e-10,0.0
1933,6.096584070913735e-10,0.0
1934,7.282616375027726e-10,0.0
1935,7.276086479355927e-10,0.0
1936,7.230057485247648e-10,0.0
1937,7.467018987255309e-10,0.0
1938,6.575670087803433e-10,0.0
1939,6.575670087803433e-10,0.0
1940,4.863776603691861e-10,0.0
1941,3.677744299577869e-10,0.0
1942,3.9681913310829486e-10,0.0
1943,5.509131414949131e-09,0.0
1944,1.9278981125811105e-08,0.0
1945,1.9020049325207163e-08,0.0
1946,1.93865225261991e-08,0.0
1947,1.964843141759915e-08,0.0
1948,1.9792760807308644e-08,0.0
1949,1.975819794085089e-08,0.0
1950,1.615878498268624e-08,0.0
1951,2.452491858405205e-09,0.0
1952,3.454994102322243e-09,0.0
1953,3.7504238782031555e-09,0.0
1954,3.5650486550948504e-09,0.0
1955,3.6499486151729344e-09,0.0
1956,4.7247413997071015e-09,0.0
1957,4.049389815527096e-09,0.0
1958,4.564246044605877e-09,0.0
1959,4.188450332596818e-09,0.0
1960,4.162630288081662e-09,0.0
1961,4.596258754549101e-09,0.0
1962,4.936831007488049e-09,0.0
1963,4.626602275895461e-09,0.0
1964,1.2669943887695062e-08,9.47126107700821e-12
1965,1.471472385209235e-08,9.47126107700821e-12
1966,2.0854407597628973e-08,9.47126107700821e-12
1967,3.0103736265678956e-08,9.47126107700821e-12
1968,4.340637570012161e-08,9.47126107700821e-12
1969,5.708232559647237e-08,9.47126107700821e-12
1970,7.31692167172631e-08,9.47126107700821e-12
1971,7.754734251566983e-08,0.0
1972,9.675609646819794e-08,1.831222673498445e-11
1973,1.073446926268064e-07,1.831222673498445e-11
1974,1.1815320480731576e-07,4.4061613484786783e-11
1975,1.2249495690801788e-07,6.971571732604178e-11
1976,1.27614170659334e-07,7.818683101750473e-11
1977,1.305045194450421e-07,8.664562321593548e-11
1978,1.381155954049973e-07,1.0384791835983874e-10
1979,1.3517810413889363e-07,1.112397019736073e-10
1980,1.381453245130615e-07,1.112397019736073e-10
1981,1.3672879260541647e-07,1.0157491415434855e-10
1982,1.428434493228841e-07,7.592081031309356e-11
1983,1.4710377018088495e-07,9.086425064744726e-11
1984,1.4977484040303223e-07,9.015357904651466e-11
1985,1.5396389382463633e-07,8.057476164454894e-11
1986,1.613028968807027e-07,6.943782701607226e-11
1987,1.6698204368432406e-07,9.762830078094024e-11
1988,1.7796150026632468e-07,9.615347853248707e-11
1989,1.8141899106792282e-07,2.853903110857013e-10
1990,1.9107569317254403e-07,2.760039919827825e-10
1991,1.997022930514244e-07,2.7517442986933563e-10
1992,2.068665168053485e-07,3.211593714183955e-10
1993,2.1216417930450655e-07,3.337303890579449e-10
1994,2.3492919914198345e-07,3.123869932572124e-10
1995,2.590798016756578e-07,3.3138695854877705e-10
1996,2.711929921263488e-07,1.487834746278465e-10
1997,2.72553693646062e-07,1.5292765962301606e-10
1998,2.844643388146194e-07,1.8859992089884488e-10
1999,2.8933802858383775e-07,1.6926060503582744e-10
2000,2.9111630185850247e-07,1.4212251167600165e-10
2001,2.74381706942352e-07,1.352754337118662e-10
2002,2.52076668110541e-07,1.1296339062573578e-10
2003,2.4273423093745805e-07,1.0633004199345208e-10
2004,2.389670044067316e-07,8.815762207538467e-11
2005,2.2359969266614955e-07,4.5566802315504567e-11
2006,2.142779160457004e-07,2.2134883212058096e-11
2007,2.042345812469648e-07,2.2134883212058096e-11
2008,1.926377949855253e-07,2.2134883212058096e-11
2009,1.8168807157183308e-07,1.0837184324533463e-11
2010,1.723929098521434e-07,1.0837184324533463e-11
2011,1.6156867640607482e-07,3.0442394636866406e-11
2012,1.5722426992072413e-07,3.0442394636866406e-11
2013,1.5508609862990852e-07,2.524459659171617e-11
2014,1.5225376565857524e-07,3.6204908614762794e-11
2015,1.5280362016970424e-07,3.6204908614762794e-11
2016,1.5498806809383886e-07,3.6204908614762794e-11
2017,1.5608340457144246e-07,4.223906005055659e-11
2018,1.592283638274239e-07,2.3239577623401787e-11
2019,1.5833686717314777e-07,2.9049472029252232e-11
