ngram,Breakpoint
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,1.3400983180287896e-09
1787,1.3400983180287896e-09
1788,1.3400983180287896e-09
1789,1.3400983180287896e-09
1790,1.3400983180287896e-09
1791,1.3400983180287896e-09
1792,1.3400983180287896e-09
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,4.4811698003093574e-11
1869,4.4811698003093574e-11
1870,4.4811698003093574e-11
1871,4.4811698003093574e-11
1872,4.4811698003093574e-11
1873,4.4811698003093574e-11
1874,4.4811698003093574e-11
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,4.576636212862338e-10
1885,4.576636212862338e-10
1886,4.576636212862338e-10
1887,4.576636212862338e-10
1888,4.576636212862338e-10
1889,4.576636212862338e-10
1890,4.576636212862338e-10
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,7.244934810809614e-10
1898,7.244934810809614e-10
1899,7.427073876544097e-10
1900,7.427073876544097e-10
1901,7.427073876544097e-10
1902,7.427073876544097e-10
1903,7.427073876544097e-10
1904,1.8213906573448314e-11
1905,1.8213906573448314e-11
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,1.297269672636706e-10
1913,1.4402488626322604e-10
1914,1.4402488626322604e-10
1915,1.4402488626322604e-10
1916,1.4402488626322604e-10
1917,1.4402488626322604e-10
1918,1.4402488626322604e-10
1919,1.4297918999555443e-11
1920,9.280661953222794e-11
1921,1.490298360908225e-10
1922,1.490298360908225e-10
1923,1.490298360908225e-10
1924,2.4671595718775817e-10
1925,2.6972113233357323e-10
1926,2.6972113233357323e-10
1927,1.7691451280134529e-10
1928,1.6631026912770708e-10
1929,2.421676609243306e-10
1930,4.327594096567974e-10
1931,3.3507328855986174e-10
1932,3.829978516873516e-10
1933,3.829978516873516e-10
1934,3.829978516873516e-10
1935,3.3737887880239524e-10
1936,4.290209457532715e-10
1937,6.423926945942071e-10
1938,5.1016041074143055e-09
1939,6.175799506711956e-09
1940,7.517049157737939e-09
1941,1.0633427678057622e-08
1942,1.484288737950225e-08
1943,1.905186627507557e-08
1944,2.1322859160883515e-08
1945,1.8571664967786157e-08
1946,1.848561849625087e-08
1947,1.8601382783296165e-08
1948,1.6801704281834062e-08
1949,1.419082388106777e-08
1950,1.2792261091679587e-08
1951,1.2963749565894237e-08
1952,1.437683825957135e-08
1953,1.4839615504667693e-08
1954,1.470355354931436e-08
1955,1.4517405182752036e-08
1956,1.5854851146254338e-08
1957,1.5017881541520443e-08
1958,1.4587503776348448e-08
1959,1.28668462551218e-08
1960,1.2319073570767256e-08
1961,1.213493401002503e-08
1962,1.2146978978222478e-08
1963,1.0597493612810434e-08
1964,9.778564180606963e-09
1965,8.252820331884031e-09
1966,7.81081675528737e-09
1967,8.057299272223872e-09
1968,8.82464330181116e-09
1969,1.1066332548738598e-08
1970,1.4082086036942038e-08
1971,1.7369783516280838e-08
1972,2.2566271835294012e-08
1973,2.6494252252413323e-08
1974,3.036587578212188e-08
1975,3.4657377412372625e-08
1976,3.852998885024915e-08
1977,3.871880238648373e-08
1978,3.8131933166596355e-08
1979,3.6872975783808215e-08
1980,3.740963500880363e-08
1981,3.72462954447071e-08
1982,3.4956495349141344e-08
1983,3.621988245835642e-08
1984,3.835456853705312e-08
1985,4.0871327655622736e-08
1986,4.919045386892711e-08
1987,5.180570537634464e-08
1988,5.597086578339778e-08
1989,6.156408107114788e-08
1990,6.351598459884502e-08
1991,6.669664845812154e-08
1992,6.804635382146834e-08
1993,6.482550826295405e-08
1994,6.596308870549755e-08
1995,6.784217073832874e-08
1996,6.870995252126835e-08
1997,6.552621302700703e-08
1998,6.261665674855976e-08
1999,6.716284620519478e-08
2000,7.089280070918644e-08
2001,7.264937806894523e-08
2002,7.246707919453651e-08
2003,7.255576812375303e-08
2004,7.481538487143422e-08
2005,8.044864939295491e-08
2006,7.78945690171895e-08
2007,7.850976097805479e-08
2008,8.015416292599703e-08
2009,7.90131977623787e-08
2010,7.690510780581203e-08
2011,7.555087324005529e-08
2012,7.21212824065073e-08
2013,6.94690958726239e-08
2014,6.272126081999626e-08
2015,5.6270162117146224e-08
2016,5.230303910609889e-08
2017,5.1281515922596554e-08
2018,5.006645622529504e-08
2019,4.648206530788457e-08
