ngram,Extensible Markup Language
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,6.678285702221842e-11
1845,6.678285702221842e-11
1846,6.678285702221842e-11
1847,6.678285702221842e-11
1848,6.678285702221842e-11
1849,6.678285702221842e-11
1850,6.678285702221842e-11
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,5.8141277506759284e-11
1897,5.225601618086273e-10
1898,5.225601618086273e-10
1899,5.225601618086273e-10
1900,5.225601618086273e-10
1901,5.225601618086273e-10
1902,5.225601618086273e-10
1903,4.64418884301868e-10
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,1.420574669801817e-11
1920,1.420574669801817e-11
1921,1.420574669801817e-11
1922,1.420574669801817e-11
1923,1.420574669801817e-11
1924,1.420574669801817e-11
1925,1.420574669801817e-11
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,2.6233009812034627e-11
1932,2.6233009812034627e-11
1933,2.6233009812034627e-11
1934,2.6233009812034627e-11
1935,2.6233009812034627e-11
1936,2.6233009812034627e-11
1937,2.6233009812034627e-11
1938,1.087612539712219e-10
1939,1.087612539712219e-10
1940,1.087612539712219e-10
1941,1.087612539712219e-10
1942,1.087612539712219e-10
1943,1.087612539712219e-10
1944,1.087612539712219e-10
1945,0.0
1946,0.0
1947,1.6556976028298768e-11
1948,1.6556976028298768e-11
1949,1.6556976028298768e-11
1950,1.6556976028298768e-11
1951,6.620427024055836e-11
1952,6.620427024055836e-11
1953,6.620427024055836e-11
1954,4.96472942122596e-11
1955,4.96472942122596e-11
1956,4.96472942122596e-11
1957,4.96472942122596e-11
1958,0.0
1959,1.1293938998299273e-11
1960,1.1293938998299273e-11
1961,6.757178249478762e-11
1962,7.777353860134134e-11
1963,7.777353860134134e-11
1964,9.576015873115549e-11
1965,1.662808115405439e-10
1966,1.6377994397195498e-10
1967,1.7262462292944036e-10
1968,1.1634677943295202e-10
1969,1.061450233263983e-10
1970,1.1491453225495211e-10
1971,9.692791212513794e-11
1972,6.988448510357261e-11
1973,6.934551048466884e-11
1974,1.5827086962445184e-10
1975,1.7448986997356134e-10
1976,2.709270456789449e-10
1977,2.6215753675039114e-10
1978,3.0295717819349225e-10
1979,2.6760765329893385e-10
1980,2.6719038390529294e-10
1981,2.0756933770999757e-10
1982,3.7663771010728754e-10
1983,4.874706878234467e-10
1984,5.242236535735983e-10
1985,5.123603119153561e-10
1986,6.562208266859746e-10
1987,7.018837396209423e-10
1988,7.469116654533283e-10
1989,6.414484320688934e-10
1990,4.408357409272209e-10
1991,6.011608274672905e-10
1992,7.758196049875313e-10
1993,8.235135331594431e-10
1994,2.6624245923003086e-09
1995,8.966379260098658e-09
1996,2.094865856378763e-08
1997,3.7756630536353187e-08
1998,6.009292320894946e-08
1999,9.219559296954774e-08
2000,1.2343087770919477e-07
2001,1.4627348881341667e-07
2002,1.588588267915319e-07
2003,1.7025593125806283e-07
2004,1.7333478703156808e-07
2005,1.6924483605050356e-07
2006,1.5468395174268933e-07
2007,1.4067615593051285e-07
2008,1.308725602809448e-07
2009,1.246987661066409e-07
2010,1.1227260797243486e-07
2011,1.012461012805943e-07
2012,9.184305988745628e-08
2013,8.333354425563552e-08
2014,7.195422619637221e-08
2015,6.333867068925819e-08
2016,5.5878483554546876e-08
2017,5.231967274236619e-08
2018,5.036983736772527e-08
2019,4.714163459595966e-08
