ngram,Use Case
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,6.69026659469044e-11
1842,6.69026659469044e-11
1843,6.69026659469044e-11
1844,6.69026659469044e-11
1845,6.69026659469044e-11
1846,6.69026659469044e-11
1847,6.69026659469044e-11
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,4.811880655835361e-11
1891,4.811880655835361e-11
1892,4.811880655835361e-11
1893,4.811880655835361e-11
1894,4.811880655835361e-11
1895,4.811880655835361e-11
1896,4.811880655835361e-11
1897,2.647145042849226e-10
1898,2.647145042849226e-10
1899,2.647145042849226e-10
1900,2.647145042849226e-10
1901,2.647145042849226e-10
1902,2.647145042849226e-10
1903,2.647145042849226e-10
1904,0.0
1905,7.235734234001256e-11
1906,8.708965195828152e-11
1907,8.708965195828152e-11
1908,1.1315353911792566e-10
1909,1.1315353911792566e-10
1910,1.3930830992738207e-10
1911,1.3930830992738207e-10
1912,6.69509675873695e-11
1913,1.4725388368980978e-10
1914,2.0280146213152202e-10
1915,3.887646851267032e-10
1916,7.034719612386553e-10
1917,7.436779644479482e-10
1918,7.436779644479482e-10
1919,7.436779644479482e-10
1920,8.248385585662987e-10
1921,1.0094408959509288e-09
1922,8.432636216288663e-10
1923,5.518792010685201e-10
1924,5.319017567665238e-10
1925,5.537451667837954e-10
1926,5.755066542370965e-10
1927,3.993108343980367e-10
1928,1.5916091857169435e-10
1929,1.8535432712494882e-10
1930,1.8789274104845178e-10
1931,1.913523387361441e-10
1932,1.91974077507722e-10
1933,2.36235594578257e-10
1934,2.575763848243286e-10
1935,4.0537742607149596e-10
1936,4.725919140151952e-10
1937,4.680453286847503e-10
1938,6.66148350766552e-10
1939,8.093124107385766e-10
1940,7.923292498292409e-10
1941,7.709884595831693e-10
1942,6.23187418336002e-10
1943,5.655388181567491e-10
1944,6.164277659743383e-10
1945,3.863238023133724e-10
1946,2.3642854935739573e-10
1947,2.3461555912326505e-10
1948,2.6711987185671203e-10
1949,3.479647661278459e-10
1950,3.146047727886625e-10
1951,3.0534597271282745e-10
1952,5.559042412902773e-10
1953,7.191569046620977e-10
1954,7.961558793187099e-10
1955,9.84191882753243e-10
1956,9.930512325149822e-10
1957,9.448020937037021e-10
1958,1.0064016683511819e-09
1959,8.024895549661539e-10
1960,6.940073159013491e-10
1961,7.303760889738292e-10
1962,6.554246470954642e-10
1963,6.505502287661763e-10
1964,7.104791873871871e-10
1965,1.0640813190893844e-09
1966,1.0498197549375326e-09
1967,1.0298226477927536e-09
1968,9.282487635685146e-10
1969,8.339382200668005e-10
1970,8.993342895787951e-10
1971,1.060963436153425e-09
1972,9.139733335241016e-10
1973,1.0287527496544158e-09
1974,1.1100628194427031e-09
1975,1.18213000499523e-09
1976,1.3448887479862647e-09
1977,1.5459226993768433e-09
1978,2.6671504132253735e-09
1979,2.614289776722448e-09
1980,2.792195451041733e-09
1981,3.0232555506667526e-09
1982,3.1388723683737194e-09
1983,3.2416177361430496e-09
1984,3.3588129737844544e-09
1985,2.435860878082151e-09
1986,2.6043449619095327e-09
1987,2.834043571248961e-09
1988,3.242694874521541e-09
1989,3.774556952710181e-09
1990,4.2306838032857286e-09
1991,5.775872573871814e-09
1992,9.201746095247439e-09
1993,1.3948124623551296e-08
1994,2.1171348166656604e-08
1995,3.20751805433466e-08
1996,4.4663628922287605e-08
1997,6.181631206914062e-08
1998,8.056190508349508e-08
1999,1.0838919044837375e-07
2000,1.3679558209998633e-07
2001,1.5586110992314518e-07
2002,1.7179010468128452e-07
2003,1.7527167577619756e-07
2004,1.7444923068004365e-07
2005,1.7290752144357873e-07
2006,1.5563236896046613e-07
2007,1.3989883943362917e-07
2008,1.326753970179847e-07
2009,1.2284789465054148e-07
2010,1.2194389447423809e-07
2011,1.2083389983834942e-07
2012,1.1954150177676377e-07
2013,1.2089942304425806e-07
2014,1.2011387338718903e-07
2015,1.1725478949691543e-07
2016,1.192827048563621e-07
2017,1.2056113855389108e-07
2018,1.2228295247496136e-07
2019,1.21484713844211e-07
