ngram,Radio Frequency Field
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,7.190119928018085e-11
1919,1.1451843838296481e-10
1920,1.1451843838296481e-10
1921,1.7074165494155936e-10
1922,2.4319553910372756e-10
1923,2.4319553910372756e-10
1924,2.920385996521954e-10
1925,2.6614775066364464e-10
1926,2.2353051156086068e-10
1927,2.2353051156086068e-10
1928,3.0416421762221747e-10
1929,2.3171033346004932e-10
1930,2.3171033346004932e-10
1931,1.8286727291158148e-10
1932,1.3685692261995134e-10
1933,1.3685692261995134e-10
1934,1.3685692261995134e-10
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,2.1453325227405173e-11
1944,2.1453325227405173e-11
1945,2.1453325227405173e-11
1946,2.1453325227405173e-11
1947,3.8010301255703944e-11
1948,8.931030121799616e-11
1949,8.931030121799616e-11
1950,6.785697599059099e-11
1951,8.440607439176771e-11
1952,1.1577397274991391e-10
1953,1.1577397274991391e-10
1954,9.921699672161516e-11
1955,6.241124878807775e-11
1956,8.93472597494695e-11
1957,2.0404079219866437e-10
1958,3.0650977490236693e-10
1959,3.5419944655850395e-10
1960,4.071387502928887e-10
1961,4.071387502928887e-10
1962,4.23249766583795e-10
1963,4.359291816413702e-10
1964,3.572088894518036e-10
1965,2.7345113475161856e-10
1966,1.943935647373353e-10
1967,1.5029893996043597e-10
1968,1.6801202294493478e-10
1969,2.541062697560191e-10
1970,2.3202986159415977e-10
1971,1.9605662133453146e-10
1972,1.6079629492983726e-10
1973,1.6079629492983726e-10
1974,1.7639412549666896e-10
1975,1.9111904321038915e-10
1976,9.852882200598958e-11
1977,8.901621503401965e-11
1978,2.1957507241004189e-10
1979,2.6834127776963005e-10
1980,2.7617810518679574e-10
1981,2.746249923896953e-10
1982,2.7183297180671014e-10
1983,2.625286892638761e-10
1984,2.5450227837873843e-10
1985,1.6011379722069563e-10
1986,1.6661603247885333e-10
1987,1.7215414014972096e-10
1988,1.7005897285609402e-10
1989,1.4706500451956905e-10
1990,1.3225999313605718e-10
1991,1.7167560280108495e-10
1992,1.6095461124624296e-10
1993,1.5721704543384237e-10
1994,1.8936401801775534e-10
1995,2.2605397266363602e-10
1996,2.383080796189826e-10
1997,2.958333260900352e-10
1998,2.795288663236052e-10
1999,3.3000489840784297e-10
2000,2.8885888225011717e-10
2001,2.636198947628518e-10
2002,2.1687281831495042e-10
2003,2.185992488214415e-10
2004,1.8630673293789409e-10
2005,1.6816417653228325e-10
2006,1.1797162007197238e-10
2007,1.0758676142435292e-10
2008,9.788600039655521e-11
2009,1.0789228786183586e-10
2010,1.200109074617206e-10
2011,9.47781768742154e-11
2012,8.980958338122846e-11
2013,8.54808138955094e-11
2014,8.54808138955094e-11
2015,8.575999731792144e-11
2016,1.1508448856588162e-10
2017,9.605553967969212e-11
2018,1.1526664761563054e-10
2019,1.4408330951953818e-10
