ngram,The Home Depot
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,1.1693191653045735e-10
1915,1.1693191653045735e-10
1916,1.7713936666703082e-10
1917,1.7713936666703082e-10
1918,1.7713936666703082e-10
1919,1.7713936666703082e-10
1920,1.7713936666703082e-10
1921,6.020745013657347e-11
1922,6.020745013657347e-11
1923,0.0
1924,2.4421530274233915e-11
1925,2.4421530274233915e-11
1926,2.4421530274233915e-11
1927,2.4421530274233915e-11
1928,2.4421530274233915e-11
1929,3.2785109746072804e-10
1930,3.2785109746072804e-10
1931,3.296625769985287e-10
1932,3.296625769985287e-10
1933,3.296625769985287e-10
1934,3.296625769985287e-10
1935,3.518849100991872e-10
1936,4.845534291269311e-11
1937,1.1578259779503647e-10
1938,7.421171118103333e-10
1939,7.421171118103333e-10
1940,7.421171118103333e-10
1941,7.421171118103333e-10
1942,7.198947787096748e-10
1943,7.628014291644852e-10
1944,6.954741742821418e-10
1945,4.2906650454810347e-11
1946,5.94547546116177e-11
1947,5.94547546116177e-11
1948,1.2785475456134066e-10
1949,1.2785475456134066e-10
1950,8.494810410653031e-11
1951,1.0149720250770703e-10
1952,1.0149720250770703e-10
1953,8.494909835089968e-11
1954,8.494909835089968e-11
1955,1.654909840117672e-11
1956,1.654909840117672e-11
1957,1.654909840117672e-11
1958,0.0
1959,0.0
1960,0.0
1961,0.0
1962,0.0
1963,5.94231410109915e-11
1964,5.94231410109915e-11
1965,5.94231410109915e-11
1966,5.94231410109915e-11
1967,6.826781996847688e-11
1968,6.826781996847688e-11
1969,6.826781996847688e-11
1970,8.844678957485387e-12
1971,8.844678957485387e-12
1972,8.844678957485387e-12
1973,8.844678957485387e-12
1974,1.6295006019121214e-11
1975,2.4404506193675957e-11
1976,4.047736848081637e-11
1977,1.5284711690766173e-10
1978,2.670861161204106e-10
1979,3.6461852683958694e-10
1980,8.426649864001767e-10
1981,1.2841578832047317e-09
1982,1.5502736921571954e-09
1983,1.933936122355817e-09
1984,2.218498416718871e-09
1985,3.0012847286796175e-09
1986,3.808773011268077e-09
1987,4.728407253042275e-09
1988,5.636107136552937e-09
1989,7.623565746937646e-09
1990,1.0086539127738905e-08
1991,1.5201223137393882e-08
1992,1.8484259329503468e-08
1993,2.4130101091860264e-08
1994,3.1947355744981517e-08
1995,4.035417942662077e-08
1996,5.4250924514625306e-08
1997,6.513674882009062e-08
1998,7.283315487224432e-08
1999,7.815461700033666e-08
2000,8.866088510980522e-08
2001,9.135709433394368e-08
2002,9.518869806665212e-08
2003,9.238984485396681e-08
2004,9.42502792002285e-08
2005,9.258430009952332e-08
2006,9.019019283787852e-08
2007,8.07973685417502e-08
2008,7.467466492780009e-08
2009,6.521942884164997e-08
2010,5.647776773238482e-08
2011,4.6741432565714347e-08
2012,4.0170796720774756e-08
2013,3.8815729804956134e-08
2014,3.461698889444571e-08
2015,3.119632070130203e-08
2016,3.093416113740334e-08
2017,3.07022875271438e-08
2018,2.8621060010891598e-08
2019,2.7076362485445316e-08
