ngram,Bank of America,Bank of Amerca
1684,0.0,0.0
1685,0.0,0.0
1686,0.0,0.0
1687,0.0,0.0
1688,0.0,0.0
1689,0.0,0.0
1690,0.0,0.0
1691,0.0,0.0
1692,0.0,0.0
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,3.569138635433384e-09,0.0
1752,3.569138635433384e-09,0.0
1753,3.569138635433384e-09,0.0
1754,3.569138635433384e-09,0.0
1755,3.569138635433384e-09,0.0
1756,3.569138635433384e-09,0.0
1757,3.569138635433384e-09,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,2.5616857206906776e-09,0.0
1780,2.5616857206906776e-09,0.0
1781,2.5616857206906776e-09,0.0
1782,2.5616857206906776e-09,0.0
1783,2.5616857206906776e-09,0.0
1784,2.5616857206906776e-09,0.0
1785,2.5616857206906776e-09,0.0
1786,1.3400983180287896e-09,0.0
1787,1.3400983180287896e-09,0.0
1788,1.3400983180287896e-09,0.0
1789,1.3400983180287896e-09,0.0
1790,1.3400983180287896e-09,0.0
1791,3.512030793168768e-09,0.0
1792,3.512030793168768e-09,0.0
1793,2.1719324751399783e-09,0.0
1794,2.1719324751399783e-09,0.0
1795,2.1719324751399783e-09,0.0
1796,2.1719324751399783e-09,0.0
1797,2.1719324751399783e-09,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,8.682535960044138e-10,0.0
1803,1.2192535552608368e-09,0.0
1804,3.049718858402376e-09,0.0
1805,3.049718858402376e-09,0.0
1806,4.083919266254352e-09,0.0
1807,4.5023617215430735e-09,0.0
1808,5.443814478565758e-09,0.0
1809,1.6516599009110322e-08,0.0
1810,2.466516759090455e-08,2.17937652052009e-10
1811,3.103814047048356e-08,2.17937652052009e-10
1812,3.7244555154255666e-08,2.17937652052009e-10
1813,3.9120045774205485e-08,2.17937652052009e-10
1814,4.413451509017412e-08,2.17937652052009e-10
1815,5.0918690977904846e-08,2.17937652052009e-10
1816,4.5063179854309965e-08,2.17937652052009e-10
1817,1.3954350386313763e-07,0.0
1818,1.3509979776163812e-07,0.0
1819,1.4602729083078104e-07,0.0
1820,1.4591814156972305e-07,0.0
1821,1.44341857323736e-07,0.0
1822,1.4297944288849912e-07,0.0
1823,1.397031711901166e-07,0.0
1824,3.846683885707794e-08,0.0
1825,3.660635883306895e-08,0.0
1826,2.3975384217627445e-08,0.0
1827,3.288675084637102e-08,0.0
1828,4.149733559951788e-08,0.0
1829,1.3668045539816376e-07,0.0
1830,1.553147220992709e-07,0.0
1831,1.8673455645260413e-07,0.0
1832,1.9513838925685638e-07,0.0
1833,2.3294680622549485e-07,0.0
1834,2.9225136241198666e-07,0.0
1835,3.353325459849137e-07,0.0
1836,2.5420285356046536e-07,0.0
1837,2.731837481308373e-07,0.0
1838,2.7612243310873706e-07,0.0
1839,3.0067881035782715e-07,0.0
1840,2.82630555911315e-07,0.0
1841,2.449934117164178e-07,0.0
1842,2.1218999027691359e-07,0.0
1843,2.2344584595300277e-07,0.0
1844,1.950423436726721e-07,0.0
1845,1.7115345839004347e-07,0.0
1846,1.4920765473951697e-07,0.0
1847,1.3942926508596948e-07,0.0
1848,1.227843731450256e-07,0.0
1849,1.1841831946769941e-07,0.0
1850,9.889811890064135e-08,0.0
1851,1.0628435782272e-07,0.0
1852,1.1105985160091742e-07,0.0
1853,1.1315484828498614e-07,0.0
1854,1.09780551887135e-07,0.0
1855,1.1089671910927531e-07,0.0
1856,1.1329189776785955e-07,0.0
1857,1.1702389558974704e-07,0.0
1858,1.3367654259712124e-07,0.0
1859,1.3533224826492836e-07,0.0
1860,1.466735223435275e-07,0.0
1861,1.715451268020323e-07,0.0
1862,1.7057716762889997e-07,0.0
1863,1.670364438512349e-07,0.0
1864,1.690012000819609e-07,0.0
1865,1.4572287300649934e-07,0.0
1866,1.514102702263439e-07,0.0
1867,1.4446273358511723e-07,0.0
1868,1.3146911978115634e-07,0.0
1869,1.3410232518091497e-07,0.0
1870,1.3807165239703473e-07,0.0
1871,1.4481169634856477e-07,0.0
1872,1.5365272685942598e-07,0.0
1873,1.4706991789483125e-07,0.0
1874,1.454713652395055e-07,0.0
1875,1.4354335624895092e-07,0.0
1876,1.48981637185638e-07,0.0
1877,1.5273442751809592e-07,0.0
1878,1.5648419905898792e-07,0.0
1879,1.5828886392098086e-07,0.0
1880,1.6905263627060257e-07,0.0
1881,1.7189269588665672e-07,0.0
1882,1.738106963752476e-07,3.240957898878857e-11
1883,1.7606443845709562e-07,3.240957898878857e-11
1884,1.7890438235618994e-07,3.240957898878857e-11
1885,1.7027232144885473e-07,3.240957898878857e-11
1886,1.7170249577702634e-07,3.240957898878857e-11
1887,1.6792214247678722e-07,3.240957898878857e-11
1888,1.6569418091551468e-07,3.240957898878857e-11
1889,1.6035497196753568e-07,0.0
1890,1.544713735971267e-07,0.0
1891,1.51282390805006e-07,0.0
1892,1.5418199796256105e-07,2.247158213476906e-11
1893,1.5268613091328526e-07,2.247158213476906e-11
1894,1.55833546955364e-07,2.247158213476906e-11
1895,1.6551180083622186e-07,2.247158213476906e-11
1896,1.6477234916172684e-07,2.247158213476906e-11
1897,1.5975847337098718e-07,2.247158213476906e-11
1898,1.4951040075824755e-07,2.247158213476906e-11
1899,1.434604298213214e-07,0.0
1900,1.3912730066424827e-07,0.0
1901,1.2435704884897598e-07,0.0
1902,1.100374892156911e-07,0.0
1903,1.1565977026910851e-07,0.0
1904,1.145055544985293e-07,0.0
1905,1.1621736563581311e-07,0.0
1906,1.2626912544127273e-07,6.205994448496962e-11
1907,1.2313621766679717e-07,6.205994448496962e-11
1908,1.2136305116428048e-07,6.205994448496962e-11
1909,1.226097186953926e-07,6.205994448496962e-11
1910,1.1434368271271264e-07,7.583383425181976e-11
1911,1.1217300612185812e-07,7.583383425181976e-11
1912,1.1008449770802794e-07,7.583383425181976e-11
1913,1.0000469075066576e-07,2.807180876640558e-11
1914,9.852111101541336e-08,2.807180876640558e-11
1915,1.0250182417134316e-07,2.807180876640558e-11
1916,1.021560903170991e-07,2.807180876640558e-11
1917,1.0815042981805942e-07,1.4297918999555443e-11
1918,1.1863348195869808e-07,1.4297918999555443e-11
1919,1.434192812764325e-07,1.4297918999555443e-11
1920,1.6030127016262797e-07,4.640330976611397e-11
1921,1.8190038275633924e-07,4.640330976611397e-11
1922,2.619808928524695e-07,4.640330976611397e-11
1923,3.01764866808948e-07,4.640330976611397e-11
1924,3.4300796463477514e-07,4.640330976611397e-11
1925,3.916606386513065e-07,4.640330976611397e-11
1926,4.4263655394973155e-07,6.932627289695553e-11
1927,5.216674553919023e-07,2.292296313084157e-11
1928,6.805635531951079e-07,4.573244957331976e-11
1929,7.077767634200427e-07,7.101824683886093e-11
1930,7.874121316880129e-07,9.824563979814777e-11
1931,8.486105035184924e-07,1.244786496101824e-10
1932,8.954148061742931e-07,1.244786496101824e-10
1933,9.931400606027246e-07,1.2472284514698983e-10
1934,1.0005648911309045e-06,1.2472284514698983e-10
1935,9.146139226296717e-07,1.0191335870451163e-10
1936,9.021130478816173e-07,7.662756143897046e-11
1937,9.243295672994074e-07,4.940016847968362e-11
1938,9.410262090828578e-07,4.491940946189337e-11
1939,9.309622523038083e-07,4.491940946189337e-11
1940,8.424107623536006e-07,2.175225079424438e-11
1941,8.112373279800522e-07,2.175225079424438e-11
1942,7.992731606723932e-07,2.175225079424438e-11
1943,7.860893284877031e-07,2.175225079424438e-11
1944,7.345185752326091e-07,4.0723573323044244e-11
1945,6.86499691125521e-07,1.8971322528799864e-11
1946,6.646976982795292e-07,1.8971322528799864e-11
1947,7.04643891172704e-07,1.8971322528799864e-11
1948,7.292216131255762e-07,1.8971322528799864e-11
1949,7.871558165918811e-07,1.8971322528799864e-11
1950,8.055562424098233e-07,1.8971322528799864e-11
1951,9.288455901566652e-07,1.654909840117672e-11
1952,9.917276802947787e-07,1.654909840117672e-11
1953,1.024424047305469e-06,1.654909840117672e-11
1954,1.0104269400861604e-06,1.654909840117672e-11
1955,1.0241841599573881e-06,3.104335042993154e-11
1956,9.914801759285702e-07,3.104335042993154e-11
1957,1.0092363546781208e-06,3.104335042993154e-11
1958,8.897746235041788e-07,1.4494252028754824e-11
1959,8.69401341268323e-07,1.4494252028754824e-11
1960,8.693729276793809e-07,1.4494252028754824e-11
1961,8.726738412536048e-07,2.5749820926306607e-11
1962,8.592733787996362e-07,3.165908111065921e-11
1963,8.52242976634443e-07,3.165908111065921e-11
1964,8.360193208188451e-07,3.165908111065921e-11
1965,8.47574150546799e-07,3.165908111065921e-11
1966,8.584121766424297e-07,4.924522397007993e-11
1967,8.937495619777889e-07,4.924522397007993e-11
1968,9.25434116132757e-07,4.684619656477754e-11
1969,9.916857948155666e-07,3.541957005470664e-11
1970,1.0407381816029165e-06,4.418907898326044e-11
1971,1.107104042473241e-06,6.209088005653435e-11
1972,1.1406555293953197e-06,7.078632521409896e-11
1973,1.151834274943602e-06,5.3200182354678254e-11
1974,1.1503497846985868e-06,6.134768536423886e-11
1975,1.1508309886007088e-06,6.871014422109895e-11
1976,1.1214503956580302e-06,5.973325851806242e-11
1977,1.112605592165242e-06,5.89901604746463e-11
1978,1.0916082016722482e-06,4.924828798737378e-11
1979,1.099829270450365e-06,4.868054372307386e-11
1980,1.1127315734224145e-06,6.435419855740524e-11
1981,1.1305622008096959e-06,5.620669554784463e-11
1982,1.1506250692556414e-06,3.998769519873515e-11
1983,1.1859519223175345e-06,6.219521276963822e-11
1984,1.171441405339075e-06,6.151939523278495e-11
1985,1.155537493754569e-06,6.7827616539213e-11
1986,1.1378786309381082e-06,9.424268904949834e-11
1987,1.1094779048497522e-06,7.856903421516697e-11
1988,1.0736798848094104e-06,7.856903421516697e-11
1989,1.0660967128777493e-06,7.856903421516697e-11
1990,1.0376673377062877e-06,5.636151664426389e-11
1991,1.071626164567923e-06,4.9010923295979476e-11
1992,1.0820007543900699e-06,3.4542773403550036e-11
1993,1.0817283282449353e-06,6.441359350668157e-12
1994,1.0765317028926802e-06,6.441359350668157e-12
1995,1.0589528593689984e-06,6.441359350668157e-12
1996,1.025377498210998e-06,6.441359350668157e-12
1997,1.0334243825127487e-06,1.2193883799519308e-11
1998,1.022353899315931e-06,4.1082820677131233e-11
1999,1.0237107030012079e-06,4.650606487212526e-11
2000,1.0318325718929242e-06,4.525713484526683e-11
2001,1.0610103475171075e-06,4.525713484526683e-11
2002,1.0958833139998854e-06,5.0625688661051373e-11
2003,1.0957403934038927e-06,5.0625688661051373e-11
2004,1.0555480116636318e-06,4.9919710230574206e-11
2005,1.0169943120022902e-06,2.1030773352962282e-11
2006,1.0134805604268747e-06,1.560752915796826e-11
2007,1.0102793502093327e-06,1.0415099834158527e-11
2008,9.598607724521052e-07,1.5706179412600108e-11
2009,8.83405472710105e-07,2.2783662853179518e-11
2010,8.129002740783367e-07,2.2783662853179518e-11
2011,7.632236328650574e-07,2.2379513916640346e-11
2012,7.111508791370267e-07,2.2379513916640346e-11
2013,6.302931865320716e-07,2.2379513916640346e-11
2014,5.305391539422999e-07,2.2379513916640346e-11
2015,4.6178478945486337e-07,1.7088434338198765e-11
2016,4.380544161059723e-07,4.642397081834813e-12
2017,4.3104282572888525e-07,5.416129928807282e-12
2018,4.1144837155115964e-07,0.0
2019,3.862967261625272e-07,0.0
