ngram,T Energy
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,3.649753515284309e-11
1877,3.649753515284309e-11
1878,3.649753515284309e-11
1879,3.649753515284309e-11
1880,6.779121906687533e-11
1881,6.779121906687533e-11
1882,6.779121906687533e-11
1883,6.185445608089931e-11
1884,6.185445608089931e-11
1885,6.185445608089931e-11
1886,6.185445608089931e-11
1887,3.056077216686706e-11
1888,3.056077216686706e-11
1889,3.056077216686706e-11
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,1.7647633354656023e-11
1898,1.7647633354656023e-11
1899,1.7647633354656023e-11
1900,1.7647633354656023e-11
1901,6.648130062331908e-11
1902,6.648130062331908e-11
1903,6.648130062331908e-11
1904,7.893830628840398e-11
1905,9.340977396339006e-11
1906,1.0814208358165902e-10
1907,1.0814208358165902e-10
1908,5.930841631299596e-11
1909,7.23898431277879e-11
1910,8.546722853251611e-11
1911,6.863113054057988e-11
1912,9.522477845929395e-11
1913,8.049246884102499e-11
1914,8.049246884102499e-11
1915,8.049246884102499e-11
1916,1.1032567022649177e-10
1917,1.1052044002202166e-10
1918,1.1091292566917893e-10
1919,6.984781007547878e-11
1920,9.187228755536125e-11
1921,1.4523893595733536e-10
1922,1.6816385387371672e-10
1923,1.4857208122506397e-10
1924,1.352999260248059e-10
1925,1.2163889934984391e-10
1926,1.2163889934984391e-10
1927,9.961442186996144e-11
1928,4.6247773467987334e-11
1929,1.4339491895474866e-10
1930,2.2351714130357843e-10
1931,2.2351714130357843e-10
1932,2.45982290092428e-10
1933,2.6798995760619297e-10
1934,3.106715380983362e-10
1935,3.529004053267773e-10
1936,2.7261626487997045e-10
1937,1.6917118697953474e-10
1938,2.1049551189390924e-10
1939,1.8803036310505965e-10
1940,2.150625392057951e-10
1941,2.51048777004976e-10
1942,2.0881990977653483e-10
1943,1.894342698578149e-10
1944,2.255360858389415e-10
1945,2.020537467498481e-10
1946,2.6498956996943793e-10
1947,2.6317657973530725e-10
1948,2.170130741774301e-10
1949,2.816889895943372e-10
1950,3.899510793635232e-10
1951,4.010578892797513e-10
1952,4.279492791882587e-10
1953,4.694223184767818e-10
1954,4.912098148869757e-10
1955,7.481646572112968e-10
1956,7.988227698366554e-10
1957,7.671391696487514e-10
1958,8.444749502852947e-10
1959,8.319856450603577e-10
1960,8.081532169658599e-10
1961,1.0067965409778422e-09
1962,8.629262602096891e-10
1963,9.549540107091558e-10
1964,1.0206375486828838e-09
1965,1.1141950754879814e-09
1966,1.1572908742429888e-09
1967,1.2450720058129354e-09
1968,1.1882026077333511e-09
1969,1.1537167887709643e-09
1970,1.2217691778916772e-09
1971,1.3914420092321832e-09
1972,1.6369591238074577e-09
1973,1.8366292375837645e-09
1974,2.366128174343832e-09
1975,2.656558330458937e-09
1976,2.920020162175011e-09
1977,3.263128751334372e-09
1978,3.512924173776355e-09
1979,3.4667488245178545e-09
1980,3.6390149306596088e-09
1981,3.47821701599368e-09
1982,3.688917933024933e-09
1983,3.898640648409517e-09
1984,3.4898738978027056e-09
1985,3.4445778769003662e-09
1986,3.493624929034362e-09
1987,3.4026397096756764e-09
1988,3.201888516229141e-09
1989,2.7811404766455082e-09
1990,2.4249244675747914e-09
1991,2.509085415626698e-09
1992,2.3416790094289907e-09
1993,2.3166373898573868e-09
1994,2.325679490259144e-09
1995,2.23273553613877e-09
1996,2.175652039479051e-09
1997,2.221420856786592e-09
1998,2.0980222638554226e-09
1999,2.2551846739255713e-09
2000,2.1203098007508257e-09
2001,1.9336983443046004e-09
2002,1.8795809987791147e-09
2003,1.93056261453352e-09
2004,2.1327445999728768e-09
2005,2.1799617825176856e-09
2006,1.8248887639111494e-09
2007,1.7073458995804052e-09
2008,1.6644747167861495e-09
2009,1.6370516688267246e-09
2010,1.4961889505116233e-09
2011,1.1304033344293275e-09
2012,1.0750698664629965e-09
2013,1.0868160577841885e-09
2014,9.521181462294033e-10
2015,9.195857646788446e-10
2016,9.540851362922963e-10
2017,9.448581639315279e-10
2018,9.79498304687354e-10
2019,9.40169248009326e-10
