ngram,Agricultural Bank of China
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,6.05278486062336e-11
1859,6.05278486062336e-11
1860,6.05278486062336e-11
1861,6.05278486062336e-11
1862,6.05278486062336e-11
1863,6.05278486062336e-11
1864,6.05278486062336e-11
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,2.700001928384361e-11
1892,2.700001928384361e-11
1893,2.700001928384361e-11
1894,2.700001928384361e-11
1895,2.700001928384361e-11
1896,2.700001928384361e-11
1897,2.700001928384361e-11
1898,1.9047783191997578e-11
1899,1.9047783191997578e-11
1900,1.9047783191997578e-11
1901,1.9047783191997578e-11
1902,1.9047783191997578e-11
1903,1.9047783191997578e-11
1904,1.9047783191997578e-11
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,2.4297462851232053e-11
1926,2.4297462851232053e-11
1927,2.4297462851232053e-11
1928,2.4297462851232053e-11
1929,5.099678814156152e-11
1930,1.372344876626741e-10
1931,1.1617745594914653e-09
1932,2.3102091033828334e-09
1933,2.897144048473267e-09
1934,3.1106298647998187e-09
1935,3.2278945548215786e-09
1936,3.2674845051872126e-09
1937,3.1812468056661e-09
1938,2.248561789145295e-09
1939,1.0758297824026946e-09
1940,4.888948373122609e-10
1941,3.0449143405077347e-10
1942,2.922220263387335e-10
1943,2.2593275068277004e-10
1944,2.659140427693377e-10
1945,1.7405898746135152e-10
1946,1.7405898746135152e-10
1947,1.7405898746135152e-10
1948,1.4497657439628752e-10
1949,5.791606678367296e-11
1950,5.791606678367296e-11
1951,1.4008860143339367e-10
1952,5.867026170447431e-10
1953,2.1587222109082607e-09
1954,2.357709735778535e-09
1955,2.6022210358744857e-09
1956,2.7829640021031263e-09
1957,3.185922208588059e-09
1958,3.1390320025843313e-09
1959,2.9779766747799793e-09
1960,2.0308806858437833e-09
1961,2.508154620503181e-09
1962,2.887199764981371e-09
1963,3.930086843263934e-09
1964,4.729978773733632e-09
1965,4.719726462828636e-09
1966,5.1934751856195865e-09
1967,4.717624699620718e-09
1968,4.330490089537215e-09
1969,4.094508823263407e-09
1970,2.963805276598056e-09
1971,1.8175106221627958e-09
1972,1.7799676534289789e-09
1973,1.4553075133871829e-09
1974,1.477896983364297e-09
1975,1.402554330612712e-09
1976,1.540188203165625e-09
1977,2.0214423666699487e-09
1978,3.1260418658402803e-09
1979,5.266278524374002e-09
1980,7.152794451974793e-09
1981,9.79593676017235e-09
1982,1.2027826449109317e-08
1983,1.4819679324976472e-08
1984,1.8148112853769557e-08
1985,2.0409899294447442e-08
1986,2.1825695029065173e-08
1987,2.2816912549826285e-08
1988,2.296789222303427e-08
1989,2.3802323413844662e-08
1990,2.6271908331360853e-08
1991,2.8218297032367445e-08
1992,3.1938677226759996e-08
1993,3.2581934610626765e-08
1994,3.441170954537094e-08
1995,3.58891329353485e-08
1996,3.731207216211325e-08
1997,3.4844920853467036e-08
1998,4.0982510337731326e-08
1999,4.297761689388478e-08
2000,5.355888405793914e-08
2001,5.828894928632573e-08
2002,5.792421069778746e-08
2003,5.6954662446579666e-08
2004,5.790941389908052e-08
2005,4.9465429593656806e-08
2006,4.3312645660518815e-08
2007,3.188502668243538e-08
2008,2.427784221278476e-08
2009,2.2709013843983224e-08
2010,2.153203659815972e-08
2011,2.0071137387032778e-08
2012,1.914721409994919e-08
2013,2.0086582809751363e-08
2014,1.928733008225793e-08
2015,1.9809907111526367e-08
2016,1.969009463412671e-08
2017,1.9989171799276544e-08
2018,2.0048319271381843e-08
2019,2.0446314863420412e-08
