ngram,Macquarie Group
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,1.713019607115943e-11
1899,1.713019607115943e-11
1900,1.713019607115943e-11
1901,1.713019607115943e-11
1902,1.713019607115943e-11
1903,1.713019607115943e-11
1904,1.713019607115943e-11
1905,0.0
1906,1.4732309618268958e-11
1907,5.64698674725734e-11
1908,5.64698674725734e-11
1909,6.955129428736534e-11
1910,6.955129428736534e-11
1911,6.955129428736534e-11
1912,6.955129428736534e-11
1913,5.4818984669096387e-11
1914,2.6968321425220002e-11
1915,2.6968321425220002e-11
1916,1.3886894610428057e-11
1917,5.3703362193743434e-11
1918,1.4933055090101836e-10
1919,1.4933055090101836e-10
1920,1.4933055090101836e-10
1921,1.354436562905903e-10
1922,2.042184120222755e-10
1923,2.042184120222755e-10
1924,1.644019444389601e-10
1925,6.877475573168518e-11
1926,6.877475573168518e-11
1927,6.877475573168518e-11
1928,6.877475573168518e-11
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,1.5733955804897448e-11
1947,1.5733955804897448e-11
1948,1.5733955804897448e-11
1949,1.5733955804897448e-11
1950,1.5733955804897448e-11
1951,1.5733955804897448e-11
1952,1.5733955804897448e-11
1953,0.0
1954,2.7605739123209058e-11
1955,2.7605739123209058e-11
1956,1.1730998315608232e-10
1957,1.6580036946553126e-10
1958,2.1108924528969097e-10
1959,2.863254117928855e-10
1960,2.863254117928855e-10
1961,2.6942597954247663e-10
1962,2.6942597954247663e-10
1963,1.7972173550960336e-10
1964,1.312313492001544e-10
1965,1.0271954517130207e-10
1966,2.7483378668107558e-11
1967,2.7483378668107558e-11
1968,2.5208603062130764e-11
1969,2.5208603062130764e-11
1970,2.5208603062130764e-11
1971,2.5208603062130764e-11
1972,2.498935384017845e-11
1973,2.498935384017845e-11
1974,2.498935384017845e-11
1975,3.197992862588198e-11
1976,7.020083522427508e-11
1977,7.020083522427508e-11
1978,7.796260313917637e-11
1979,6.140478056582133e-11
1980,6.140478056582133e-11
1981,7.591987802313405e-11
1982,6.049777197060711e-11
1983,2.9316474842960054e-11
1984,2.9316474842960054e-11
1985,2.1554706928058767e-11
1986,3.4695291778463755e-11
1987,7.923165050636806e-11
1988,7.790507871744242e-11
1989,1.2221375845857174e-10
1990,1.1517414898782568e-10
1991,1.4644191117677404e-10
1992,1.4644191117677404e-10
1993,1.3330132632636905e-10
1994,1.0734121924649287e-10
1995,1.184890380256931e-10
1996,9.818936536858708e-11
1997,1.1461978984986639e-10
1998,9.435321274287034e-11
1999,1.1500390025208164e-10
2000,1.6939610527780654e-10
2001,2.377654551418854e-10
2002,4.180194870806453e-10
2003,5.955250786552188e-10
2004,1.021458894650313e-09
2005,2.3926050585210135e-09
2006,4.351779817454318e-09
2007,5.068840038178836e-09
2008,5.676240541089125e-09
2009,5.88607504007196e-09
2010,6.0041537138947174e-09
2011,6.095335506170077e-09
2012,5.459222692952689e-09
2013,4.069920115209616e-09
2014,3.649165636332441e-09
2015,3.4662433875557295e-09
2016,3.991786488656755e-09
2017,4.284225418871301e-09
2018,4.394106056793134e-09
2019,4.187072133454706e-09
