ngram,Verizon Communications
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,6.8244731770456775e-09
1752,6.8244731770456775e-09
1753,6.8244731770456775e-09
1754,6.8244731770456775e-09
1755,6.8244731770456775e-09
1756,6.8244731770456775e-09
1757,6.8244731770456775e-09
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,6.907923439618863e-11
1879,6.907923439618863e-11
1880,6.907923439618863e-11
1881,6.907923439618863e-11
1882,6.907923439618863e-11
1883,6.907923439618863e-11
1884,6.907923439618863e-11
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,1.716317167753191e-11
1901,1.716317167753191e-11
1902,1.716317167753191e-11
1903,1.716317167753191e-11
1904,1.716317167753191e-11
1905,1.716317167753191e-11
1906,1.716317167753191e-11
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,1.0822687190881197e-10
1929,1.0822687190881197e-10
1930,1.0822687190881197e-10
1931,1.331483356110346e-10
1932,1.331483356110346e-10
1933,4.192480192376026e-10
1934,4.192480192376026e-10
1935,3.743644461889113e-10
1936,3.743644461889113e-10
1937,4.1699381447823924e-10
1938,2.8095453027557735e-09
1939,2.8095453027557735e-09
1940,2.5724854627437057e-09
1941,2.5724854627437057e-09
1942,2.5091421638835853e-09
1943,2.5091421638835853e-09
1944,2.466512795594257e-09
1945,4.9039843614500405e-11
1946,1.9064544387603632e-10
1947,1.416056002615359e-10
1948,1.416056002615359e-10
1949,1.416056002615359e-10
1950,4.471834807213375e-10
1951,4.471834807213375e-10
1952,4.471834807213375e-10
1953,3.0557788045980164e-10
1954,3.1938075002140616e-10
1955,3.1938075002140616e-10
1956,3.1938075002140616e-10
1957,1.3802869561604529e-11
1958,1.3802869561604529e-11
1959,2.4550893064555014e-11
1960,3.46229473662569e-11
1961,1.9212098776945552e-10
1962,2.406506125326605e-10
1963,2.406506125326605e-10
1964,2.406506125326605e-10
1965,2.406506125326605e-10
1966,3.219846532255742e-10
1967,3.119125989238723e-10
1968,1.4904322022589256e-10
1969,1.3469915064298225e-10
1970,1.4304503415107916e-10
1971,1.4304503415107916e-10
1972,1.7616067929778926e-10
1973,8.407861510192508e-11
1974,9.95865374291733e-11
1975,2.8393132488004266e-10
1976,3.2618758289653423e-10
1977,3.254777831180571e-10
1978,3.8757192643726745e-10
1979,3.699171589084076e-10
1980,6.75555816148643e-10
1981,8.124564240620722e-10
1982,7.042645796896872e-10
1983,7.474961250174075e-10
1984,7.468519081946631e-10
1985,1.0013536889555814e-09
1986,1.0253145668802167e-09
1987,7.260382463886955e-10
1988,6.659493918616453e-10
1989,7.522698267885858e-10
1990,7.339616226295245e-10
1991,2.19030092624536e-09
1992,2.2673600789549895e-09
1993,2.4241379355249837e-09
1994,2.5478093603124664e-09
1995,3.0152256247362175e-09
1996,3.2344670751273595e-09
1997,1.1841226427960244e-08
1998,3.5988654992610436e-08
1999,6.318948128239807e-08
2000,8.563527407824876e-08
2001,1.0657505744582352e-07
2002,1.3675502435234981e-07
2003,1.5882638239515602e-07
2004,1.7036603797545728e-07
2005,1.6215518883200275e-07
2006,1.4484207814088483e-07
2007,1.3392514119914267e-07
2008,1.19612619999186e-07
2009,1.3590421994129948e-07
2010,1.1788973911360959e-07
2011,1.0132827707057654e-07
2012,8.74859869627796e-08
2013,8.038631297121615e-08
2014,7.148659848204326e-08
2015,6.697646805418702e-08
2016,2.159308376548097e-08
2017,2.000373688915147e-08
2018,1.8843639004728628e-08
2019,1.732871290904825e-08
