ngram,National Bank of Kuwait
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,1.210556972124672e-10
1859,1.210556972124672e-10
1860,1.210556972124672e-10
1861,1.210556972124672e-10
1862,1.796132171565696e-10
1863,1.796132171565696e-10
1864,1.796132171565696e-10
1865,5.855751994410241e-11
1866,5.855751994410241e-11
1867,5.855751994410241e-11
1868,5.855751994410241e-11
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,1.9609147638988134e-11
1898,1.9609147638988134e-11
1899,1.9609147638988134e-11
1900,1.9609147638988134e-11
1901,1.9609147638988134e-11
1902,1.9609147638988134e-11
1903,1.9609147638988134e-11
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,9.782248820501747e-11
1934,9.782248820501747e-11
1935,1.2127542620936945e-10
1936,1.2127542620936945e-10
1937,1.2127542620936945e-10
1938,1.4423919003636598e-10
1939,1.4423919003636598e-10
1940,4.641670183134851e-11
1941,4.641670183134851e-11
1942,2.2963763826996544e-11
1943,2.2963763826996544e-11
1944,4.2954409870280383e-11
1945,5.95877613125089e-11
1946,7.703886536639511e-11
1947,7.703886536639511e-11
1948,1.1312121279376847e-10
1949,3.104037364444677e-10
1950,5.602867713434228e-10
1951,9.59109236475797e-10
1952,1.0518421966754232e-09
1953,1.2826047168790211e-09
1954,1.8795673232105006e-09
1955,2.164406043281275e-09
1956,2.1658012605563215e-09
1957,2.2114208956100103e-09
1958,2.043486499062449e-09
1959,2.1253254394488455e-09
1960,2.2007329768060556e-09
1961,2.054611322347252e-09
1962,2.1207252937876272e-09
1963,2.9445127130196217e-09
1964,3.169929414197676e-09
1965,3.4391411781900925e-09
1966,4.039838685798713e-09
1967,4.992656161511328e-09
1968,5.7449559078191575e-09
1969,6.539552550271261e-09
1970,6.302354733327726e-09
1971,6.969100439592677e-09
1972,8.316857044324673e-09
1973,9.397052532936608e-09
1974,1.2068853472158025e-08
1975,1.5680133128423028e-08
1976,1.958116944779574e-08
1977,2.2154042536978328e-08
1978,2.7400035890983484e-08
1979,3.122134309815497e-08
1980,3.5620680754228877e-08
1981,3.961019068299265e-08
1982,3.998403665304652e-08
1983,4.0559885862632786e-08
1984,3.988259525807994e-08
1985,3.5804591545586713e-08
1986,3.4463709600426485e-08
1987,3.1312547729303985e-08
1988,2.6567034540546175e-08
1989,2.4161250524100198e-08
1990,2.2178130823899015e-08
1991,2.404969226940271e-08
1992,2.588889636001568e-08
1993,2.3820223761715298e-08
1994,2.2546238273183202e-08
1995,2.1115152420187703e-08
1996,2.042217493526875e-08
1997,1.907890480522058e-08
1998,1.6363983184370616e-08
1999,1.4350924004702392e-08
2000,1.3891579949846085e-08
2001,1.427959756788206e-08
2002,1.4292185847507101e-08
2003,1.3380251700263151e-08
2004,1.334188188500158e-08
2005,1.3020629273187621e-08
2006,1.1770827487315013e-08
2007,1.055542707208344e-08
2008,8.77794316598925e-09
2009,1.1752410314766086e-08
2010,1.1458627729205822e-08
2011,9.77263168801455e-09
2012,9.450760777137849e-09
2013,9.313916400038075e-09
2014,9.114592667915287e-09
2015,9.001145987294227e-09
2016,4.833892841560328e-09
2017,4.608455543101779e-09
2018,4.679280518615769e-09
2019,3.758959921107419e-09
