ngram,Commonwealth Bank,Comonwealth Bank
1687,0.0,0.0
1688,0.0,0.0
1689,0.0,0.0
1690,0.0,0.0
1691,0.0,0.0
1692,0.0,0.0
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,2.870461646153899e-10,0.0
1820,4.278306756485709e-10,0.0
1821,1.531598800167241e-09,0.0
1822,2.7222283633625874e-09,0.0
1823,6.748345453872722e-09,0.0
1824,7.516728398445797e-09,0.0
1825,9.209978256232075e-09,0.0
1826,9.375983275486784e-09,0.0
1827,9.934949307677243e-09,0.0
1828,1.020296666201911e-08,0.0
1829,1.3854280833669463e-08,0.0
1830,1.4749007665975406e-08,0.0
1831,3.60164856034422e-08,0.0
1832,3.855643721755493e-08,0.0
1833,4.875503169442043e-08,0.0
1834,9.408175064403882e-08,0.0
1835,1.5055197672657933e-07,0.0
1836,1.5188284255681799e-07,0.0
1837,1.5362220600374193e-07,0.0
1838,1.4516192692326513e-07,0.0
1839,1.4549315301743653e-07,0.0
1840,1.563050686976502e-07,0.0
1841,1.3269099292350412e-07,0.0
1842,7.955407152085822e-08,0.0
1843,7.870910221998071e-08,1.2536094384785201e-10
1844,7.881662865218329e-08,1.2536094384785201e-10
1845,8.214927100474207e-08,1.2536094384785201e-10
1846,7.939320160029898e-08,1.2536094384785201e-10
1847,6.383320792581668e-08,1.2536094384785201e-10
1848,5.72991442230172e-08,1.2536094384785201e-10
1849,5.403158162157037e-08,1.2536094384785201e-10
1850,5.5050590752614426e-08,0.0
1851,5.32912727280177e-08,0.0
1852,4.150292668266989e-08,0.0
1853,4.563582743445847e-08,0.0
1854,4.387556210413582e-08,0.0
1855,3.2905744541876306e-08,0.0
1856,3.601667510265218e-08,0.0
1857,3.6046448365872104e-08,0.0
1858,3.5983418657435454e-08,0.0
1859,3.632276168730186e-08,0.0
1860,3.451347093833387e-08,0.0
1861,4.028074965641995e-08,0.0
1862,3.9942416612299373e-08,0.0
1863,3.912706450900519e-08,0.0
1864,3.840706698708475e-08,0.0
1865,3.4895094813691685e-08,0.0
1866,3.1333137100781576e-08,0.0
1867,3.193778384615241e-08,0.0
1868,2.356459738450667e-08,0.0
1869,2.249935907424775e-08,0.0
1870,2.1542900796589493e-08,0.0
1871,1.8591458023869175e-08,0.0
1872,1.758728397836608e-08,0.0
1873,1.739927297477501e-08,0.0
1874,1.4933681307433792e-08,0.0
1875,1.408373909558439e-08,0.0
1876,1.375408355462428e-08,0.0
1877,1.4802782967647334e-08,0.0
1878,1.6794988479316786e-08,0.0
1879,1.9289054670983726e-08,0.0
1880,2.5058992849023654e-08,0.0
1881,3.726398465987911e-08,0.0
1882,3.830375470771839e-08,0.0
1883,3.839847183075205e-08,0.0
1884,3.907113933974772e-08,0.0
1885,4.119169729120488e-08,0.0
1886,4.062930753739076e-08,0.0
1887,3.457016247868491e-08,0.0
1888,2.122379871849489e-08,0.0
1889,2.1089282193591837e-08,0.0
1890,1.866135861711931e-08,0.0
1891,1.589199102472857e-08,0.0
1892,1.1658593646046711e-08,0.0
1893,1.159934630885167e-08,0.0
1894,1.1396786815863282e-08,0.0
1895,1.1695743231042246e-08,0.0
1896,1.2056221735231735e-08,0.0
1897,1.304949646753682e-08,0.0
1898,2.2832341097154896e-08,0.0
1899,2.5730378462794434e-08,1.72952227936055e-11
1900,3.27483118718013e-08,1.72952227936055e-11
1901,3.5584020174894704e-08,1.72952227936055e-11
1902,3.811222804017689e-08,1.72952227936055e-11
1903,4.308810007204654e-08,1.72952227936055e-11
1904,4.5918965138217316e-08,1.72952227936055e-11
1905,3.9761916426073185e-08,1.72952227936055e-11
1906,3.784454958934345e-08,0.0
1907,3.425690512212246e-08,0.0
1908,6.497293801390112e-08,0.0
1909,7.757720891074119e-08,0.0
1910,1.0399548625425073e-07,0.0
1911,1.5947556494414323e-07,2.653708205560942e-11
1912,1.8924548252284369e-07,2.653708205560942e-11
1913,2.1470673619968954e-07,4.011354244802336e-11
1914,2.886855493703219e-07,1.6509559096806418e-10
1915,2.950798696182184e-07,1.6509559096806418e-10
1916,3.052116811984108e-07,1.6509559096806418e-10
1917,3.19989183594771e-07,1.6509559096806418e-10
1918,3.101701082641739e-07,1.3855850891245477e-10
1919,3.317255184193917e-07,1.925521002564347e-10
1920,3.7586436211053555e-07,1.7897563986402076e-10
1921,4.5798795765352095e-07,5.3993591343979934e-11
1922,5.017841593663823e-07,5.3993591343979934e-11
1923,5.475553734868299e-07,1.0063930244719188e-10
1924,5.846135187376993e-07,1.2383096730556835e-10
1925,5.7843182941854e-07,1.2383096730556835e-10
1926,6.063389637997066e-07,6.983737596158842e-11
1927,6.619381939084892e-07,1.1301797394772502e-10
1928,6.586994832754758e-07,1.1301797394772502e-10
1929,6.772658675150264e-07,1.1301797394772502e-10
1930,7.297116846010405e-07,6.637226284451308e-11
1931,7.461833563736166e-07,4.3180597986136604e-11
1932,7.683998717311624e-07,4.3180597986136604e-11
1933,7.734501983642466e-07,4.3180597986136604e-11
1934,7.173083572199955e-07,4.268158049214321e-11
1935,6.292349123019189e-07,6.379601410636378e-11
1936,6.105565221657474e-07,1.4337186001903542e-10
1937,5.765963473030362e-07,1.6468654416369943e-10
1938,5.532306244861372e-07,1.6468654416369943e-10
1939,5.486246063160902e-07,1.6468654416369943e-10
1940,5.298499477898336e-07,1.8920646597094962e-10
1941,5.107213618365287e-07,1.465248854788064e-10
1942,6.410124951474115e-07,1.4910803742511954e-10
1943,6.297761915772883e-07,8.993447455006378e-11
1944,7.659249092739628e-07,1.9497614435680178e-10
1945,7.689419062119538e-07,1.9497614435680178e-10
1946,7.660151360206717e-07,2.2644405596659667e-10
1947,8.590139982191301e-07,3.278624098403325e-10
1948,9.527319093649567e-07,4.0912319365649097e-10
1949,8.423031577616971e-07,3.8542560809595727e-10
1950,8.950240482720671e-07,4.615216026809017e-10
1951,7.324282924920616e-07,3.3516524872949967e-10
1952,7.245894794648069e-07,3.798986244632882e-10
1953,7.325520609161426e-07,3.633462647819766e-10
1954,6.656143796135439e-07,2.512108586625951e-10
1955,5.843163372836508e-07,1.6995007484643665e-10
1956,5.701034605668351e-07,1.6995007484643665e-10
1957,4.795691584799247e-07,8.55743938012386e-11
1958,4.522486075789597e-07,8.55743938012386e-11
1959,4.0809135271047126e-07,4.084101806745011e-11
1960,3.635486791608855e-07,8.635779194917807e-11
1961,2.8565003162839275e-07,7.255492238757353e-11
1962,2.3802200489951376e-07,8.226084694370631e-11
1963,1.7503661301329236e-07,8.226084694370631e-11
1964,1.576881416553988e-07,7.013825036634408e-11
1965,1.3996738041604268e-07,7.013825036634408e-11
1966,1.235490094992591e-07,7.850934684107612e-11
1967,1.251729447712283e-07,1.8077021030864823e-11
1968,1.1851689407649246e-07,1.8077021030864823e-11
1969,1.1157199050363228e-07,8.371096474732047e-12
1970,1.1445149234694846e-07,2.5062863490925887e-11
1971,1.1047990458986792e-07,2.5062863490925887e-11
1972,1.0470354031407883e-07,2.5062863490925887e-11
1973,1.0123310748407935e-07,1.669176701619384e-11
1974,8.785111406593518e-08,2.4445728179817953e-11
1975,8.6547419389912e-08,4.7578886267337797e-11
1976,8.408125649696427e-08,5.522306768614347e-11
1977,7.660602514241483e-08,6.14395513631738e-11
1978,7.390265770774412e-08,6.14395513631738e-11
1979,6.930088350795163e-08,6.14395513631738e-11
1980,6.995844919239452e-08,6.14395513631738e-11
1981,7.312604667829095e-08,7.545823737678933e-11
1982,8.907837667493368e-08,8.051990473188577e-11
1983,1.2051932328306846e-07,1.1511338112882693e-10
1984,1.332189642409633e-07,1.0618886424935375e-10
1985,1.5130073295819913e-07,1.1307138410100924e-10
1986,1.6799272373191343e-07,1.1964167652621172e-10
1987,1.9267790918320316e-07,1.3872868627671864e-10
1988,2.066030028962424e-07,1.2355030193367256e-10
1989,2.04645033363704e-07,9.535547649105628e-11
1990,1.947007258909902e-07,6.578846297099008e-11
1991,1.9931895727560394e-07,5.1804729157239087e-11
1992,1.9935009122816284e-07,5.0978441210444305e-11
1993,1.9573312824507282e-07,4.4408148785241814e-11
1994,1.8052392241380793e-07,3.7705307130510486e-11
1995,1.7335831411661014e-07,3.111104429631695e-11
1996,1.6931847872975985e-07,3.111104429631695e-11
1997,1.606022428697023e-07,1.8440400000636307e-11
1998,1.620152200335464e-07,1.8440400000636307e-11
1999,1.485863135388042e-07,1.2384168095775599e-11
2000,1.391063487890928e-07,1.732891409732064e-11
2001,1.2949735861411682e-07,4.944746001545042e-12
2002,1.2466895274850946e-07,4.944746001545042e-12
2003,1.1252553885502234e-07,4.944746001545042e-12
2004,1.0306410708998165e-07,4.944746001545042e-12
2005,8.272913376572433e-08,4.944746001545042e-12
2006,7.418983776525628e-08,4.944746001545042e-12
2007,6.913918072979999e-08,0.0
2008,6.714836128399579e-08,0.0
2009,6.01825586191548e-08,0.0
2010,5.6949635356724164e-08,0.0
2011,5.135233800095713e-08,0.0
2012,5.251134638228905e-08,0.0
2013,5.736464712770482e-08,0.0
2014,5.6800327996597844e-08,0.0
2015,5.479148461924004e-08,0.0
2016,5.382407510166688e-08,0.0
2017,5.621061364517269e-08,0.0
2018,5.821753958912268e-08,0.0
2019,5.851733586581531e-08,0.0
