ngram,Volvo Car
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,6.907923439618863e-11
1879,6.907923439618863e-11
1880,6.907923439618863e-11
1881,6.907923439618863e-11
1882,6.907923439618863e-11
1883,6.907923439618863e-11
1884,6.907923439618863e-11
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,8.737364006908673e-11
1926,8.737364006908673e-11
1927,8.737364006908673e-11
1928,8.737364006908673e-11
1929,8.737364006908673e-11
1930,1.1323490954419567e-10
1931,1.1323490954419567e-10
1932,2.586126947510893e-11
1933,2.586126947510893e-11
1934,2.586126947510893e-11
1935,2.586126947510893e-11
1936,2.586126947510893e-11
1937,0.0
1938,4.13243249143745e-11
1939,4.13243249143745e-11
1940,4.13243249143745e-11
1941,4.13243249143745e-11
1942,1.124170835785167e-10
1943,1.124170835785167e-10
1944,1.124170835785167e-10
1945,7.10927586641422e-11
1946,8.682671446903965e-11
1947,8.682671446903965e-11
1948,8.682671446903965e-11
1949,3.190293465912422e-11
1950,3.190293465912422e-11
1951,3.190293465912422e-11
1952,3.190293465912422e-11
1953,7.583118656816014e-11
1954,7.583118656816014e-11
1955,7.583118656816014e-11
1956,7.247709971862954e-11
1957,1.6945787233752744e-10
1958,2.034245272231061e-10
1959,2.4641662123490807e-10
1960,2.371146850294841e-10
1961,2.799399125206849e-10
1962,2.799399125206849e-10
1963,2.7655055626471127e-10
1964,2.0525362362125828e-10
1965,2.1322964822394804e-10
1966,2.0372194011107426e-10
1967,2.1228681907586074e-10
1968,1.7789312285148336e-10
1969,3.31728115215186e-10
1970,4.4749083605299944e-10
1971,4.729357877542029e-10
1972,5.634556888527748e-10
1973,9.228426891708505e-10
1974,1.3834329217913118e-09
1975,2.068996156940577e-09
1976,2.763665288682152e-09
1977,3.6388040279357524e-09
1978,4.705369871516041e-09
1979,6.7065085231275495e-09
1980,7.97601327841489e-09
1981,9.452323749111916e-09
1982,1.0372482745728867e-08
1983,1.0988217383608604e-08
1984,1.2078458614236557e-08
1985,1.2867221954593333e-08
1986,1.3052933971786323e-08
1987,1.3572839360368301e-08
1988,1.3647612056339703e-08
1989,1.4666659632821068e-08
1990,1.631306404245184e-08
1991,1.7011580081113412e-08
1992,1.7624514546201098e-08
1993,1.7383690931183082e-08
1994,1.660701252705264e-08
1995,1.7687970707161834e-08
1996,1.7497685839933704e-08
1997,1.6714686016224992e-08
1998,1.5850809173148913e-08
1999,1.537067210019164e-08
2000,1.5289859790966276e-08
2001,1.5975781459636503e-08
2002,1.469111181912857e-08
2003,1.33835580078718e-08
2004,1.2556106503731307e-08
2005,1.175271042390997e-08
2006,1.0639660517698855e-08
2007,9.587140097672936e-09
2008,8.114489017227048e-09
2009,7.1672304281987314e-09
2010,6.854235782124565e-09
2011,6.337356036770611e-09
2012,6.118906270558e-09
2013,6.368655888370053e-09
2014,6.608956810388073e-09
2015,7.054258003133132e-09
2016,6.931817532672215e-09
2017,7.12769110400302e-09
2018,7.176592387025949e-09
2019,7.3898577257480724e-09
