ngram,Investor AB,Investor A
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,8.280906119547841e-11
1886,0.0,8.280906119547841e-11
1887,0.0,8.280906119547841e-11
1888,0.0,8.280906119547841e-11
1889,0.0,8.280906119547841e-11
1890,0.0,8.280906119547841e-11
1891,0.0,8.280906119547841e-11
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,2.012123602655537e-11
1896,0.0,2.012123602655537e-11
1897,0.0,2.012123602655537e-11
1898,0.0,3.72514320977148e-11
1899,0.0,3.72514320977148e-11
1900,0.0,1.230672944504566e-10
1901,0.0,1.230672944504566e-10
1902,0.0,1.0294605842390122e-10
1903,0.0,1.0294605842390122e-10
1904,0.0,1.631553364633831e-10
1905,0.0,1.6049660806720974e-10
1906,0.0,3.9621356195951307e-10
1907,0.0,3.9387281531538017e-10
1908,0.0,4.3296864506357583e-10
1909,0.0,4.3296864506357583e-10
1910,0.0,4.591234158730322e-10
1911,0.0,4.1218267886135504e-10
1912,0.0,5.345949219018717e-10
1913,0.0,3.9391319373027756e-10
1914,0.0,4.770808093817231e-10
1915,0.0,5.288537365969301e-10
1916,0.0,9.150853864341763e-10
1917,0.0,9.818357040090676e-10
1918,0.0,1.1188384504582212e-09
1919,0.0,1.103440323240485e-09
1920,0.0,1.2286498723186006e-09
1921,0.0,1.2221070901295506e-09
1922,0.0,2.117009797622923e-09
1923,0.0,1.964006695371572e-09
1924,0.0,2.404509908642589e-09
1925,0.0,2.887697493823639e-09
1926,0.0,2.8314963707032348e-09
1927,0.0,2.7407933858977376e-09
1928,0.0,2.6456295566999545e-09
1929,0.0,1.7078869191904695e-09
1930,0.0,1.526380910554792e-09
1931,0.0,9.929726088994277e-10
1932,0.0,4.943046289745163e-10
1933,0.0,5.170508386522141e-10
1934,0.0,5.795761569084488e-10
1935,0.0,5.990977713921097e-10
1936,0.0,6.306447903574914e-10
1937,0.0,6.428663038412655e-10
1938,8.2648649828749e-11,9.941230735436131e-10
1939,8.2648649828749e-11,1.0013000785656446e-09
1940,8.2648649828749e-11,9.132694085105847e-10
1941,8.2648649828749e-11,8.26092729936231e-10
1942,8.2648649828749e-11,7.653325810398824e-10
1943,8.2648649828749e-11,9.101818485409855e-10
1944,8.2648649828749e-11,8.462377961069935e-10
1945,0.0,5.306649980552081e-10
1946,0.0,5.617706082063276e-10
1947,0.0,6.404820265418617e-10
1948,0.0,5.518437532333767e-10
1949,0.0,6.413290196524305e-10
1950,1.6083046600850234e-11,6.903157073745447e-10
1951,1.6083046600850234e-11,1.0522484768436614e-09
1952,1.6083046600850234e-11,1.1656757523522847e-09
1953,1.6083046600850234e-11,1.0373488992402154e-09
1954,1.6083046600850234e-11,1.2623006072948989e-09
1955,1.6083046600850234e-11,1.4941563026520705e-09
1956,1.6083046600850234e-11,1.5988266147523182e-09
1957,0.0,1.567866745163674e-09
1958,0.0,1.43237836274552e-09
1959,0.0,1.3585032820895293e-09
1960,0.0,1.3439727902004555e-09
1961,0.0,1.2116105737750411e-09
1962,0.0,1.0411501185002082e-09
1963,0.0,8.987012404101538e-10
1964,0.0,8.18913619455535e-10
1965,8.38853589765368e-12,7.099087349717235e-10
1966,1.6759632372385725e-11,7.769812095302444e-10
1967,3.3595389367250104e-11,8.814511025840537e-10
1968,4.202692063407351e-11,1.0727060509704449e-09
1969,7.621247581436817e-11,1.4565636474728194e-09
1970,7.621247581436817e-11,1.9236418014045853e-09
1971,7.621247581436817e-11,1.9314067964007873e-09
1972,1.0921849436756098e-10,1.9795455116370218e-09
1973,1.4013453889357867e-10,2.0258151346906418e-09
1974,2.7837800120611433e-10,2.178025648724713e-09
1975,3.7019015630690433e-10,2.1162008494763587e-09
1976,3.5893714587866196e-10,1.868732930303858e-09
1977,5.116588224535995e-10,1.944773247204117e-09
1978,5.659911983535437e-10,2.3409529870122014e-09
1979,5.400575215205475e-10,2.5618966947860145e-09
1980,5.156795833603591e-10,2.6938663046292633e-09
1981,4.404334010594495e-10,2.798877352105933e-09
1982,4.1772548614593674e-10,2.8364841903843238e-09
1983,4.581494281175047e-10,3.4672002729203247e-09
1984,3.963220198450428e-10,3.4290024470655975e-09
1985,4.245798801824233e-10,3.426760050321117e-09
1986,4.419704641949502e-10,3.822102919873568e-09
1987,5.28858649333814e-10,3.953280940700259e-09
1988,4.885911893324848e-10,4.194422555313184e-09
1989,1.2845693774561034e-09,4.97646121136849e-09
1990,2.032134125656044e-09,6.146340452468329e-09
1991,2.5165666911464157e-09,7.798533691832127e-09
1992,3.3121300682273767e-09,1.0631713160640693e-08
1993,4.205095553512704e-09,1.2185849979878022e-08
1994,5.044494936847142e-09,1.554844792599803e-08
1995,6.148737582581784e-09,1.611396362376029e-08
1996,6.349626665727978e-09,1.628407123429757e-08
1997,6.497146820549915e-09,1.5331939590928252e-08
1998,6.779912440992218e-09,1.4161035772579972e-08
1999,6.42835137501915e-09,1.2002530905671653e-08
2000,5.888224606311252e-09,1.0556583543827206e-08
2001,5.6087804559520495e-09,7.771116004663879e-09
2002,5.155464721795511e-09,7.498322534311391e-09
2003,4.523410788794178e-09,7.37760601816311e-09
2004,4.1131163871658114e-09,7.608539829919079e-09
2005,3.752028973228302e-09,7.3658004774910884e-09
2006,3.4067570827848013e-09,7.322495435399137e-09
2007,3.4246744646487012e-09,7.597283246951747e-09
2008,3.1251893929860687e-09,8.44014255311062e-09
2009,2.584679232547111e-09,8.797114782664397e-09
2010,2.274844400153496e-09,8.777103361572763e-09
2011,1.8766194392101046e-09,8.180365274057522e-09
2012,1.582616997770308e-09,8.447554211699071e-09
2013,1.6201970638134761e-09,8.259779463567644e-09
2014,1.4438022444274168e-09,8.077879508152006e-09
2015,1.1796867451151017e-09,6.970716702271927e-09
2016,1.2379251592063513e-09,6.473262687783128e-09
2017,1.28964602885695e-09,6.210757537890761e-09
2018,1.3376843965851038e-09,6.477533975868255e-09
2019,1.3168509477301527e-09,6.196305579742045e-09
