ngram,Level Design
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,5.520603815359745e-11
1886,5.520603815359745e-11
1887,5.520603815359745e-11
1888,5.520603815359745e-11
1889,5.520603815359745e-11
1890,5.520603815359745e-11
1891,5.520603815359745e-11
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,1.5128944723980756e-11
1904,1.5128944723980756e-11
1905,1.5128944723980756e-11
1906,1.5128944723980756e-11
1907,1.5128944723980756e-11
1908,1.5128944723980756e-11
1909,1.5128944723980756e-11
1910,0.0
1911,0.0
1912,0.0
1913,6.788230295334025e-11
1914,8.176919756376831e-11
1915,8.176919756376831e-11
1916,8.176919756376831e-11
1917,8.176919756376831e-11
1918,8.176919756376831e-11
1919,8.176919756376831e-11
1920,1.3886894610428057e-11
1921,2.6683324200987054e-11
1922,7.253316003374977e-11
1923,7.253316003374977e-11
1924,7.253316003374977e-11
1925,7.253316003374977e-11
1926,7.253316003374977e-11
1927,7.253316003374977e-11
1928,4.5849835832762715e-11
1929,2.4014413473644983e-11
1930,2.4014413473644983e-11
1931,2.4014413473644983e-11
1932,2.4014413473644983e-11
1933,2.4014413473644983e-11
1934,2.4014413473644983e-11
1935,2.4014413473644983e-11
1936,0.0
1937,2.7709088991554967e-10
1938,4.0106386465867313e-10
1939,4.48386494600328e-10
1940,4.48386494600328e-10
1941,4.48386494600328e-10
1942,4.48386494600328e-10
1943,4.48386494600328e-10
1944,1.7129560468477833e-10
1945,4.732262994165483e-11
1946,6.293582321958979e-11
1947,6.293582321958979e-11
1948,6.293582321958979e-11
1949,1.1144275978227012e-10
1950,2.5619018018119277e-10
1951,3.033988060785475e-10
1952,3.4813218181233603e-10
1953,4.641829777694641e-10
1954,6.436202840528641e-10
1955,7.263229065809388e-10
1956,8.315946740746125e-10
1957,7.232150434077766e-10
1958,7.892286110359034e-10
1959,8.519754663665375e-10
1960,8.13997607413646e-10
1961,8.486864465164144e-10
1962,8.82454918661933e-10
1963,9.266124692938352e-10
1964,1.078592826164737e-09
1965,1.1331413505923292e-09
1966,1.1512275656576166e-09
1967,1.1954121264296752e-09
1968,1.065601297676823e-09
1969,1.0773260379031463e-09
1970,1.0546533329198432e-09
1971,1.1304706060144554e-09
1972,1.1531148417073415e-09
1973,1.4439920687741343e-09
1974,1.576711142600321e-09
1975,1.9396368955426624e-09
1976,2.3771104767129306e-09
1977,2.667648038975504e-09
1978,3.164135873946959e-09
1979,3.870451800328364e-09
1980,5.00456527013122e-09
1981,5.85511819980614e-09
1982,6.655498184317464e-09
1983,7.3710376849841654e-09
1984,8.953853595069664e-09
1985,1.1372924506909093e-08
1986,1.2966334545743458e-08
1987,1.4507873125069182e-08
1988,1.6214506309048763e-08
1989,1.788492820509191e-08
1990,1.9644673951039034e-08
1991,2.2154896583970185e-08
1992,2.231821254789728e-08
1993,2.2489028797930847e-08
1994,2.27344664998392e-08
1995,2.3144774477909128e-08
1996,2.3395920375638265e-08
1997,2.2885251027560116e-08
1998,2.0862184614754498e-08
1999,2.1778348775163588e-08
2000,2.2845730133066614e-08
2001,2.3981064753034583e-08
2002,2.4731203244040704e-08
2003,2.51106371251808e-08
2004,2.6845320125598197e-08
2005,2.6988640655645213e-08
2006,2.6174528703190196e-08
2007,2.58232104905736e-08
2008,2.454030934018192e-08
2009,2.308603923901436e-08
2010,2.1981135641827417e-08
2011,2.034421215617905e-08
2012,2.0811658682110386e-08
2013,1.9209404987309753e-08
2014,1.8949150693003958e-08
2015,1.8708911372503475e-08
2016,1.9120066165255267e-08
2017,1.945573820568332e-08
2018,1.966762308569514e-08
2019,1.907808333534433e-08
