ngram,Keyboard,Video,Mouse,Keyboard,e Video,Mouse,Keyboard,Mouse,Keyboardl,Video,Mouse,Video,Mouse,Keyboard,Video,Keyboard,Video,Mouseh
1500,2.3390674641632359e-07,2.3390674641632359e-07,0.0,2.3390674641632359e-07,0.0,0.0,2.3390674641632359e-07,0.0,0.0,2.3390674641632359e-07,0.0,2.3390674641632359e-07,0.0,2.3390674641632359e-07,2.3390674641632359e-07,2.3390674641632359e-07,2.3390674641632359e-07,0.0
1501,1.8712539713305886e-07,1.8712539713305886e-07,0.0,1.8712539713305886e-07,0.0,0.0,1.8712539713305886e-07,0.0,0.0,1.8712539713305886e-07,0.0,1.8712539713305886e-07,0.0,1.8712539713305886e-07,1.8712539713305886e-07,1.8712539713305886e-07,1.8712539713305886e-07,0.0
1502,1.5593783094421573e-07,1.5593783094421573e-07,0.0,1.5593783094421573e-07,0.0,0.0,1.5593783094421573e-07,0.0,0.0,1.5593783094421573e-07,0.0,1.5593783094421573e-07,0.0,1.5593783094421573e-07,1.5593783094421573e-07,1.5593783094421573e-07,1.5593783094421573e-07,0.0
1503,1.336609979521849e-07,1.336609979521849e-07,0.0,1.336609979521849e-07,0.0,0.0,1.336609979521849e-07,0.0,0.0,1.336609979521849e-07,0.0,1.336609979521849e-07,0.0,1.336609979521849e-07,1.336609979521849e-07,1.336609979521849e-07,1.336609979521849e-07,0.0
1504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
