ngram,Pseudocode
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,6.09293885186649e-11
1860,6.09293885186649e-11
1861,6.09293885186649e-11
1862,6.09293885186649e-11
1863,6.09293885186649e-11
1864,6.09293885186649e-11
1865,6.09293885186649e-11
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,1.160931113146952e-10
1886,1.160931113146952e-10
1887,1.160931113146952e-10
1888,1.160931113146952e-10
1889,1.6843490094739114e-10
1890,1.6843490094739114e-10
1891,1.6843490094739114e-10
1892,7.4813371767465e-11
1893,1.4399839455757147e-10
1894,1.6609016741307515e-10
1895,2.0843258270135985e-10
1896,1.7547121890425033e-10
1897,1.9404797411772178e-10
1898,2.662006468431447e-10
1899,2.4372906470837563e-10
1900,1.7454404191826915e-10
1901,1.5245226906276547e-10
1902,1.1010985377448077e-10
1903,9.072942793889434e-11
1904,1.0386015262106189e-10
1905,3.1707479895638964e-11
1906,3.1707479895638964e-11
1907,3.1707479895638964e-11
1908,8.660529634710708e-11
1909,8.660529634710708e-11
1910,1.0037918611395722e-10
1911,6.867170621831825e-11
1912,9.749992182664765e-11
1913,1.2609575982575853e-10
1914,1.2609575982575853e-10
1915,1.0307538850229392e-10
1916,1.0307538850229392e-10
1917,1.0326723305840803e-10
1918,1.0326723305840803e-10
1919,1.170562565528626e-10
1920,8.84604185537517e-11
1921,1.1657202683304898e-10
1922,1.0884587774746229e-10
1923,1.0884587774746229e-10
1924,9.488014342449804e-11
1925,9.488014342449804e-11
1926,9.810883058339722e-11
1927,1.208472092236893e-10
1928,1.1554508738687019e-10
1929,1.1667958860999457e-10
1930,1.439069815692814e-10
1931,1.439069815692814e-10
1932,1.6755022766038304e-10
1933,1.2170430139869992e-10
1934,9.896592275840784e-11
1935,9.837876941658813e-11
1936,9.403040449448445e-11
1937,8.924542850761798e-11
1938,1.3274993009610673e-10
1939,1.091066840050051e-10
1940,1.091066840050051e-10
1941,1.3668525438476868e-10
1942,1.6427901301201738e-10
1943,1.433415806685799e-10
1944,1.208991636961595e-10
1945,9.616408264927806e-11
1946,1.1271218680608541e-10
1947,1.2926916283438417e-10
1948,1.0169059245462059e-10
1949,5.187450072671343e-11
1950,8.571445140960674e-11
1951,8.571445140960674e-11
1952,1.1399687741394819e-10
1953,9.744877325714083e-11
1954,9.540775312645776e-11
1955,1.243962571839674e-10
1956,2.4560830551895966e-10
1957,2.499995309974372e-10
1958,2.499995309974372e-10
1959,2.9329919643788267e-10
1960,3.356506402184069e-10
1961,3.88668099688643e-10
1962,3.698813517376871e-10
1963,4.863618674466608e-10
1964,5.110838617396394e-10
1965,5.904195981327425e-10
1966,5.528265147246105e-10
1967,5.989218605189401e-10
1968,6.110973195726035e-10
1969,8.16340812408762e-10
1970,7.277299001502107e-10
1971,6.82678530769135e-10
1972,7.424699168970658e-10
1973,1.085908151097849e-09
1974,2.4640119250518566e-09
1975,5.060438173657264e-09
1976,6.154931241262953e-09
1977,6.832569932454671e-09
1978,9.246326815315342e-09
1979,1.2829686646398386e-08
1980,1.603843058362031e-08
1981,2.019504163897068e-08
1982,2.521203848867718e-08
1983,3.120837309213341e-08
1984,4.056222481705975e-08
1985,4.655826327645432e-08
1986,4.986868518130905e-08
1987,5.2850900037323556e-08
1988,5.587120658187164e-08
1989,5.5368899560497605e-08
1990,5.51661390854211e-08
1991,5.252708744153876e-08
1992,5.0455374227859854e-08
1993,4.880100032015175e-08
1994,4.8502371389044386e-08
1995,4.760649373127178e-08
1996,4.653494910046772e-08
1997,4.560389551703078e-08
1998,4.377082924682847e-08
1999,4.485553617428195e-08
2000,4.7322761836150155e-08
2001,5.110470472199527e-08
2002,5.1093200020042266e-08
2003,5.16846563008195e-08
2004,5.29003406159388e-08
2005,5.581239597469383e-08
2006,5.6204788125212094e-08
2007,5.8277541268937835e-08
2008,5.556696334809073e-08
2009,5.638130521187382e-08
2010,5.71419290297724e-08
2011,5.6657030305424476e-08
2012,5.5400184249622594e-08
2013,5.522976564975579e-08
2014,5.354132020280693e-08
2015,5.466956817404675e-08
2016,5.6408091657950924e-08
2017,5.709285311183976e-08
2018,5.8846881501040115e-08
2019,6.067219082694919e-08
