ngram,Network Diagram
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,4.352297490660208e-11
1927,4.352297490660208e-11
1928,4.352297490660208e-11
1929,4.352297490660208e-11
1930,4.352297490660208e-11
1931,4.352297490660208e-11
1932,4.352297490660208e-11
1933,4.401533502752995e-11
1934,4.401533502752995e-11
1935,4.401533502752995e-11
1936,4.401533502752995e-11
1937,6.533001917219394e-11
1938,6.533001917219394e-11
1939,1.1265264911384878e-10
1940,6.863731408631883e-11
1941,6.863731408631883e-11
1942,6.863731408631883e-11
1943,1.5024644623678236e-10
1944,6.704590295645931e-10
1945,6.883010153898742e-10
1946,7.353821242426863e-10
1947,7.82608977623056e-10
1948,7.82608977623056e-10
1949,8.149469353315095e-10
1950,7.815869419923262e-10
1951,2.400596745198515e-10
1952,2.2221768869457037e-10
1953,2.023917065687085e-10
1954,1.5516485318833872e-10
1955,2.792187790502863e-10
1956,2.853254973559213e-10
1957,2.734441482767279e-10
1958,2.960885861888077e-10
1959,4.358128976747874e-10
1960,5.223880098334125e-10
1961,7.258078463642395e-10
1962,9.996968372164412e-10
1963,1.1309118126095236e-09
1964,1.7537625439180614e-09
1965,2.1169907731583795e-09
1966,2.32048141019752e-09
1967,2.6054761047080076e-09
1968,2.6297076103988714e-09
1969,2.4283316310150636e-09
1970,2.9430344510623333e-09
1971,2.5053740352173494e-09
1972,2.492052373982899e-09
1973,2.4238474084979445e-09
1974,2.419675634460613e-09
1975,2.4464890430968875e-09
1976,2.807947350826266e-09
1977,2.7802880791278587e-09
1978,2.8303918415366932e-09
1979,2.7129453128438286e-09
1980,3.131213272793738e-09
1981,3.1827508089372306e-09
1982,3.837569183064358e-09
1983,3.969425677041727e-09
1984,3.6343483460805307e-09
1985,3.940818116277001e-09
1986,4.533281369337569e-09
1987,4.6352955125022226e-09
1988,4.9792535491580534e-09
1989,4.94981417758262e-09
1990,4.684399027407185e-09
1991,4.9568606045166266e-09
1992,5.2811075195486575e-09
1993,5.1141072012127e-09
1994,5.105209810452038e-09
1995,5.0404173850588614e-09
1996,5.415044190826279e-09
1997,9.749923788961366e-09
1998,1.075100821066956e-08
1999,1.5026789526980825e-08
2000,1.777293119025509e-08
2001,2.5772872471106567e-08
2002,2.70870152974112e-08
2003,2.8191739990087887e-08
2004,3.0034199127726424e-08
2005,3.370728090296942e-08
2006,3.286611503585034e-08
2007,3.541177598772752e-08
2008,3.386072768206207e-08
2009,3.515640223383798e-08
2010,3.693243196981452e-08
2011,3.175047640675237e-08
2012,2.782711496150471e-08
2013,2.6198380988416503e-08
2014,2.222153153549503e-08
2015,1.5699137735834612e-08
2016,1.4928324481339976e-08
2017,1.2591949409094619e-08
2018,1.3122549624711155e-08
2019,1.4049625685075284e-08
