ngram,Network Theory
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,4.428728621925464e-09
1824,4.428728621925464e-09
1825,4.428728621925464e-09
1826,4.428728621925464e-09
1827,4.428728621925464e-09
1828,4.428728621925464e-09
1829,4.428728621925464e-09
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,8.541081334253623e-11
1869,8.541081334253623e-11
1870,8.541081334253623e-11
1871,8.541081334253623e-11
1872,8.541081334253623e-11
1873,8.541081334253623e-11
1874,8.541081334253623e-11
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,7.702168268254793e-11
1889,7.702168268254793e-11
1890,7.702168268254793e-11
1891,7.702168268254793e-11
1892,7.702168268254793e-11
1893,7.702168268254793e-11
1894,7.702168268254793e-11
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,6.9180891174422e-11
1900,6.9180891174422e-11
1901,6.9180891174422e-11
1902,6.9180891174422e-11
1903,8.430983589840274e-11
1904,8.430983589840274e-11
1905,8.430983589840274e-11
1906,1.5128944723980756e-11
1907,1.5128944723980756e-11
1908,1.5128944723980756e-11
1909,1.5128944723980756e-11
1910,0.0
1911,0.0
1912,1.3688371864566712e-11
1913,1.3688371864566712e-11
1914,1.3688371864566712e-11
1915,2.8833165022223994e-11
1916,2.8833165022223994e-11
1917,2.8833165022223994e-11
1918,2.8833165022223994e-11
1919,4.214158882964725e-11
1920,4.214158882964725e-11
1921,4.214158882964725e-11
1922,7.284663150475268e-11
1923,3.7604374971054813e-10
1924,4.68810409144054e-10
1925,5.124972291785974e-10
1926,4.855004335066074e-10
1927,4.855004335066074e-10
1928,5.720819294476241e-10
1929,6.943329918954585e-10
1930,5.980260294905345e-10
1931,5.301808337592512e-10
1932,5.31424311302407e-10
1933,8.835469915226466e-10
1934,9.902509387879225e-10
1935,1.0092416129005498e-09
1936,1.179338057766266e-09
1937,1.611888402514821e-09
1938,1.855575058686197e-09
1939,2.6861134110640298e-09
1940,2.9469887641297987e-09
1941,3.6794082542661907e-09
1942,4.332158822149625e-09
1943,4.789650517470331e-09
1944,4.908348140629317e-09
1945,5.513997322229411e-09
1946,5.928713012589729e-09
1947,6.6223245300177174e-09
1948,6.904599939413661e-09
1949,7.358950591753098e-09
1950,8.396728899486204e-09
1951,1.0754360005701561e-08
1952,1.2951794430599811e-08
1953,1.4883369203744223e-08
1954,1.6571982262649143e-08
1955,1.8193553711195624e-08
1956,2.059467986624343e-08
1957,2.136757082382701e-08
1958,2.1773011584156976e-08
1959,2.234489977175664e-08
1960,2.265843182921604e-08
1961,2.5016362568765415e-08
1962,2.7757239808222167e-08
1963,3.265469926207386e-08
1964,3.593850119086385e-08
1965,3.6770941339422536e-08
1966,3.8208616968761685e-08
1967,4.0330140243278427e-08
1968,3.972393918567312e-08
1969,3.9436296260321665e-08
1970,3.49978283813763e-08
1971,3.335987943030107e-08
1972,3.168859663560397e-08
1973,3.0528197620632066e-08
1974,2.770933298685512e-08
1975,2.629355552333631e-08
1976,2.3153635707119846e-08
1977,2.20589172325195e-08
1978,2.02671862784395e-08
1979,2.026728118664778e-08
1980,1.8336803186969064e-08
1981,1.795916241117571e-08
1982,1.6975206890939328e-08
1983,1.7615092495759654e-08
1984,1.7622547104118828e-08
1985,1.7667303937279096e-08
1986,1.7159608464315364e-08
1987,1.826768780688326e-08
1988,1.8801174204798243e-08
1989,2.004295776966306e-08
1990,1.9849239712194892e-08
1991,1.9577754021124098e-08
1992,1.9682752697544207e-08
1993,2.0389667605107727e-08
1994,1.9693738449534848e-08
1995,1.8859793472967923e-08
1996,1.8638053893888743e-08
1997,2.0106287428640305e-08
1998,2.15176902327942e-08
1999,2.4405700064075323e-08
2000,2.6651720068977218e-08
2001,3.1480167044557154e-08
2002,3.695153744891806e-08
2003,4.0720839525728736e-08
2004,4.665526657074029e-08
2005,5.276812586885171e-08
2006,5.6889675700436526e-08
2007,6.532625310537047e-08
2008,6.993438209487327e-08
2009,7.532399592946604e-08
2010,8.272502632118111e-08
2011,8.965968386779163e-08
2012,9.764086326770536e-08
2013,1.153174784868887e-07
2014,1.2138240533334154e-07
2015,1.2743280361097016e-07
2016,1.3235464889151315e-07
2017,1.3745322865095963e-07
2018,1.4136819572740933e-07
2019,1.4482614929534066e-07
