ngram,Internet Explorer
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,6.4891827784257265e-09
1767,6.4891827784257265e-09
1768,6.4891827784257265e-09
1769,6.4891827784257265e-09
1770,6.4891827784257265e-09
1771,6.4891827784257265e-09
1772,6.4891827784257265e-09
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,4.024127063319481e-11
1871,4.024127063319481e-11
1872,4.024127063319481e-11
1873,4.024127063319481e-11
1874,4.024127063319481e-11
1875,4.024127063319481e-11
1876,4.024127063319481e-11
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,2.7603019076798726e-11
1886,2.7603019076798726e-11
1887,2.7603019076798726e-11
1888,1.0462470175934665e-10
1889,1.0462470175934665e-10
1890,1.0462470175934665e-10
1891,1.0462470175934665e-10
1892,7.702168268254793e-11
1893,7.702168268254793e-11
1894,7.702168268254793e-11
1895,0.0
1896,3.685253689513144e-11
1897,6.407648237402189e-09
1898,6.407648237402189e-09
1899,6.407648237402189e-09
1900,6.407648237402189e-09
1901,6.407648237402189e-09
1902,6.407648237402189e-09
1903,6.370795700507057e-09
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,2.6996795671989967e-11
1920,2.6996795671989967e-11
1921,2.6996795671989967e-11
1922,2.6996795671989967e-11
1923,2.6996795671989967e-11
1924,9.65717922296605e-11
1925,9.65717922296605e-11
1926,6.957499655767054e-11
1927,6.957499655767054e-11
1928,9.12203705429247e-11
1929,9.12203705429247e-11
1930,9.12203705429247e-11
1931,7.148830138969942e-11
1932,7.148830138969942e-11
1933,7.148830138969942e-11
1934,7.148830138969942e-11
1935,4.9842927404445245e-11
1936,4.9842927404445245e-11
1937,4.9842927404445245e-11
1938,1.859594700448497e-10
1939,2.3328209998650454e-10
1940,2.5780202179375474e-10
1941,2.5780202179375474e-10
1942,2.5780202179375474e-10
1943,2.5780202179375474e-10
1944,2.5780202179375474e-10
1945,7.184255174890503e-11
1946,1.6612552206878613e-10
1947,2.2031701859706994e-10
1948,2.2031701859706994e-10
1949,2.2031701859706994e-10
1950,2.2031701859706994e-10
1951,2.5178943454027905e-10
1952,2.5178943454027905e-10
1953,1.1018383427874312e-10
1954,3.147241594320909e-11
1955,3.147241594320909e-11
1956,3.147241594320909e-11
1957,3.147241594320909e-11
1958,1.1322218956039925e-11
1959,2.207024245899041e-11
1960,8.250256826920171e-11
1961,1.253277957604025e-10
1962,1.253277957604025e-10
1963,2.7613636773996374e-10
1964,2.932589270627466e-10
1965,3.4904499528793613e-10
1966,3.5503916473444974e-10
1967,3.451141118913727e-10
1968,3.613096012853946e-10
1969,4.467734912186724e-10
1970,3.543861037957896e-10
1971,3.628279403113309e-10
1972,3.20556386990134e-10
1973,3.1952905004446157e-10
1974,3.3880743052375605e-10
1975,3.8774145402368076e-10
1976,4.398728326027168e-10
1977,1.4505034157912583e-09
1978,1.7897420965886012e-09
1979,1.8267488731999698e-09
1980,2.042126654285984e-09
1981,3.0827459751581188e-09
1982,3.390664919468632e-09
1983,2.0753538280761574e-08
1984,1.978237264872134e-08
1985,1.9500159808322996e-08
1986,2.5496126043744738e-08
1987,2.544954116493311e-08
1988,2.464247227702237e-08
1989,2.4935537468184776e-08
1990,8.252325386529487e-09
1991,9.467685270690498e-09
1992,2.6748311169174802e-08
1993,1.3329681883674942e-07
1994,4.601348384853614e-07
1995,8.295613998906706e-07
1996,1.169330182967546e-06
1997,1.4731110823871875e-06
1998,1.7797320189012161e-06
1999,2.0563055370205674e-06
2000,2.1822535407929015e-06
2001,2.112005534270013e-06
2002,1.950579319652336e-06
2003,1.8379212178842863e-06
2004,1.7771090402415472e-06
2005,1.662060152999142e-06
2006,1.6308521415859495e-06
2007,1.6228599081711894e-06
2008,1.5597274471344593e-06
2009,1.5101248079320482e-06
2010,1.40661527276669e-06
2011,1.2444618359300615e-06
2012,1.122069193115749e-06
2013,9.101610731119893e-07
2014,7.068595745555026e-07
2015,5.381171409421118e-07
2016,4.0888230858269837e-07
2017,3.320009274906018e-07
2018,2.84115554904929e-07
2019,2.3178230179610182e-07
