ngram,Micron Technology
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,3.4539617198094315e-11
1879,3.4539617198094315e-11
1880,3.4539617198094315e-11
1881,3.4539617198094315e-11
1882,3.4539617198094315e-11
1883,3.4539617198094315e-11
1884,3.4539617198094315e-11
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,1.7647633354656023e-11
1898,1.7647633354656023e-11
1899,1.7647633354656023e-11
1900,1.7647633354656023e-11
1901,1.7647633354656023e-11
1902,1.7647633354656023e-11
1903,1.7647633354656023e-11
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,2.8609751472658777e-11
1917,2.8609751472658777e-11
1918,2.8609751472658777e-11
1919,2.8609751472658777e-11
1920,2.8609751472658777e-11
1921,2.8609751472658777e-11
1922,2.8609751472658777e-11
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,0.0
1931,2.4921463702222623e-11
1932,2.4921463702222623e-11
1933,2.4921463702222623e-11
1934,2.4921463702222623e-11
1935,2.4921463702222623e-11
1936,2.4921463702222623e-11
1937,6.75508319915506e-11
1938,5.38521267261822e-10
1939,5.38521267261822e-10
1940,5.38521267261822e-10
1941,5.38521267261822e-10
1942,5.38521267261822e-10
1943,5.38521267261822e-10
1944,4.958918989724939e-10
1945,0.0
1946,1.1013769261682325e-10
1947,1.258799770769465e-10
1948,1.258799770769465e-10
1949,1.258799770769465e-10
1950,1.9021216348034742e-10
1951,1.9021216348034742e-10
1952,1.9021216348034742e-10
1953,1.2482112565770365e-10
1954,1.090788411975804e-10
1955,1.5043015246161773e-10
1956,1.5043015246161773e-10
1957,8.609796605821681e-11
1958,8.609796605821681e-11
1959,1.3983808159042813e-10
1960,9.509142679624866e-11
1961,1.7003557292330892e-10
1962,1.966257315696599e-10
1963,1.966257315696599e-10
1964,2.2230957154510478e-10
1965,2.390866433404122e-10
1966,2.690574945380624e-10
1967,2.690574945380624e-10
1968,1.9411334841100214e-10
1969,1.2617187850061384e-10
1970,1.2617187850061384e-10
1971,1.0900950380461033e-10
1972,1.6674263160685954e-10
1973,9.874652088078965e-11
1974,1.1425444320803787e-10
1975,3.9956339427581003e-10
1976,6.594655575588502e-10
1977,8.274593986192156e-10
1978,9.043173828818648e-10
1979,2.8474517743681815e-09
1980,4.494113059868735e-09
1981,6.924399054142327e-09
1982,1.235559115337586e-08
1983,1.7136049246246898e-08
1984,2.1561712161753477e-08
1985,2.7023643894048225e-08
1986,3.0774716108794564e-08
1987,3.486389259827709e-08
1988,3.9157435135653684e-08
1989,4.0036597275567535e-08
1990,4.235154601620447e-08
1991,4.818256117898402e-08
1992,5.1840722952485e-08
1993,5.592490534159619e-08
1994,6.353587015236631e-08
1995,7.258473745862051e-08
1996,8.976999562751839e-08
1997,1.0565825903086079e-07
1998,1.2202147254518942e-07
1999,1.3429787669240666e-07
2000,1.3339002334435334e-07
2001,1.2658223827851804e-07
2002,1.1620544983413441e-07
2003,9.816523670126895e-08
2004,7.948955576304278e-08
2005,5.664457702891923e-08
2006,3.7250337671577786e-08
2007,3.026713102372014e-08
2008,2.5483484402043033e-08
2009,2.1327184462904825e-08
2010,1.6993466062891523e-08
2011,1.3717549635876886e-08
2012,1.1403738778678222e-08
2013,1.0568416871795502e-08
2014,9.633974443598196e-09
2015,8.699764083733693e-09
2016,8.473854126326127e-09
2017,8.244675016773803e-09
2018,8.084844971278925e-09
2019,7.25513848998105e-09
