ngram,MetLife
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,4.057606235135276e-11
1872,4.057606235135276e-11
1873,4.057606235135276e-11
1874,4.057606235135276e-11
1875,4.057606235135276e-11
1876,4.057606235135276e-11
1877,4.057606235135276e-11
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,2.6170894816347966e-11
1890,2.6170894816347966e-11
1891,2.6170894816347966e-11
1892,2.6170894816347966e-11
1893,2.6170894816347966e-11
1894,2.6170894816347966e-11
1895,2.6170894816347966e-11
1896,0.0
1897,1.4861404170777145e-10
1898,1.4861404170777145e-10
1899,1.4861404170777145e-10
1900,1.4861404170777145e-10
1901,1.4861404170777145e-10
1902,1.4861404170777145e-10
1903,1.4861404170777145e-10
1904,0.0
1905,0.0
1906,1.5514986121242405e-11
1907,1.5514986121242405e-11
1908,4.296389434697647e-11
1909,4.296389434697647e-11
1910,4.296389434697647e-11
1911,4.296389434697647e-11
1912,4.296389434697647e-11
1913,2.744890822573406e-11
1914,2.744890822573406e-11
1915,0.0
1916,0.0
1917,0.0
1918,1.4380239063019725e-11
1919,1.1382046495787636e-10
1920,1.6022377472399033e-10
1921,1.6022377472399033e-10
1922,1.8437507076640713e-10
1923,1.8437507076640713e-10
1924,1.8437507076640713e-10
1925,1.9300000684920248e-10
1926,1.6232866836432943e-10
1927,1.1592535859821546e-10
1928,1.6154433148317183e-10
1929,1.626788327062962e-10
1930,1.626788327062962e-10
1931,2.9384387978392823e-10
1932,2.944819507292148e-10
1933,2.488802219868802e-10
1934,2.488802219868802e-10
1935,2.0326124910192382e-10
1936,1.7797545183638264e-10
1937,1.7797545183638264e-10
1938,1.1401485319354317e-08
1939,1.1377842073263217e-08
1940,1.28248908635799e-08
1941,1.28248908635799e-08
1942,1.28248908635799e-08
1943,1.291070416448952e-08
1944,1.291070416448952e-08
1945,2.194189568134013e-09
1946,2.442411138416288e-09
1947,9.721951894319553e-10
1948,1.1602951853286113e-09
1949,1.636467747026923e-09
1950,2.1597735504792173e-09
1951,2.1597735504792173e-09
1952,1.5372971814182306e-09
1953,1.289075611135956e-09
1954,1.289075611135956e-09
1955,1.2169296314693386e-09
1956,7.407570697710269e-10
1957,1.316379654091117e-10
1958,1.316379654091117e-10
1959,1.159540162300386e-10
1960,1.159540162300386e-10
1961,1.3846515402514215e-10
1962,1.4493221107374817e-10
1963,1.548360675784899e-10
1964,1.548360675784899e-10
1965,1.548360675784899e-10
1966,1.0253501411023563e-09
1967,1.0341948200598416e-09
1968,1.0205402237569876e-09
1969,9.699342361026352e-10
1970,9.77569397455001e-10
1971,9.77569397455001e-10
1972,1.2036509636215165e-09
1973,4.486942474314835e-10
1974,5.946521202036616e-10
1975,5.857955787114122e-10
1976,5.943448035315515e-10
1977,5.768057856744438e-10
1978,6.176054271175449e-10
1979,7.735258148297167e-10
1980,7.755208697446392e-10
1981,9.564294594406014e-10
1982,3.417045805039923e-09
1983,7.526499764701607e-09
1984,1.0385880560332644e-08
1985,1.4569780746955173e-08
1986,1.7980575472975602e-08
1987,2.618892023877249e-08
1988,3.804555908410683e-08
1989,4.584899647243544e-08
1990,5.660518073316975e-08
1991,8.721622205395566e-08
1992,1.0690121829018803e-07
1993,1.2216196206996495e-07
1994,1.39399867902869e-07
1995,1.5731645573526164e-07
1996,1.7797650895902605e-07
1997,1.909992793766183e-07
1998,1.8669512818243155e-07
1999,1.9288443654984023e-07
2000,2.0192713025478171e-07
2001,2.0639726220191994e-07
2002,2.0874660070343713e-07
2003,2.1132975445782775e-07
2004,2.173696559891271e-07
2005,2.262628109000226e-07
2006,2.2170109811473333e-07
2007,2.1232552122845455e-07
2008,1.956462715010535e-07
2009,1.762065500494308e-07
2010,1.5765429139946718e-07
2011,1.3918836267683738e-07
2012,1.1800822668257232e-07
2013,1.1077678355572321e-07
2014,1.0299317969903704e-07
2015,9.904441761981226e-08
2016,9.557631232480292e-08
2017,9.405819530646416e-08
2018,9.110999030781385e-08
2019,8.434873066676118e-08
