ngram,Bank of Baroda,Bank of Barod
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,1.5194016203931175e-09,0.0
1826,1.5194016203931175e-09,0.0
1827,1.5194016203931175e-09,0.0
1828,1.5194016203931175e-09,0.0
1829,1.5194016203931175e-09,0.0
1830,1.5194016203931175e-09,0.0
1831,1.5194016203931175e-09,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,2.2518353848255401e-10,0.0
1837,2.2518353848255401e-10,0.0
1838,1.4463954954381718e-09,0.0
1839,1.4463954954381718e-09,0.0
1840,1.4463954954381718e-09,0.0
1841,1.4463954954381718e-09,0.0
1842,1.4463954954381718e-09,0.0
1843,1.2212119569556178e-09,0.0
1844,1.2212119569556178e-09,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,5.184316150977761e-10,0.0
1859,5.184316150977761e-10,0.0
1860,5.184316150977761e-10,0.0
1861,5.184316150977761e-10,0.0
1862,5.184316150977761e-10,0.0
1863,5.184316150977761e-10,0.0
1864,5.655267365511918e-10,0.0
1865,4.709512145341575e-11,0.0
1866,4.709512145341575e-11,0.0
1867,4.709512145341575e-11,0.0
1868,4.709512145341575e-11,0.0
1869,4.709512145341575e-11,0.0
1870,4.709512145341575e-11,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,6.424525594057279e-11,0.0
1884,6.424525594057279e-11,0.0
1885,6.424525594057279e-11,0.0
1886,6.424525594057279e-11,0.0
1887,6.424525594057279e-11,0.0
1888,6.424525594057279e-11,0.0
1889,6.424525594057279e-11,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,2.3061673602521792e-11,0.0
1894,4.5153446458025466e-11,0.0
1895,4.5153446458025466e-11,0.0
1896,4.5153446458025466e-11,0.0
1897,3.9811180740922936e-10,1.857675521347143e-11
1898,3.9811180740922936e-10,1.857675521347143e-11
1899,4.34539620556126e-10,1.857675521347143e-11
1900,4.29548551490149e-10,1.857675521347143e-11
1901,4.074567786346453e-10,1.857675521347143e-11
1902,4.074567786346453e-10,1.857675521347143e-11
1903,4.39335068325164e-10,1.857675521347143e-11
1904,8.637670737396012e-11,0.0
1905,2.2359846514013222e-10,0.0
1906,4.819553882968413e-10,0.0
1907,5.078353055536817e-10,0.0
1908,5.901820302308839e-10,0.0
1909,7.968971673020877e-10,0.0
1910,9.854011138811713e-10,0.0
1911,2.145569456229219e-09,0.0
1912,2.181316988147941e-09,0.0
1913,2.272576051945815e-09,0.0
1914,2.404023400983034e-09,0.0
1915,2.6723285647837056e-09,0.0
1916,2.7666506863255336e-09,1.5051862534143368e-11
1917,3.174726497563134e-09,1.5051862534143368e-11
1918,3.62514486683198e-09,1.5051862534143368e-11
1919,3.849936480726512e-09,1.5051862534143368e-11
1920,4.206345636882856e-09,1.5051862534143368e-11
1921,4.452621890241712e-09,1.5051862534143368e-11
1922,4.246877770088174e-09,1.5051862534143368e-11
1923,4.8052110544562405e-09,0.0
1924,5.2757219228181745e-09,0.0
1925,5.528554344483691e-09,0.0
1926,6.024788985164215e-09,0.0
1927,1.0694070073924422e-08,4.547675728058412e-11
1928,1.1412870331335106e-08,4.547675728058412e-11
1929,1.2810396172418287e-08,4.547675728058412e-11
1930,1.3094576153552647e-08,4.547675728058412e-11
1931,1.2835063551668619e-08,4.547675728058412e-11
1932,1.1610012062845954e-08,4.547675728058412e-11
1933,1.2059711705449315e-08,4.547675728058412e-11
1934,6.984995788122157e-09,0.0
1935,7.155639097129145e-09,0.0
1936,6.136641290359941e-09,0.0
1937,6.294751006156016e-09,0.0
1938,6.0208532128212616e-09,0.0
1939,7.199749368120527e-09,0.0
1940,6.475092462210341e-09,0.0
1941,8.427095624493778e-09,0.0
1942,8.660276717975535e-09,0.0
1943,1.0325080092497631e-08,0.0
1944,9.55461687546233e-09,0.0
1945,1.039676494103097e-08,0.0
1946,9.7047721922142e-09,1.6548104156807344e-11
1947,1.080765937062316e-08,1.6548104156807344e-11
1948,9.886638143084627e-09,1.6548104156807344e-11
1949,1.4260483809686825e-08,1.6548104156807344e-11
1950,1.4491800997313525e-08,1.6548104156807344e-11
1951,1.9918279470232392e-08,1.6548104156807344e-11
1952,2.1161160189210803e-08,1.6548104156807344e-11
1953,2.2938397847838132e-08,0.0
1954,2.4119663472837212e-08,0.0
1955,2.672308850394854e-08,0.0
1956,2.6434570595971048e-08,0.0
1957,3.1470093578686176e-08,0.0
1958,3.066590080282237e-08,0.0
1959,3.941089841776245e-08,1.1293938998299273e-11
1960,4.537042893762841e-08,2.1881799943430328e-11
1961,5.328384007035376e-08,3.313736884098211e-11
1962,6.196259302474313e-08,3.313736884098211e-11
1963,6.498893715242307e-08,4.304122534572384e-11
1964,6.59875694403971e-08,4.304122534572384e-11
1965,7.142099990785158e-08,4.304122534572384e-11
1966,7.660914747020797e-08,3.1747286347424566e-11
1967,8.619710761032756e-08,3.0004104359778896e-11
1968,9.183595953540394e-08,4.5318158947704745e-11
1969,9.485044724247668e-08,7.224881506554378e-11
1970,1.0762715569561416e-07,1.412705389177863e-10
1971,1.1938457841357115e-07,1.770741410643341e-10
1972,1.223190823550015e-07,1.9446503137946332e-10
1973,1.222435435417018e-07,2.1097322500107651e-10
1974,1.2117216893362377e-07,2.0212854604359113e-10
1975,1.2729356261128748e-07,2.2421592162290083e-10
1976,1.2988766887441931e-07,1.972852655050618e-10
1977,1.23592800248064e-07,1.183596851480776e-10
1978,1.155970790835324e-07,9.071601158753114e-11
1979,1.1909506777588571e-07,8.145282216566661e-11
1980,1.124847871990044e-07,8.06182833783848e-11
1981,1.0944255381316128e-07,8.06182833783848e-11
1982,1.049719874198932e-07,3.9372779342405906e-11
1983,1.0205120710387356e-07,3.9372779342405906e-11
1984,1.0046054045785371e-07,3.9372779342405906e-11
1985,9.929879394933647e-08,4.568100064883396e-11
1986,9.302219134659546e-08,3.755329975556927e-11
1987,9.094861549588781e-08,2.8567112465254548e-11
1988,1.0015129094296884e-07,2.8567112465254548e-11
1989,9.282126813202143e-08,2.1155617436446102e-11
1990,1.0055138334662064e-07,3.4470541996186757e-11
1991,9.568881255615582e-08,3.4470541996186757e-11
1992,9.279167351954648e-08,2.0002392103757316e-11
1993,8.963035012600682e-08,2.644375145442547e-11
1994,9.014952847711097e-08,1.9756283910408813e-11
1995,7.436443892418407e-08,2.6143415309582655e-11
1996,7.079141133609873e-08,2.6143415309582655e-11
1997,5.505202033922225e-08,1.2828490749842e-11
1998,5.3179458551052705e-08,3.593964064843977e-11
1999,5.102103882239005e-08,3.593964064843977e-11
2000,5.012221545744719e-08,2.949828129777161e-11
2001,4.858361941322593e-08,2.949828129777161e-11
2002,4.759402015354551e-08,2.3111149898597764e-11
2003,4.5672721731599656e-08,2.3111149898597764e-11
2004,5.0107504685164324e-08,2.3111149898597764e-11
2005,4.741942610004506e-08,0.0
2006,4.547681697886219e-08,0.0
2007,4.255117325158153e-08,0.0
2008,3.9957953136747296e-08,0.0
2009,3.582798641892688e-08,0.0
2010,3.2511123951703014e-08,0.0
2011,2.2456027259920575e-08,0.0
2012,2.0654932621409572e-08,0.0
2013,2.0628753943136805e-08,0.0
2014,2.008271479273357e-08,0.0
2015,1.891219130507287e-08,0.0
2016,2.188538328340428e-08,0.0
2017,2.3240365335889617e-08,0.0
2018,2.549667534879063e-08,0.0
2019,2.780587760042863e-08,0.0
