ngram,Mitsubishi Estate
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,1.2294923809211663e-10
1919,1.2294923809211663e-10
1920,1.2294923809211663e-10
1921,1.2294923809211663e-10
1922,1.6879907392487936e-10
1923,1.6879907392487936e-10
1924,1.6879907392487936e-10
1925,4.5849835832762715e-11
1926,1.3289578564596686e-10
1927,1.3289578564596686e-10
1928,1.7618653361647522e-10
1929,1.303366977837125e-10
1930,1.303366977837125e-10
1931,1.303366977837125e-10
1932,1.303366977837125e-10
1933,4.329074797050834e-11
1934,4.329074797050834e-11
1935,0.0
1936,9.946980540829844e-11
1937,9.946980540829844e-11
1938,1.4079413032267293e-10
1939,1.4079413032267293e-10
1940,1.6531405212992312e-10
1941,6.897662163662943e-10
1942,7.13463801926828e-10
1943,6.139939965185296e-10
1944,6.139939965185296e-10
1945,6.083536432547173e-10
1946,6.712894664743071e-10
1947,6.467695446670569e-10
1948,1.385695367974092e-10
1949,1.795478666537826e-10
1950,1.9563091325463285e-10
1951,4.0020162283311526e-10
1952,3.7942877609672566e-10
1953,3.1649295287713587e-10
1954,3.9931016628168084e-10
1955,4.657606324430321e-10
1956,6.95827233134137e-10
1957,7.646023625748225e-10
1958,8.317648920809693e-10
1959,1.214530642723588e-09
1960,1.395827620154222e-09
1961,1.4736050078591388e-09
1962,1.5656090313065363e-09
1963,1.5159304525954757e-09
1964,1.6108591444868076e-09
1965,1.7166100128664296e-09
1966,1.9551364812845205e-09
1967,2.3715088464421844e-09
1968,2.598764695501846e-09
1969,3.3128824921441994e-09
1970,3.4684209631359e-09
1971,4.047044509038398e-09
1972,4.100063780551214e-09
1973,3.8803041097728345e-09
1974,3.499745683731094e-09
1975,3.428048400699879e-09
1976,3.349507163693691e-09
1977,3.4605223607288492e-09
1978,3.1367709540930377e-09
1979,3.3710852997970164e-09
1980,4.043013431978945e-09
1981,4.544399840560638e-09
1982,5.074091464456793e-09
1983,5.228234765754434e-09
1984,6.226860392390319e-09
1985,7.808779654640472e-09
1986,9.923195535118826e-09
1987,1.3390256839837126e-08
1988,1.585019429991722e-08
1989,1.9093407489987968e-08
1990,2.160707295623914e-08
1991,2.3023492065224867e-08
1992,2.3750386800104806e-08
1993,2.325197380668799e-08
1994,2.0034030815249286e-08
1995,1.917363284016054e-08
1996,1.7125340510761233e-08
1997,1.5021927321104807e-08
1998,1.3448410765956202e-08
1999,1.1608405348084716e-08
2000,9.916009537290295e-09
2001,9.43348453321034e-09
2002,8.082137245172102e-09
2003,7.0636895063306125e-09
2004,6.4775730810952476e-09
2005,5.848634655945619e-09
2006,5.3078083832908925e-09
2007,5.005485137488108e-09
2008,4.3970632056046705e-09
2009,3.6790286055727553e-09
2010,2.898354381894056e-09
2011,2.409636077972875e-09
2012,1.766629755182793e-09
2013,1.6636148887043995e-09
2014,1.51087733594021e-09
2015,1.3831497931120801e-09
2016,1.2951223030529695e-09
2017,1.2290583828455937e-09
2018,1.05508838332824e-09
2019,1.1767586627353666e-09
