ngram,Schweizerische Nationalbank
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,1.2103155779184605e-10
1904,1.3608387730171652e-10
1905,1.505553449767026e-10
1906,1.8001996421324051e-10
1907,3.3305767370230196e-10
1908,3.4608961728212403e-10
1909,3.59171044096916e-10
1910,3.035264123374404e-10
1911,3.1501117488317934e-10
1912,3.1422807907276e-10
1913,3.1191638062104994e-10
1914,2.144262495737007e-10
1915,2.0139430599387864e-10
1916,2.1692263065174545e-10
1917,1.913521722026904e-10
1918,1.6481509014708096e-10
1919,1.6462511611850924e-10
1920,1.815211502934463e-10
1921,1.2597357185173408e-10
1922,1.2597357185173408e-10
1923,1.906552425854992e-10
1924,1.9722210471893676e-10
1925,2.4090892475348014e-10
1926,2.9269498729484715e-10
1927,3.781878223284098e-10
1928,4.647693182694265e-10
1929,6.088558070414609e-10
1930,6.965932751258817e-10
1931,7.00052872813574e-10
1932,7.012963503567298e-10
1933,6.800272250068978e-10
1934,6.358485959978566e-10
1935,6.337248345137222e-10
1936,5.095323072198557e-10
1937,3.7113278521833896e-10
1938,4.452628325570172e-10
1939,4.713164838568825e-10
1940,5.253808360583534e-10
1941,4.662402824928691e-10
1942,4.291777191570542e-10
1943,5.316974559045815e-10
1944,5.251699035963802e-10
1945,4.725648721543812e-10
1946,4.487827926740502e-10
1947,3.664453899051726e-10
1948,3.727270952198174e-10
1949,3.2533192409875e-10
1950,3.959147811181753e-10
1951,6.430647046608482e-10
1952,6.015190111880691e-10
1953,6.885571101384563e-10
1954,7.694349106270235e-10
1955,7.507143676540754e-10
1956,8.276037196822525e-10
1957,7.437105336333921e-10
1958,6.302920843978147e-10
1959,7.186980950844659e-10
1960,7.254668869606715e-10
1961,8.215603296874668e-10
1962,8.56306184690173e-10
1963,9.490764840691668e-10
1964,9.7695358945517e-10
1965,9.916680889153285e-10
1966,9.320375027321859e-10
1967,9.257147984672745e-10
1968,8.341796459936696e-10
1969,9.99309746063659e-10
1970,8.964171627212636e-10
1971,8.787372020511799e-10
1972,7.521417932920826e-10
1973,1.1099877921567319e-09
1974,1.2544443499835317e-09
1975,1.3691754555519457e-09
1976,1.277822633419642e-09
1977,1.371413324172518e-09
1978,1.453918779021584e-09
1979,1.6665317459363393e-09
1980,1.4215439063975615e-09
1981,1.3165824700297639e-09
1982,1.2486958213462985e-09
1983,1.3094187638935345e-09
1984,1.365808878693388e-09
1985,1.4737163077173575e-09
1986,1.6105090753068145e-09
1987,1.6808220371089533e-09
1988,1.7440343296521682e-09
1989,1.741597152208182e-09
1990,1.8626627859167198e-09
1991,1.7897466207474265e-09
1992,1.6314390156273767e-09
1993,1.4693304192395625e-09
1994,1.4628608166081643e-09
1995,1.6452692858897372e-09
1996,2.003872766133595e-09
1997,1.885988761988041e-09
1998,1.9456789830079354e-09
1999,2.0627321279625174e-09
2000,2.1141673808447845e-09
2001,1.994795661985904e-09
2002,1.8563054902744268e-09
2003,1.4356711851095027e-09
2004,1.4562169089619e-09
2005,1.4656971350898322e-09
2006,1.3148515926835508e-09
2007,1.2582877755613303e-09
2008,1.1977067314118882e-09
2009,1.0742711046126833e-09
2010,1.072563327835547e-09
2011,8.834440143720304e-10
2012,7.211925084904536e-10
2013,7.664819790769479e-10
2014,6.30088582499942e-10
2015,6.109034329991405e-10
2016,4.887222789161174e-10
2017,4.746877636333894e-10
2018,5.44932277080079e-10
2019,5.923517093497921e-10
