ngram,Mastercard,Matercard
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,2.2518353848255401e-10,0.0
1837,2.2518353848255401e-10,0.0
1838,2.2518353848255401e-10,0.0
1839,2.2518353848255401e-10,0.0
1840,2.2518353848255401e-10,0.0
1841,2.951611494899404e-10,0.0
1842,2.951611494899404e-10,0.0
1843,6.997761100738638e-11,0.0
1844,6.997761100738638e-11,0.0
1845,6.997761100738638e-11,0.0
1846,6.997761100738638e-11,0.0
1847,6.997761100738638e-11,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,5.250174898005103e-11,0.0
1856,5.250174898005103e-11,0.0
1857,5.250174898005103e-11,0.0
1858,5.250174898005103e-11,0.0
1859,5.250174898005103e-11,0.0
1860,5.250174898005103e-11,0.0
1861,5.250174898005103e-11,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,2.9198149929600602e-09,0.0
1867,2.9198149929600602e-09,0.0
1868,2.9198149929600602e-09,0.0
1869,2.9594008791164075e-09,0.0
1870,2.9594008791164075e-09,0.0
1871,2.9594008791164075e-09,0.0
1872,3.0822560099468585e-09,0.0
1873,1.6244101698679814e-10,0.0
1874,1.6244101698679814e-10,0.0
1875,1.6244101698679814e-10,0.0
1876,1.2285513083045074e-10,0.0
1877,1.2285513083045074e-10,0.0
1878,1.2285513083045074e-10,0.0
1879,0.0,0.0
1880,1.315467338233337e-10,0.0
1881,1.315467338233337e-10,0.0
1882,1.6395631281212227e-10,0.0
1883,1.9607894078240865e-10,0.0
1884,1.9607894078240865e-10,0.0
1885,1.9607894078240865e-10,0.0
1886,1.9607894078240865e-10,0.0
1887,1.198001440113775e-10,0.0
1888,1.7380582885616136e-10,0.0
1889,1.413962498673728e-10,0.0
1890,1.3456931204279344e-10,0.0
1891,1.3456931204279344e-10,0.0
1892,1.3456931204279344e-10,0.0
1893,1.3456931204279344e-10,0.0
1894,1.0139314784599459e-10,0.0
1895,3.2261314651473224e-10,0.0
1896,1.0396888786409368e-09,0.0
1897,1.032969943708701e-09,0.0
1898,1.032969943708701e-09,0.0
1899,1.032969943708701e-09,0.0
1900,1.032969943708701e-09,0.0
1901,1.0280148577639687e-09,0.0
1902,7.527891742504472e-10,0.0
1903,6.573400653163221e-10,0.0
1904,6.387633101028506e-10,0.0
1905,6.387633101028506e-10,0.0
1906,6.387633101028506e-10,0.0
1907,6.387633101028506e-10,0.0
1908,6.216266231920794e-10,0.0
1909,1.1728670098623946e-09,0.0
1910,5.650142764371654e-10,0.0
1911,5.650142764371654e-10,0.0
1912,5.650142764371654e-10,0.0
1913,5.650142764371654e-10,0.0
1914,5.650142764371654e-10,0.0
1915,5.809529990011672e-10,0.0
1916,1.3507564808731435e-10,0.0
1917,1.213017583204642e-10,0.0
1918,1.213017583204642e-10,0.0
1919,1.213017583204642e-10,0.0
1920,1.8150226044344464e-09,0.0
1921,5.18841559795012e-09,0.0
1922,5.196628171428535e-09,0.0
1923,5.091265135672072e-09,0.0
1924,5.213372785060701e-09,0.0
1925,5.213372785060701e-09,0.0
1926,5.236295748191542e-09,0.0
1927,3.54257490207756e-09,0.0
1928,2.8322933879173663e-10,0.0
1929,3.3493543454594336e-10,0.0
1930,3.621628275052302e-10,0.0
1931,2.92521197740671e-10,0.0
1932,2.92521197740671e-10,0.0
1933,3.3909971061277643e-10,0.0
1934,4.2897120974430946e-10,0.0
1935,3.371461126151181e-10,0.0
1936,4.0785075317018027e-10,0.0
1937,4.2550819415573416e-10,0.0
1938,4.6005117770864246e-10,0.0
1939,7.836735129876768e-10,0.0
1940,9.205181359225481e-10,0.0
1941,8.582252071707788e-10,0.0
1942,1.0352672409817488e-09,0.0
1943,1.1032384569390326e-09,0.0
1944,1.0773249455229917e-09,0.0
1945,1.1592407212728568e-09,0.0
1946,1.10038805250274e-09,0.0
1947,1.0430547398021517e-09,0.0
1948,1.015476169422388e-09,0.0
1949,8.67230289564829e-10,0.0
1950,7.711368706285273e-10,0.0
1951,1.083147520088344e-09,0.0
1952,9.299066903405745e-10,0.0
1953,1.0730571659408765e-09,0.0
1954,1.0982358504750346e-09,0.0
1955,1.1852013646301047e-09,0.0
1956,1.4439469966931462e-09,0.0
1957,1.5803816856365037e-09,0.0
1958,1.7849810706896792e-09,0.0
1959,1.938706211441448e-09,0.0
1960,1.8801854676350362e-09,0.0
1961,2.0999389053041486e-09,0.0
1962,2.441447155554499e-09,0.0
1963,2.4684141556160657e-09,0.0
1964,2.3214593580789256e-09,0.0
1965,1.9533645494768895e-09,0.0
1966,2.0829199000514465e-09,0.0
1967,2.0784629890207337e-09,0.0
1968,2.4284675540339353e-09,0.0
1969,2.4129305220554897e-09,0.0
1970,2.3568236885905337e-09,0.0
1971,2.8665160879879993e-09,0.0
1972,3.0642382282357924e-09,0.0
1973,3.2522655045243353e-09,0.0
1974,3.599860790412127e-09,0.0
1975,3.5695473243890774e-09,0.0
1976,4.2977838430959176e-09,0.0
1977,1.0117231877667824e-08,0.0
1978,3.1115269725847024e-08,0.0
1979,7.182746232712946e-08,0.0
1980,1.2196637661736937e-07,2.3510483242767625e-11
1981,1.8096938436684695e-07,8.454887187195733e-11
1982,2.398071105501133e-07,8.454887187195733e-11
1983,3.0302332122898535e-07,8.454887187195733e-11
1984,3.619098448228085e-07,8.454887187195733e-11
1985,4.038238411599845e-07,9.178294681817206e-11
1986,4.359287605179166e-07,1.1250861204982674e-10
1987,4.663081451131542e-07,1.0906053094347382e-10
1988,5.065011440105341e-07,6.188496193667729e-11
1989,5.414815242537381e-07,7.51889854940949e-11
1990,5.755680336148674e-07,9.516137233370588e-11
1991,6.154401026898475e-07,1.2143844610457144e-10
1992,6.527727285694189e-07,1.2692906348992546e-10
1993,6.853704072844786e-07,1.3841019501161155e-10
1994,7.073486796928461e-07,1.3135405263486888e-10
1995,7.108294702058109e-07,1.4303975860917107e-10
1996,6.997493317482752e-07,1.4233981354694336e-10
1997,6.724469098376826e-07,1.3387247560503468e-10
1998,6.307741305785644e-07,1.4226212767333634e-10
1999,5.901207162293889e-07,2.2715583283420112e-10
2000,5.385444857048631e-07,2.2610361103244817e-10
2001,4.790880682646405e-07,2.2830954190692206e-10
2002,4.1981066699138735e-07,2.134981239417958e-10
2003,3.665341665737287e-07,2.060521827567425e-10
2004,3.2141773382526093e-07,1.9959367987741417e-10
2005,2.7739074377158044e-07,1.6492695403824698e-10
2006,2.3117541607981756e-07,7.245512870235338e-11
2007,1.8729269766838895e-07,4.666771483141652e-11
2008,1.5035823709906383e-07,3.1455524197270584e-11
2009,1.1297886613549832e-07,2.0718416565701503e-11
2010,8.813810938233604e-08,1.9654175360618785e-11
2011,6.748896654227923e-08,1.9250026424079613e-11
2012,5.316264203461937e-08,1.9250026424079613e-11
2013,4.414556288777151e-08,1.945447696787601e-11
2014,4.050624724527552e-08,2.967456563212385e-11
2015,4.262435940713008e-08,3.510523692177145e-11
2016,5.187719358851999e-08,3.510523692177145e-11
2017,5.4299987913471646e-08,3.61798976195038e-11
2018,5.7633731387340956e-08,3.691652122883582e-11
2019,6.358516468907283e-08,4.6145651536044774e-11
