ngram,Parker - Hannifin,Parker - Hanifin
1692,0.0,0.0
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,1.901727188423154e-10,0.0
1817,1.901727188423154e-10,0.0
1818,1.901727188423154e-10,0.0
1819,1.901727188423154e-10,0.0
1820,1.901727188423154e-10,0.0
1821,1.901727188423154e-10,0.0
1822,1.901727188423154e-10,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,8.115212470270551e-11,0.0
1872,8.115212470270551e-11,0.0
1873,8.115212470270551e-11,0.0
1874,8.115212470270551e-11,0.0
1875,8.115212470270551e-11,0.0
1876,8.115212470270551e-11,0.0
1877,8.115212470270551e-11,0.0
1878,2.5399752142821596e-10,0.0
1879,2.5399752142821596e-10,0.0
1880,2.5399752142821596e-10,0.0
1881,2.5399752142821596e-10,0.0
1882,2.5399752142821596e-10,0.0
1883,2.5399752142821596e-10,0.0
1884,2.5399752142821596e-10,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,2.7633968526151266e-11,0.0
1888,2.7633968526151266e-11,0.0
1889,2.7633968526151266e-11,0.0
1890,2.7633968526151266e-11,0.0
1891,2.7633968526151266e-11,0.0
1892,2.7633968526151266e-11,0.0
1893,2.7633968526151266e-11,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,0.0,0.0
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,0.0
1904,0.0,0.0
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,4.884306054846783e-11,0.0
1925,4.884306054846783e-11,0.0
1926,4.884306054846783e-11,0.0
1927,4.884306054846783e-11,0.0
1928,4.884306054846783e-11,0.0
1929,7.4128857814009e-11,0.0
1930,7.4128857814009e-11,0.0
1931,5.1518807077575805e-11,0.0
1932,5.1518807077575805e-11,0.0
1933,2.1368892568128318e-10,0.0
1934,2.1368892568128318e-10,0.0
1935,2.1368892568128318e-10,0.0
1936,1.8840312841574202e-10,0.0
1937,1.8840312841574202e-10,0.0
1938,2.709313725749293e-10,0.0
1939,3.4561345055702676e-10,0.0
1940,1.834433319533194e-10,0.0
1941,1.834433319533194e-10,0.0
1942,1.834433319533194e-10,0.0
1943,1.834433319533194e-10,0.0
1944,1.834433319533194e-10,0.0
1945,7.468207798209749e-11,0.0
1946,3.475101793627898e-10,0.0
1947,3.6406715539108857e-10,0.0
1948,3.6406715539108857e-10,0.0
1949,3.810733177424451e-10,0.0
1950,3.810733177424451e-10,0.0
1951,6.955061784433677e-10,0.0
1952,7.896098715352653e-10,0.0
1953,4.5778892878870335e-10,0.0
1954,1.7766999429220348e-09,0.0
1955,7.154067573463976e-09,0.0
1956,1.601247711507936e-08,0.0
1957,2.829742909140779e-08,0.0
1958,4.122970840232863e-08,2.380361582446763e-11
1959,4.9798055529380406e-08,2.380361582446763e-11
1960,6.055022121793335e-08,3.4391476769598686e-11
1961,6.938978712258046e-08,5.690261456470225e-11
1962,7.426518473201732e-08,6.710437067125596e-11
1963,7.413487423946208e-08,6.710437067125596e-11
1964,6.932336304998898e-08,7.609768073616304e-11
1965,6.209735151482424e-08,6.110914651286897e-11
1966,5.8728329881725065e-08,9.628143223171039e-11
1967,5.375373949131504e-08,8.569357128657934e-11
1968,4.8290385531605095e-08,8.089551647597456e-11
1969,4.148474427470969e-08,7.069376036942084e-11
1970,3.9579855837246214e-08,7.946326929797465e-11
1971,3.90702155073086e-08,7.046995923306757e-11
1972,4.04058612600368e-08,7.904576794702324e-11
1973,4.018044766748322e-08,6.863577365187216e-11
1974,3.9634175306803495e-08,7.678327666143276e-11
1975,3.993416644984141e-08,9.150819437515295e-11
1976,4.002307209459234e-08,9.150819437515295e-11
1977,3.880134309091383e-08,9.076509633173683e-11
1978,3.518311331163204e-08,9.076509633173683e-11
1979,3.319104940097921e-08,7.33742060166076e-11
1980,3.1124538628952384e-08,4.861191459291727e-11
1981,3.0630910887095656e-08,9.387300262516821e-11
1982,3.253416456873635e-08,7.625799198456612e-11
1983,3.442417170366038e-08,7.625799198456612e-11
1984,3.278235486244999e-08,8.293276779599727e-11
1985,3.3133396470930165e-08,8.293276779599727e-11
1986,3.132701996223984e-08,8.293276779599727e-11
1987,3.158899935280195e-08,8.293276779599727e-11
1988,2.9864661093321436e-08,2.952417675418571e-11
1989,2.608948587326917e-08,1.470118669656882e-11
1990,2.423184878149901e-08,2.1358648976439146e-11
1991,2.5103297726250925e-08,2.6365267112384215e-11
1992,2.530680376366945e-08,2.6365267112384215e-11
1993,2.504687378136948e-08,7.145478256706132e-11
1994,2.3922919264610495e-08,7.145478256706132e-11
1995,2.3346551612592392e-08,7.145478256706132e-11
1996,2.236840148027243e-08,7.145478256706132e-11
1997,2.068107729513713e-08,7.054984473604214e-11
1998,1.7629849326437708e-08,5.084203990352825e-11
1999,1.5383820439751617e-08,5.084203990352825e-11
2000,1.3404721523256415e-08,1.0944953772660883e-11
2001,1.2563298718808774e-08,1.0944953772660883e-11
2002,1.1382987504962979e-08,1.0944953772660883e-11
2003,1.03871270949542e-08,1.0944953772660883e-11
2004,9.611245133100965e-09,5.192429323809731e-12
2005,8.534799280011742e-09,5.192429323809731e-12
2006,7.405660212051706e-09,5.192429323809731e-12
2007,6.424914283138199e-09,0.0
2008,5.719408280313587e-09,0.0
2009,4.6047107872736e-09,0.0
2010,3.5495069819876537e-09,0.0
2011,2.6114397549165905e-09,0.0
2012,2.2701235732495004e-09,0.0
2013,2.0501815086885043e-09,1.0702045400672639e-11
2014,1.7899866192446927e-09,1.0702045400672639e-11
2015,1.5232260056460438e-09,1.0702045400672639e-11
2016,1.665983509876615e-09,2.321901698687512e-11
2017,1.8146897040605126e-09,2.7088853151354304e-11
2018,1.943650829172583e-09,3.250662378162517e-11
2019,1.7660862633439578e-09,4.063327972703146e-11
