ngram,Schneider Electric
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,2.6232403154453313e-11
1887,5.2529542223947854e-11
1888,5.2529542223947854e-11
1889,7.74155719688149e-11
1890,7.74155719688149e-11
1891,1.261098547018185e-10
1892,1.261098547018185e-10
1893,1.217981092966574e-10
1894,9.550097022716284e-11
1895,9.550097022716284e-11
1896,7.061494048229581e-11
1897,8.826257383695183e-11
1898,3.9568291103948234e-11
1899,3.9568291103948234e-11
1900,1.7647633354656023e-11
1901,1.7647633354656023e-11
1902,3.3998110874186185e-11
1903,4.9127055598166944e-11
1904,3.147942224351092e-11
1905,3.147942224351092e-11
1906,3.147942224351092e-11
1907,3.147942224351092e-11
1908,3.147942224351092e-11
1909,1.5128944723980756e-11
1910,2.61547708094564e-11
1911,3.942331183726111e-11
1912,9.417679929552797e-11
1913,1.2132972008035584e-10
1914,1.4910350930121196e-10
1915,1.4910350930121196e-10
1916,2.063230122465295e-10
1917,2.5980117660370384e-10
1918,3.694818736680158e-10
1919,3.822203743984533e-10
1920,4.211408860532728e-10
1921,3.933670968324167e-10
1922,3.933670968324167e-10
1923,3.3614759388709917e-10
1924,2.7970632357884485e-10
1925,1.7860049550399992e-10
1926,1.3286999476859662e-10
1927,1.0997716031508581e-10
1928,1.0997716031508581e-10
1929,1.0997716031508581e-10
1930,1.0997716031508581e-10
1931,8.678549545670933e-11
1932,6.494208543943764e-11
1933,4.3180597986136604e-11
1934,1.4938553568758347e-10
1935,1.916144029160246e-10
1936,2.1150836439419252e-10
1937,2.1150836439419252e-10
1938,3.5614349366433883e-10
1939,4.271274425419033e-10
1940,4.271274425419033e-10
1941,2.777419068543198e-10
1942,2.3551303962587866e-10
1943,2.768259272605584e-10
1944,2.9487683525112173e-10
1945,2.2160964928209991e-10
1946,2.76497346843715e-10
1947,4.1817790301974204e-10
1948,4.994386868359005e-10
1949,5.479456233985808e-10
1950,5.189048674874336e-10
1951,5.323263754400795e-10
1952,4.907806819673003e-10
1953,4.245712432420541e-10
1954,3.242992937682995e-10
1955,2.98173588994136e-10
1956,2.881113284455442e-10
1957,3.165582181306549e-10
1958,3.643413328971842e-10
1959,3.5601513007473985e-10
1960,3.668573024727197e-10
1961,6.252252802786882e-10
1962,5.797961257928261e-10
1963,5.5077698552746e-10
1964,4.901640026406489e-10
1965,4.276855437262179e-10
1966,4.313027851532425e-10
1967,4.197235555146252e-10
1968,2.126938129589005e-10
1969,2.6281260897701285e-10
1970,3.285000208360803e-10
1971,3.5406441667440447e-10
1972,3.5384516745245216e-10
1973,3.915913030346932e-10
1974,3.404201137250215e-10
1975,3.0936169598261287e-10
1976,2.648253382459791e-10
1977,2.2025672555666834e-10
1978,2.1021586554814675e-10
1979,2.0138848178371686e-10
1980,1.832566682727751e-10
1981,2.3356309693840187e-10
1982,6.582354021963546e-10
1983,2.4802850671119217e-09
1984,2.491691932643425e-09
1985,2.6207013062638585e-09
1986,2.6261114523053385e-09
1987,3.0267474290801566e-09
1988,3.0741952445980024e-09
1989,2.6637922472974982e-09
1990,9.088134104400553e-10
1991,1.379653479754201e-09
1992,2.0224307238834805e-09
1993,3.3213750559392606e-09
1994,5.328076686199929e-09
1995,7.193812347404207e-09
1996,1.1505500671241516e-08
1997,1.5377396816213766e-08
1998,2.177334959948699e-08
1999,2.8802324715724936e-08
2000,3.265255456495554e-08
2001,3.587127458562886e-08
2002,3.8846002985743714e-08
2003,3.8921167749046097e-08
2004,4.055416523231413e-08
2005,3.9618948375976156e-08
2006,3.6590508654756245e-08
2007,3.4677490085804104e-08
2008,3.2453277906289e-08
2009,2.986360695241988e-08
2010,2.8721448077005463e-08
2011,2.6622087137947607e-08
2012,2.4759362560189402e-08
2013,2.473642573314854e-08
2014,2.5433716085590926e-08
2015,2.5970049983519468e-08
2016,2.8735979183482285e-08
2017,2.9651215112854363e-08
2018,3.0698409503315814e-08
2019,3.117910729599771e-08
