ngram,Credit Agricole
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,4.737977470676518e-11
1857,2.3087970424384707e-10
1858,3.4077716838863484e-10
1859,5.730844529086962e-10
1860,9.804615690762424e-10
1861,1.7883893255188354e-09
1862,2.3198055064201283e-09
1863,2.9553109721318957e-09
1864,3.5350065176663138e-09
1865,4.268293686747273e-09
1866,5.1321830594832e-09
1867,5.3426252628290575e-09
1868,5.004456975805332e-09
1869,5.151416499720491e-09
1870,5.1526328600662705e-09
1871,4.969119338227301e-09
1872,4.594196388398229e-09
1873,5.058621585111009e-09
1874,5.6141642446050355e-09
1875,5.908240753780904e-09
1876,5.521845330187196e-09
1877,5.270174265246754e-09
1878,4.725031929212317e-09
1879,4.522525330420888e-09
1880,3.0244908442801842e-09
1881,1.881162091178977e-09
1882,1.1481693710870188e-09
1883,9.784321785317423e-10
1884,9.232544748557661e-10
1885,1.3579661938584969e-09
1886,1.3545351447628663e-09
1887,1.633810568977902e-09
1888,1.860516274773286e-09
1889,2.4269377301473175e-09
1890,2.737763904470114e-09
1891,2.6283296333013642e-09
1892,2.3726773403152735e-09
1893,3.337910154626351e-09
1894,3.83569292201307e-09
1895,3.820408814699963e-09
1896,3.7206533409772646e-09
1897,3.358174611405624e-09
1898,3.1246164425687996e-09
1899,2.997493511339552e-09
1900,1.855752523871601e-09
1901,1.2602753007850964e-09
1902,1.4275824213237443e-09
1903,1.1721362967533265e-09
1904,1.7337431688714743e-09
1905,1.8007830464889756e-09
1906,2.922356341044414e-09
1907,4.686905546209224e-09
1908,5.289813523720202e-09
1909,8.583095456593526e-09
1910,1.0511878193294625e-08
1911,1.412561391665536e-08
1912,1.7569601900342084e-08
1913,1.811291586558842e-08
1914,1.719297275976877e-08
1915,1.6830529826959506e-08
1916,1.388664437408847e-08
1917,1.2857203841270298e-08
1918,9.198694853448534e-09
1919,6.868262371538338e-09
1920,5.425241684469435e-09
1921,4.895069587768879e-09
1922,5.602531898724854e-09
1923,5.870579133926412e-09
1924,5.44811541912184e-09
1925,6.193139334698117e-09
1926,6.327495733720363e-09
1927,7.4441127547889405e-09
1928,8.407521409229242e-09
1929,8.15198784666547e-09
1930,8.056787871778072e-09
1931,8.558997954821734e-09
1932,1.0506461605481426e-08
1933,1.0675778483459908e-08
1934,1.1064785912903322e-08
1935,1.0946878958861816e-08
1936,1.1064696777854773e-08
1937,1.1092851906876637e-08
1938,1.3487578609527873e-08
1939,1.0799199756661437e-08
1940,9.574909753951033e-09
1941,9.255631182116173e-09
1942,9.692408145919477e-09
1943,9.270498971655376e-09
1944,9.97202168459158e-09
1945,7.961922042300427e-09
1946,9.069656454434899e-09
1947,9.562531655404882e-09
1948,9.221746223784879e-09
1949,9.172284582652829e-09
1950,1.0132035401154229e-08
1951,1.1886109112830517e-08
1952,1.1756531748119414e-08
1953,1.201120181093529e-08
1954,1.3777618538110152e-08
1955,1.4346686632344635e-08
1956,1.4200147216821994e-08
1957,1.529914201674793e-08
1958,1.3831806430378687e-08
1959,1.4440721634351966e-08
1960,1.4390402520397011e-08
1961,1.3924601408429486e-08
1962,1.4482522355966206e-08
1963,1.4513506079489552e-08
1964,1.3294829745039546e-08
1965,1.2949618393471546e-08
1966,1.237967024130577e-08
1967,1.165455503533102e-08
1968,1.1126658451741735e-08
1969,1.0512312036731991e-08
1970,1.1715558808792333e-08
1971,1.1998440590283671e-08
1972,1.1919549918510647e-08
1973,1.3052334705118288e-08
1974,1.4913384559024834e-08
1975,1.6723281426322956e-08
1976,1.9834348893458094e-08
1977,2.1901415665175657e-08
1978,2.8249279487064475e-08
1979,3.2400101903005766e-08
1980,3.6319652555302384e-08
1981,4.0399755160284e-08
1982,4.495981948642631e-08
1983,4.97138376179659e-08
1984,5.293170041958157e-08
1985,5.3156263898504874e-08
1986,5.804058186445868e-08
1987,6.239720968486446e-08
1988,6.56107640598488e-08
1989,6.611227831854194e-08
1990,6.570351120314757e-08
1991,6.69655878685457e-08
1992,6.735871289314283e-08
1993,6.676964555854933e-08
1994,6.931329618201484e-08
1995,6.90979215432565e-08
1996,7.087044094435311e-08
1997,7.329816449035726e-08
1998,7.428900516970316e-08
1999,7.493828085054182e-08
2000,7.550614152965604e-08
2001,7.070393743496034e-08
2002,6.817129007328861e-08
2003,6.315277646860653e-08
2004,5.85309588732993e-08
2005,5.2418796160834195e-08
2006,4.6057488997267426e-08
2007,3.809004083572225e-08
2008,3.197542979600192e-08
2009,2.6379481329489148e-08
2010,2.313511122358542e-08
2011,1.7740836989941855e-08
2012,1.4853010884710978e-08
2013,1.3585092542963854e-08
2014,1.206244171214621e-08
2015,1.0616976631183661e-08
2016,1.031729990330632e-08
2017,9.772414729288434e-09
2018,9.578603332727198e-09
2019,9.770676046017002e-09
