ngram,Standard Chartered,Standard Chatered
1693,0.0,0.0
1694,0.0,0.0
1695,0.0,0.0
1696,0.0,0.0
1697,0.0,0.0
1698,0.0,0.0
1699,0.0,0.0
1700,0.0,0.0
1701,0.0,0.0
1702,0.0,0.0
1703,0.0,0.0
1704,0.0,0.0
1705,0.0,0.0
1706,0.0,0.0
1707,0.0,0.0
1708,0.0,0.0
1709,0.0,0.0
1710,0.0,0.0
1711,0.0,0.0
1712,0.0,0.0
1713,0.0,0.0
1714,0.0,0.0
1715,0.0,0.0
1716,0.0,0.0
1717,0.0,0.0
1718,0.0,0.0
1719,0.0,0.0
1720,0.0,0.0
1721,0.0,0.0
1722,0.0,0.0
1723,0.0,0.0
1724,0.0,0.0
1725,0.0,0.0
1726,0.0,0.0
1727,0.0,0.0
1728,0.0,0.0
1729,0.0,0.0
1730,0.0,0.0
1731,0.0,0.0
1732,0.0,0.0
1733,0.0,0.0
1734,0.0,0.0
1735,0.0,0.0
1736,0.0,0.0
1737,0.0,0.0
1738,0.0,0.0
1739,0.0,0.0
1740,0.0,0.0
1741,0.0,0.0
1742,0.0,0.0
1743,0.0,0.0
1744,0.0,0.0
1745,0.0,0.0
1746,0.0,0.0
1747,0.0,0.0
1748,0.0,0.0
1749,0.0,0.0
1750,0.0,0.0
1751,0.0,0.0
1752,0.0,0.0
1753,0.0,0.0
1754,0.0,0.0
1755,0.0,0.0
1756,0.0,0.0
1757,0.0,0.0
1758,0.0,0.0
1759,0.0,0.0
1760,0.0,0.0
1761,0.0,0.0
1762,0.0,0.0
1763,0.0,0.0
1764,0.0,0.0
1765,0.0,0.0
1766,0.0,0.0
1767,0.0,0.0
1768,0.0,0.0
1769,0.0,0.0
1770,0.0,0.0
1771,0.0,0.0
1772,0.0,0.0
1773,0.0,0.0
1774,0.0,0.0
1775,0.0,0.0
1776,0.0,0.0
1777,0.0,0.0
1778,0.0,0.0
1779,0.0,0.0
1780,0.0,0.0
1781,0.0,0.0
1782,0.0,0.0
1783,0.0,0.0
1784,0.0,0.0
1785,0.0,0.0
1786,0.0,0.0
1787,0.0,0.0
1788,0.0,0.0
1789,0.0,0.0
1790,0.0,0.0
1791,0.0,0.0
1792,0.0,0.0
1793,0.0,0.0
1794,0.0,0.0
1795,0.0,0.0
1796,0.0,0.0
1797,0.0,0.0
1798,0.0,0.0
1799,0.0,0.0
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,1.2471435788847478e-10,0.0
1847,1.2471435788847478e-10,0.0
1848,1.2471435788847478e-10,0.0
1849,1.2471435788847478e-10,0.0
1850,1.2471435788847478e-10,0.0
1851,1.2471435788847478e-10,0.0
1852,1.2471435788847478e-10,0.0
1853,0.0,0.0
1854,0.0,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,2.197949282895755e-10,0.0
1859,2.197949282895755e-10,0.0
1860,2.197949282895755e-10,0.0
1861,2.197949282895755e-10,0.0
1862,2.197949282895755e-10,0.0
1863,2.197949282895755e-10,0.0
1864,2.197949282895755e-10,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,0.0,0.0
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,0.0
1874,0.0,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,0.0,0.0
1878,3.4539617198094315e-11,0.0
1879,3.4539617198094315e-11,0.0
1880,3.4539617198094315e-11,0.0
1881,3.4539617198094315e-11,0.0
1882,3.4539617198094315e-11,0.0
1883,3.4539617198094315e-11,0.0
1884,3.4539617198094315e-11,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,0.0,0.0
1891,0.0,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,5.294290006396807e-11,0.0
1898,5.294290006396807e-11,0.0
1899,5.294290006396807e-11,0.0
1900,5.294290006396807e-11,0.0
1901,5.294290006396807e-11,0.0
1902,8.564385510302839e-11,0.0
1903,8.564385510302839e-11,0.0
1904,3.2700955039060324e-11,0.0
1905,3.2700955039060324e-11,0.0
1906,3.2700955039060324e-11,0.0
1907,3.2700955039060324e-11,0.0
1908,3.2700955039060324e-11,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,0.0,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,0.0
1920,0.0,0.0
1921,1.0673329680394822e-10,0.0
1922,1.0673329680394822e-10,0.0
1923,1.5337900790716016e-10,0.0
1924,1.5337900790716016e-10,0.0
1925,1.5337900790716016e-10,0.0
1926,1.5337900790716016e-10,0.0
1927,1.5337900790716016e-10,0.0
1928,8.908152707550901e-10,0.0
1929,8.908152707550901e-10,0.0
1930,8.441695596518781e-10,0.0
1931,8.441695596518781e-10,0.0
1932,8.441695596518781e-10,0.0
1933,9.98223234230774e-10,0.0
1934,1.0622456049689889e-09,0.0
1935,2.1807604531711077e-10,0.0
1936,2.1807604531711077e-10,0.0
1937,2.3939072946177475e-10,0.0
1938,8.179312465423599e-10,0.0
1939,8.179312465423599e-10,0.0
1940,6.883974937707141e-10,0.0
1941,6.243751230324993e-10,0.0
1942,6.243751230324993e-10,0.0
1943,6.243751230324993e-10,0.0
1944,1.1265367805268767e-09,0.0
1945,5.658382492715727e-10,0.0
1946,5.658382492715727e-10,0.0
1947,5.72802896384569e-10,0.0
1948,5.72802896384569e-10,0.0
1949,6.213098329472493e-10,0.0
1950,8.625555388988967e-10,0.0
1951,3.705516132030644e-10,0.0
1952,3.527096273777833e-10,0.0
1953,3.8254073123474997e-10,0.0
1954,3.510561623145035e-10,0.0
1955,3.510561623145035e-10,0.0
1956,5.07587497826962e-10,0.0
1957,3.87567757648937e-10,0.0
1958,4.5799531429262837e-10,0.0
1959,8.771682328902384e-10,0.0
1960,9.279135634468868e-10,0.0
1961,1.1848649283940915e-09,0.0
1962,1.3013360230676847e-09,0.0
1963,1.209404179977217e-09,0.0
1964,1.1566684514947261e-09,0.0
1965,1.1638194455773236e-09,0.0
1966,9.03697362973434e-10,0.0
1967,1.0083142495557036e-09,0.0
1968,1.5270637849467456e-09,0.0
1969,1.5558812968155929e-09,0.0
1970,1.89345258519832e-09,0.0
1971,2.1572994898403206e-09,0.0
1972,9.226064452099486e-09,0.0
1973,2.2566075040332734e-08,0.0
1974,4.0478626482455734e-08,0.0
1975,6.326790285322253e-08,0.0
1976,8.805029067764686e-08,0.0
1977,1.0714798756187146e-07,0.0
1978,1.3640351070876022e-07,0.0
1979,1.5428777747469473e-07,1.5460877617850296e-11
1980,1.6429307387560194e-07,1.5460877617850296e-11
1981,1.7397722526116661e-07,2.2718426346506656e-11
1982,1.9291594810511015e-07,2.976713270716072e-11
1983,2.3070415165550783e-07,5.0885961615034143e-11
1984,2.525406362760155e-07,5.0885961615034143e-11
1985,2.7380083419562394e-07,9.218107973369654e-11
1986,2.963076671643908e-07,8.329049454104874e-11
1987,3.4309440317364146e-07,1.3418918853076127e-10
1988,3.588082628474305e-07,1.7968574247565324e-10
1989,3.6570240727737004e-07,2.106159021987773e-10
1990,3.4720073927019257e-07,2.591856139433357e-10
1991,3.595338934506539e-07,3.1546758509042634e-10
1992,3.5921297986923104e-07,3.226223222106496e-10
1993,3.436613878550686e-07,3.344457429253568e-10
1994,3.061821465572783e-07,2.959312170314199e-10
1995,2.932406703491454e-07,2.553452865816652e-10
1996,2.7767151777879917e-07,2.2937092403989874e-10
1997,2.638700209445233e-07,1.7063599937789624e-10
1998,2.392006369486158e-07,1.2535521331275794e-10
1999,2.2102795631846156e-07,9.755604558308356e-11
2000,2.1718085057338093e-07,9.399657044780899e-11
2001,2.1323010709498442e-07,8.644271360222104e-11
2002,2.0828542801609728e-07,7.9389300688959e-11
2003,2.0136139206832532e-07,7.72147772308353e-11
2004,2.0918433360098527e-07,7.106946826675374e-11
2005,2.0378367691721776e-07,6.006828318480143e-11
2006,1.887036802372677e-07,3.941759567559013e-11
2007,1.750173542599701e-07,2.4583357670955e-11
2008,1.5781421629818787e-07,1.9753046420767362e-11
2009,1.504195757157894e-07,1.4638287110235737e-11
2010,1.3724183998777205e-07,4.808307026347793e-12
2011,1.1047521805299506e-07,0.0
2012,1.006923225434418e-07,5.075064872319044e-12
2013,9.774312559329701e-08,5.075064872319044e-12
2014,9.418520262118233e-08,1.0014472386275587e-11
2015,9.014176427513121e-08,1.0014472386275587e-11
2016,8.075536379286469e-08,1.596363666256373e-11
2017,7.81998507430141e-08,1.8624242772991018e-11
2018,7.778317225870524e-08,2.234909132758922e-11
2019,7.296508020004921e-08,1.90550006329282e-11
