ngram,Marathon Petroleum
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,6.088108810737529e-09
1743,6.088108810737529e-09
1744,6.088108810737529e-09
1745,6.088108810737529e-09
1746,6.088108810737529e-09
1747,6.088108810737529e-09
1748,6.088108810737529e-09
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,1.2749883688505698e-09
1787,1.2749883688505698e-09
1788,1.2749883688505698e-09
1789,1.2749883688505698e-09
1790,1.2749883688505698e-09
1791,1.2749883688505698e-09
1792,1.2749883688505698e-09
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,1.2041855607896375e-10
1905,1.2041855607896375e-10
1906,1.2041855607896375e-10
1907,1.2041855607896375e-10
1908,1.2041855607896375e-10
1909,1.2041855607896375e-10
1910,1.2041855607896375e-10
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,1.3272155200258088e-11
1918,4.059420855018203e-11
1919,4.059420855018203e-11
1920,8.464316350994697e-11
1921,8.464316350994697e-11
1922,1.763428351754724e-10
1923,1.9966569072707837e-10
1924,1.863935355268203e-10
1925,1.5907148217689634e-10
1926,1.5907148217689634e-10
1927,1.1502252721713141e-10
1928,1.3666790120238558e-10
1929,6.898264301050513e-11
1930,7.152105693400808e-11
1931,7.152105693400808e-11
1932,7.152105693400808e-11
1933,1.3754406145784414e-10
1934,1.3754406145784414e-10
1935,1.1589868747258997e-10
1936,9.188427399894498e-11
1937,6.602300452383604e-11
1938,1.0734732943821053e-10
1939,1.0734732943821053e-10
1940,4.13243249143745e-11
1941,4.13243249143745e-11
1942,8.871949603544188e-11
1943,8.871949603544188e-11
1944,1.0677040402600519e-10
1945,6.54460791116307e-11
1946,5.2173080340128e-10
1947,5.2173080340128e-10
1948,5.54235116134727e-10
1949,5.068399450136596e-10
1950,5.068399450136596e-10
1951,4.887890370230963e-10
1952,4.887890370230963e-10
1953,3.250431273344694e-11
1954,2.671530893331006e-10
1955,6.481618733796982e-10
1956,7.891256854313561e-10
1957,1.1770487759069477e-09
1958,1.2563043066166862e-09
1959,2.116146155132067e-09
1960,3.5967381850632307e-09
1961,4.764615630608355e-09
1962,5.991403762006797e-09
1963,7.537610860871728e-09
1964,8.493808648487748e-09
1965,9.8573813238951e-09
1966,1.0462481420907871e-08
1967,1.0412928678046488e-08
1968,1.1497704249003554e-08
1969,1.107099021981282e-08
1970,1.0593972429465533e-08
1971,1.1158659773968793e-08
1972,1.2696239615195282e-08
1973,1.3470664710674945e-08
1974,1.4032393405979552e-08
1975,1.3781296992476655e-08
1976,1.4792166602717316e-08
1977,1.6376820153953175e-08
1978,1.6649068790286492e-08
1979,1.6072827259603984e-08
1980,1.6919665287876536e-08
1981,1.8185536632131516e-08
1982,1.9241077049108364e-08
1983,2.2071059900343115e-08
1984,2.3177714985373702e-08
1985,2.618607806782945e-08
1986,2.8722771462850816e-08
1987,2.953667888050404e-08
1988,2.9766404706167904e-08
1989,2.9323074000688265e-08
1990,2.6885122445768113e-08
1991,2.547257439898333e-08
1992,2.2396779415195008e-08
1993,1.8902891696370716e-08
1994,1.6185467315616668e-08
1995,1.4321553213189223e-08
1996,1.2985705590194487e-08
1997,1.1097632971309882e-08
1998,9.65933244501116e-09
1999,8.382060315678278e-09
2000,7.671855278041612e-09
2001,7.107447011886084e-09
2002,6.1632589190959865e-09
2003,5.736904221517339e-09
2004,6.5615718572839145e-09
2005,6.964106751589887e-09
2006,6.980451010869209e-09
2007,7.500487152002831e-09
2008,7.274663823711844e-09
2009,7.178542617479268e-09
2010,6.719823967113062e-09
2011,5.515089083831169e-09
2012,4.8181256444885486e-09
2013,4.5355886031066865e-09
2014,3.6344226358612073e-09
2015,3.732726381956906e-09
2016,4.011213456627567e-09
2017,3.947672559216168e-09
2018,4.2495195362590724e-09
2019,3.988576302571545e-09
