ngram,International Holding Company
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,6.887316114248928e-11
1903,6.887316114248928e-11
1904,6.887316114248928e-11
1905,6.887316114248928e-11
1906,6.887316114248928e-11
1907,6.887316114248928e-11
1908,8.259761525535631e-11
1909,6.884849040084922e-11
1910,2.203612768449302e-10
1911,2.203612768449302e-10
1912,2.203612768449302e-10
1913,2.63255032852326e-10
1914,2.63255032852326e-10
1915,2.6546930130346066e-10
1916,2.5550085063536747e-10
1917,1.598510014831435e-10
1918,2.0299171867220267e-10
1919,2.882261968777706e-10
1920,2.685340957534318e-10
1921,2.685340957534318e-10
1922,6.87318709883097e-10
1923,8.385906810229723e-10
1924,8.315708042795831e-10
1925,9.95476657455236e-10
1926,1.1394718145231663e-09
1927,1.2299620568066517e-09
1928,1.2299620568066517e-09
1929,7.952387201129848e-10
1930,7.621755171438593e-10
1931,7.657984762194608e-10
1932,6.060383980369518e-10
1933,3.768087627634539e-10
1934,3.080526151626779e-10
1935,3.7471961248211217e-10
1936,3.7471961248211217e-10
1937,2.1135525869147338e-10
1938,1.5888923906740412e-10
1939,1.1160274688520083e-10
1940,1.1160274688520083e-10
1941,1.7698127883848868e-10
1942,2.8467060454927054e-10
1943,3.061239297766757e-10
1944,3.061239297766757e-10
1945,3.24893350318283e-10
1946,3.24893350318283e-10
1947,3.24893350318283e-10
1948,2.1457906879922868e-10
1949,9.124123282308209e-11
1950,6.978790759567691e-11
1951,6.978790759567691e-11
1952,5.101848705406959e-11
1953,5.101848705406959e-11
1954,5.101848705406959e-11
1955,5.101848705406959e-11
1956,0.0
1957,0.0
1958,0.0
1959,9.035151198639418e-11
1960,1.221150958130579e-10
1961,1.221150958130579e-10
1962,1.5272036413271906e-10
1963,1.7252807714220252e-10
1964,2.0850131740183083e-10
1965,2.4376164380652503e-10
1966,1.622032032498412e-10
1967,1.4812897733814826e-10
1968,2.1898130927614342e-10
1969,1.973529266595188e-10
1970,2.740098118641272e-10
1971,3.1859467940804313e-10
1972,5.181113762226757e-10
1973,8.972608400318169e-10
1974,1.0506690468045247e-09
1975,1.1420067223227066e-09
1976,1.1732119918418859e-09
1977,1.181090737117125e-09
1978,1.1902918452465018e-09
1979,1.0042810273867632e-09
1980,8.592801430713187e-10
1981,7.873699589148028e-10
1982,6.9188340374409e-10
1983,7.553363252326456e-10
1984,7.0979772852959e-10
1985,6.634429632652277e-10
1986,7.252136391411312e-10
1987,5.558341287237312e-10
1988,6.437948071472529e-10
1989,6.768715310467854e-10
1990,7.197006284582435e-10
1991,8.842510097155959e-10
1992,9.935428590956974e-10
1993,9.796263720853103e-10
1994,1.0036111782899378e-09
1995,1.1038840318024411e-09
1996,1.1868629967715094e-09
1997,1.1209341629506549e-09
1998,1.0593570861797526e-09
1999,1.1073208144069773e-09
2000,1.1457035875572785e-09
2001,1.1140761329337628e-09
2002,9.125520815191277e-10
2003,7.968487219273917e-10
2004,8.677097691161301e-10
2005,8.251779656401733e-10
2006,7.325959521559916e-10
2007,6.244285901838406e-10
2008,5.90255576558642e-10
2009,5.168047527624533e-10
2010,5.111574130237503e-10
2011,4.2939698126552376e-10
2012,3.6354930871285163e-10
2013,3.517896995533906e-10
2014,3.6651989479156e-10
2015,3.945108020026693e-10
2016,4.008402221256091e-10
2017,3.960037436856467e-10
2018,3.7771415439813437e-10
2019,3.7869518632049903e-10
