ngram,American Tower
1500,0.0
1501,0.0
1502,0.0
1503,0.0
1504,0.0
1505,0.0
1506,0.0
1507,0.0
1508,0.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,0.0
1514,0.0
1515,0.0
1516,0.0
1517,0.0
1518,0.0
1519,0.0
1520,0.0
1521,0.0
1522,0.0
1523,0.0
1524,0.0
1525,0.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,0.0
1533,0.0
1534,0.0
1535,0.0
1536,0.0
1537,0.0
1538,0.0
1539,0.0
1540,0.0
1541,0.0
1542,0.0
1543,0.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,0.0
1550,0.0
1551,0.0
1552,0.0
1553,0.0
1554,0.0
1555,0.0
1556,0.0
1557,0.0
1558,0.0
1559,0.0
1560,0.0
1561,0.0
1562,0.0
1563,0.0
1564,0.0
1565,0.0
1566,0.0
1567,0.0
1568,0.0
1569,0.0
1570,0.0
1571,0.0
1572,0.0
1573,0.0
1574,0.0
1575,0.0
1576,0.0
1577,0.0
1578,0.0
1579,0.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,0.0
1585,0.0
1586,0.0
1587,0.0
1588,0.0
1589,0.0
1590,0.0
1591,0.0
1592,0.0
1593,0.0
1594,0.0
1595,0.0
1596,0.0
1597,0.0
1598,0.0
1599,0.0
1600,0.0
1601,0.0
1602,0.0
1603,0.0
1604,0.0
1605,0.0
1606,0.0
1607,0.0
1608,0.0
1609,0.0
1610,0.0
1611,0.0
1612,0.0
1613,0.0
1614,0.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,0.0
1620,0.0
1621,0.0
1622,0.0
1623,0.0
1624,0.0
1625,0.0
1626,0.0
1627,0.0
1628,0.0
1629,0.0
1630,0.0
1631,0.0
1632,0.0
1633,0.0
1634,0.0
1635,0.0
1636,0.0
1637,0.0
1638,0.0
1639,0.0
1640,0.0
1641,0.0
1642,0.0
1643,0.0
1644,0.0
1645,0.0
1646,0.0
1647,0.0
1648,0.0
1649,0.0
1650,0.0
1651,0.0
1652,0.0
1653,0.0
1654,0.0
1655,0.0
1656,0.0
1657,0.0
1658,0.0
1659,0.0
1660,0.0
1661,0.0
1662,0.0
1663,0.0
1664,0.0
1665,0.0
1666,0.0
1667,0.0
1668,0.0
1669,0.0
1670,0.0
1671,0.0
1672,0.0
1673,0.0
1674,0.0
1675,0.0
1676,0.0
1677,0.0
1678,0.0
1679,0.0
1680,0.0
1681,0.0
1682,0.0
1683,0.0
1684,0.0
1685,0.0
1686,0.0
1687,0.0
1688,0.0
1689,0.0
1690,0.0
1691,0.0
1692,0.0
1693,0.0
1694,0.0
1695,0.0
1696,0.0
1697,0.0
1698,0.0
1699,0.0
1700,0.0
1701,0.0
1702,0.0
1703,0.0
1704,0.0
1705,0.0
1706,0.0
1707,0.0
1708,0.0
1709,0.0
1710,0.0
1711,0.0
1712,0.0
1713,0.0
1714,0.0
1715,0.0
1716,0.0
1717,0.0
1718,0.0
1719,0.0
1720,0.0
1721,0.0
1722,0.0
1723,0.0
1724,0.0
1725,0.0
1726,0.0
1727,0.0
1728,0.0
1729,0.0
1730,0.0
1731,0.0
1732,0.0
1733,0.0
1734,0.0
1735,0.0
1736,0.0
1737,0.0
1738,0.0
1739,0.0
1740,0.0
1741,0.0
1742,0.0
1743,0.0
1744,0.0
1745,0.0
1746,0.0
1747,0.0
1748,0.0
1749,0.0
1750,0.0
1751,0.0
1752,0.0
1753,0.0
1754,0.0
1755,0.0
1756,0.0
1757,0.0
1758,0.0
1759,0.0
1760,0.0
1761,0.0
1762,0.0
1763,0.0
1764,0.0
1765,0.0
1766,0.0
1767,0.0
1768,0.0
1769,0.0
1770,0.0
1771,0.0
1772,0.0
1773,0.0
1774,0.0
1775,0.0
1776,0.0
1777,0.0
1778,0.0
1779,0.0
1780,0.0
1781,0.0
1782,0.0
1783,0.0
1784,0.0
1785,0.0
1786,0.0
1787,0.0
1788,0.0
1789,0.0
1790,0.0
1791,0.0
1792,0.0
1793,0.0
1794,0.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,1.9322732303095336e-10
1872,2.3224912865898213e-10
1873,2.3224912865898213e-10
1874,2.3224912865898213e-10
1875,2.3224912865898213e-10
1876,2.3224912865898213e-10
1877,2.3224912865898213e-10
1878,3.902180562802877e-11
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,7.702168268254793e-11
1889,2.512238908966172e-10
1890,2.7528329417579403e-10
1891,2.7528329417579403e-10
1892,2.7528329417579403e-10
1893,2.7528329417579403e-10
1894,3.802389891045215e-10
1895,3.2333854244852896e-10
1896,1.4913633423445967e-10
1897,1.603721976645949e-10
1898,2.117627878606143e-10
1899,2.982388998461007e-10
1900,6.071759979718396e-10
1901,5.184981918022429e-10
1902,5.474283893255486e-10
1903,5.625573340495293e-10
1904,7.379945464260272e-10
1905,9.905047655094685e-10
1906,1.0366194410796732e-09
1907,9.085450962993085e-10
1908,1.1920019207800614e-09
1909,1.5092304459745393e-09
1910,1.847190900239326e-09
1911,1.8885606967167234e-09
1912,1.8173622051698146e-09
1913,1.7119243383989513e-09
1914,1.6421567419370016e-09
1915,1.418145995476675e-09
1916,1.0947806649325947e-09
1917,7.947798867448595e-10
1918,5.426776111816523e-10
1919,3.774672816378047e-10
1920,3.7233883833285933e-10
1921,3.14610329851409e-10
1922,3.3058603473737746e-10
1923,3.576399771570189e-10
1924,3.7412635291365706e-10
1925,3.9596976293092874e-10
1926,3.7200074964882646e-10
1927,4.795180621622716e-10
1928,5.560236537067403e-10
1929,5.123528089885048e-10
1930,4.4238423836860466e-10
1931,4.475736349001431e-10
1932,5.605211176159689e-10
1933,5.830211472332028e-10
1934,5.1750172797809e-10
1935,4.509727868917679e-10
1936,4.626258463615228e-10
1937,5.691992631197605e-10
1938,5.150970324877388e-10
1939,4.986127106436961e-10
1940,4.325897061198601e-10
1941,4.734577650568537e-10
1942,4.812072248608753e-10
1943,1.1560075277980024e-09
1944,1.3924013529477618e-09
1945,1.4074231621411366e-09
1946,1.3835203300465488e-09
1947,1.3992626145066721e-09
1948,1.2943721848314637e-09
1949,1.2394484050215482e-09
1950,5.853814456978159e-10
1951,2.8962282968717345e-10
1952,3.2849448161620387e-10
1953,3.235840524100959e-10
1954,4.320675959869545e-10
1955,5.561215218489021e-10
1956,7.706205990792065e-10
1957,9.569025096110651e-10
1958,1.1021716000187659e-09
1959,1.1888363309659716e-09
1960,1.1899915100929297e-09
1961,1.2691855185867747e-09
1962,1.7857226015343436e-09
1963,2.5541613110239123e-09
1964,2.9209988554918756e-09
1965,3.4667122981803443e-09
1966,4.025406230567796e-09
1967,4.380905305190197e-09
1968,4.615925102464351e-09
1969,4.445385488287863e-09
1970,4.305904743873157e-09
1971,4.0387930777541214e-09
1972,3.590363815776852e-09
1973,3.2083189438480986e-09
1974,3.1343615322246674e-09
1975,2.9195424332075147e-09
1976,3.1680440651779153e-09
1977,2.5833170681975405e-09
1978,2.767979575705023e-09
1979,2.7797047996713786e-09
1980,2.993475895734272e-09
1981,3.3615556846048176e-09
1982,3.6947829240574492e-09
1983,3.7505869204019456e-09
1984,4.279752584070349e-09
1985,4.699102345335453e-09
1986,4.877246574862073e-09
1987,5.1336228284221926e-09
1988,4.835168487815622e-09
1989,4.569492022860848e-09
1990,4.1562483613485514e-09
1991,3.990046007881379e-09
1992,3.546502900876801e-09
1993,3.4592707745925313e-09
1994,3.3014228176650053e-09
1995,3.8330609797299076e-09
1996,6.110853378871184e-09
1997,9.632796941058278e-09
1998,1.6899286065757176e-08
1999,2.008435490934752e-08
2000,2.3232393723101756e-08
2001,2.506500486530529e-08
2002,2.6863750589102764e-08
2003,2.812847910149685e-08
2004,2.66207259410781e-08
2005,2.0098521830951606e-08
2006,1.7312766268215033e-08
2007,1.4855427047219142e-08
2008,1.3268252972510806e-08
2009,1.0942053580669559e-08
2010,7.735855480005073e-09
2011,6.1322091848836635e-09
2012,5.242343131024134e-09
2013,4.72848553962584e-09
2014,3.941751179427553e-09
2015,3.2889424834386158e-09
2016,3.3486213484630004e-09
2017,3.1746484330241742e-09
2018,2.7292576643134227e-09
2019,2.5500798139788117e-09
